date,자동차보험료
2020-03-20,57.23049
2020-03-21,42.156
2020-03-22,42.85714
2020-03-23,64.76774
2020-03-24,63.27782
2020-03-25,53.37423
2020-03-26,56.52936
2020-03-27,48.5539
2020-03-28,38.6503
2020-03-29,41.98071
2020-03-30,69.58808
2020-03-31,62.57668
2020-04-01,60.21034
2020-04-02,59.5092
2020-04-03,53.7248
2020-04-04,39.2638
2020-04-05,43.55828
2020-04-06,65.81945
2020-04-07,63.19018
2020-04-08,61.43733
2020-04-09,58.10692
2020-04-10,56.17879
2020-04-11,41.63014
2020-04-12,46.01226
2020-04-13,65.20595
2020-04-14,65.11831
2020-04-15,43.29535
2020-04-16,61.26205
2020-04-17,65.38124
2020-04-18,39.17616
2020-04-19,45.39877
2020-04-20,69.851
2020-04-21,62.13847
2020-04-22,63.10254
2020-04-23,59.94741
2020-04-24,59.07099
2020-04-25,40.40315
2020-04-26,45.0482
2020-04-27,69.50043
2020-04-28,61.61262
2020-04-29,58.98334
2020-04-30,32.42769
2020-05-01,39.35144
2020-05-02,34.00525
2020-05-03,38.47502
2020-05-04,61.70026
2020-05-05,47.76511
2020-05-06,65.2936
2020-05-07,57.93163
2020-05-08,56.44171
2020-05-09,42.33128
2020-05-10,41.89307
2020-05-11,66.08238
2020-05-12,64.24189
2020-05-13,62.4014
2020-05-14,61.87554
2020-05-15,54.16301
2020-05-16,34.0929
2020-05-17,40.31551
2020-05-18,63.36546
2020-05-19,65.81945
2020-05-20,57.75635
2020-05-21,54.16301
2020-05-22,49.69325
2020-05-23,35.31989
2020-05-24,36.80981
2020-05-25,64.41717
2020-05-26,61.87554
2020-05-27,53.54951
2020-05-28,57.05521
2020-05-29,44.96056
2020-05-30,37.77388
2020-05-31,39.00087
2020-06-01,61.34969
2020-06-02,58.72042
2020-06-03,54.16301
2020-06-04,53.98773
2020-06-05,43.38299
2020-06-06,30.67484
2020-06-07,38.47502
2020-06-08,57.58106
2020-06-09,51.18317
2020-06-10,54.16301
2020-06-11,58.2822
2020-06-12,48.37861
2020-06-13,35.49517
2020-06-14,39.2638
2020-06-15,56.17879
2020-06-16,56.52936
2020-06-17,50.2191
2020-06-18,56.35407
