date,삼성주식
2020-03-20,1.78083
2020-03-21,0.99602
2020-03-22,0.82047
2020-03-23,1.81234
2020-03-24,1.56163
2020-03-25,1.41749
2020-03-26,1.06958
2020-03-27,0.83718
2020-03-28,0.56124
2020-03-29,0.48555
2020-03-30,0.66877
2020-03-31,0.57221
2020-04-01,0.56625
2020-04-02,0.45266
2020-04-03,0.3544
2020-04-04,0.22473
2020-04-05,0.22079
2020-04-06,0.33694
2020-04-07,0.39719
2020-04-08,0.32586
2020-04-09,0.25943
2020-04-10,0.28392
2020-04-11,0.18598
2020-04-12,0.1732
2020-04-13,0.21557
2020-04-14,0.19737
2020-04-15,0.14712
2020-04-16,0.17416
2020-04-17,0.27423
2020-04-18,0.17139
2020-04-19,0.16096
2020-04-20,0.20812
2020-04-21,0.27317
2020-04-22,0.24442
2020-04-23,0.20929
2020-04-24,0.15606
2020-04-25,0.11422
2020-04-26,0.11295
2020-04-27,0.14882
2020-04-28,0.15244
2020-04-29,0.17448
2020-04-30,0.11007
2020-05-01,0.11316
2020-05-02,0.10848
2020-05-03,0.1055
2020-05-04,0.15383
2020-05-05,0.1154
2020-05-06,0.31756
2020-05-07,0.21749
2020-05-08,0.14318
2020-05-09,0.10273
2020-05-10,0.10688
2020-05-11,0.14669
2020-05-12,0.16394
2020-05-13,0.16373
2020-05-14,0.15553
2020-05-15,0.13743
2020-05-16,0.09389
2020-05-17,0.0973
2020-05-18,0.13317
2020-05-19,0.16139
2020-05-20,0.1468
2020-05-21,0.1551
2020-05-22,0.13903
2020-05-23,0.10624
2020-05-24,0.1072
2020-05-25,0.16852
2020-05-26,0.17874
2020-05-27,0.14691
2020-05-28,0.13839
2020-05-29,0.12519
2020-05-30,0.09953
2020-05-31,0.09155
2020-06-01,0.13307
2020-06-02,0.15532
2020-06-03,0.27051
2020-06-04,0.28009
2020-06-05,0.18896
2020-06-06,0.13243
2020-06-07,0.17033
2020-06-08,0.29925
2020-06-09,0.29233
2020-06-10,0.19641
2020-06-11,0.20397
2020-06-12,0.20716
2020-06-13,0.11369
2020-06-14,0.10454
2020-06-15,0.2144
2020-06-16,0.18438
2020-06-17,0.16394
2020-06-18,0.14222
2020-06-19,0.14499
2020-06-20,0.10209
2020-06-21,0.09378
2020-06-22,0.12743
2020-06-23,0.12668
2020-06-24,0.13669
2020-06-25,0.12636
2020-06-26,0.12253
2020-06-27,0.09815
2020-06-28,0.09176
2020-06-29,0.11784
2020-06-30,0.10826
2020-07-01,0.10464
2020-07-02,0.11199
2020-07-03,0.09932
2020-07-04,0.07803
2020-07-05,0.12881
2020-07-06,0.15447
2020-07-07,0.19471
2020-07-08,0.1485
2020-07-09,0.13275
2020-07-10,0.1254
2020-07-11,0.09048
2020-07-12,0.11263
2020-07-13,0.12604
2020-07-14,0.12402
2020-07-15,0.13956
2020-07-16,0.11476
2020-07-17,0.1105
2020-07-18,0.0891
2020-07-19,0.0874
2020-07-20,0.11263
2020-07-21,0.14041
2020-07-22,0.14627
2020-07-23,0.13009
2020-07-24,0.12721
2020-07-25,0.10347
2020-07-26,0.15787
2020-07-27,0.15926
2020-07-28,0.18907
2020-07-29,0.18034
2020-07-30,0.16043
2020-07-31,0.14531
2020-08-01,0.11178
2020-08-02,0.10166
2020-08-03,0.14031
2020-08-04,0.14691
2020-08-05,0.15223
2020-08-06,0.17586
2020-08-07,0.15766
2020-08-08,0.12083
2020-08-09,0.13019
2020-08-10,0.17661
2020-08-11,0.18896
2020-08-12,0.16554
2020-08-13,0.17033
2020-08-14,0.15862
2020-08-15,0.11273
2020-08-16,0.11933
2020-08-17,0.12945
2020-08-18,0.18342
2020-08-19,0.16107
2020-08-20,0.20982
2020-08-21,0.16596
2020-08-22,0.10283
2020-08-23,0.11912
2020-08-24,0.15393
2020-08-25,0.15564
2020-08-26,0.15244
2020-08-27,0.17363
2020-08-28,0.15862
2020-08-29,0.11902
2020-08-30,0.19748
2020-08-31,0.22856
2020-09-01,0.2885
2020-09-02,0.24847
2020-09-03,0.21238
2020-09-04,0.1896
2020-09-05,0.12508
2020-09-06,0.12125
2020-09-07,0.2045
2020-09-08,0.21238
2020-09-09,0.22664
2020-09-10,0.20216
2020-09-11,0.17118
2020-09-12,0.12785
2020-09-13,0.13754
2020-09-14,0.18545
2020-09-15,0.20642
2020-09-16,0.18789
2020-09-17,0.16745
2020-09-18,0.14105
2020-09-19,0.11061
2020-09-20,0.10145
2020-09-21,0.13317
2020-09-22,0.14488
2020-09-23,0.14765
2020-09-24,0.14765
2020-09-25,0.12221
2020-09-26,0.09325
2020-09-27,0.09517
2020-09-28,0.1221
2020-09-29,0.10773
2020-09-30,0.11167
2020-10-01,0.12902
2020-10-02,0.11625
2020-10-03,0.11497
2020-10-04,0.1187
2020-10-05,0.16383
2020-10-06,0.14989
2020-10-07,0.1435
2020-10-08,0.16713
2020-10-09,0.10315
2020-10-10,0.09645
2020-10-11,0.10049
2020-10-12,0.14222
2020-10-13,0.17682
2020-10-14,0.17001
2020-10-15,0.20801
2020-10-16,0.18012
2020-10-17,0.14606
2020-10-18,0.13701
2020-10-19,0.16692
2020-10-20,0.16969
2020-10-21,0.14542
2020-10-22,0.13051
2020-10-23,0.11753
2020-10-24,0.09272
2020-10-25,100.0
2020-10-26,7.40258
2020-10-27,0.78725
2020-10-28,0.48821
2020-10-29,0.42104
2020-10-30,0.33321
2020-10-31,0.20503
2020-11-01,0.1929
2020-11-02,0.25369
2020-11-03,0.17704
2020-11-04,0.1798
2020-11-05,0.16809
2020-11-06,0.14872
2020-11-07,0.10645
2020-11-08,0.10752
2020-11-09,0.17203
2020-11-10,0.17885
2020-11-11,0.15457
2020-11-12,0.14765
2020-11-13,0.16682
2020-11-14,0.13254
2020-11-15,0.12093
2020-11-16,0.34982
2020-11-17,0.27647
2020-11-18,0.23048
2020-11-19,0.18172
2020-11-20,0.18683
2020-11-21,0.1896
2020-11-22,0.183
2020-11-23,0.32161
2020-11-24,0.33353
2020-11-25,0.41933
2020-11-26,0.38271
2020-11-27,0.3133
2020-11-28,0.27317
2020-11-29,0.24847
2020-11-30,0.31532
2020-12-01,0.33332
2020-12-02,0.3528
2020-12-03,0.41018
2020-12-04,0.4484
2020-12-05,0.25337
2020-12-06,0.27274
2020-12-07,0.39251
2020-12-08,0.35109
2020-12-09,0.36387
2020-12-10,0.36515
2020-12-11,0.3051
2020-12-12,0.21483
2020-12-13,0.20919
2020-12-14,0.31309
2020-12-15,0.27615
2020-12-16,0.26454
2020-12-17,0.24719
2020-12-18,0.22973
2020-12-19,0.17437
2020-12-20,0.17182
2020-12-21,0.25645
2020-12-22,0.27306
2020-12-23,0.25869
2020-12-24,0.34918
2020-12-25,0.23144
2020-12-26,0.21046
2020-12-27,0.23175
2020-12-28,0.4006
2020-12-29,0.40667
2020-12-30,0.74765
2020-12-31,0.49992
2021-01-01,0.3182
2021-01-02,0.31096
2021-01-03,0.35514
2021-01-04,0.66696
2021-01-05,0.63779
2021-01-06,0.68782
