date,TDF펀드
2020-03-20,24.11003
2020-03-21,15.8576
2020-03-22,13.91585
2020-03-23,29.61165
2020-03-24,29.93527
2020-03-25,27.02265
2020-03-26,26.86084
2020-03-27,22.4919
2020-03-28,19.25566
2020-03-29,18.12297
2020-03-30,18.60841
2020-03-31,98.05825
2020-04-01,65.69579
2020-04-02,32.36245
2020-04-03,20.71197
2020-04-04,35.76051
2020-04-05,18.28478
2020-04-06,19.90291
2020-04-07,35.76051
2020-04-08,17.47572
2020-04-09,19.25566
2020-04-10,30.58252
2020-04-11,10.84142
2020-04-12,13.91585
2020-04-13,18.77022
2020-04-14,16.82847
2020-04-15,11.65048
2020-04-16,15.8576
2020-04-17,16.18122
2020-04-18,10.51779
2020-04-19,8.73786
2020-04-20,16.66666
2020-04-21,17.1521
2020-04-22,19.57928
2020-04-23,15.69579
2020-04-24,15.37216
2020-04-25,9.2233
2020-04-26,10.03236
2020-04-27,17.96116
2020-04-28,18.4466
2020-04-29,18.93203
2020-04-30,11.97411
2020-05-01,11.00323
2020-05-02,7.76699
2020-05-03,10.35598
2020-05-04,16.66666
2020-05-05,13.10679
2020-05-06,14.40129
2020-05-07,16.34304
2020-05-08,11.32686
2020-05-09,10.03236
2020-05-10,11.65048
2020-05-11,13.2686
2020-05-12,14.07766
2020-05-13,13.75404
2020-05-14,12.94498
2020-05-15,19.09385
2020-05-16,6.95792
2020-05-17,9.06148
2020-05-18,12.62135
2020-05-19,14.40129
2020-05-20,13.59223
2020-05-21,19.7411
2020-05-22,17.96116
2020-05-23,10.51779
2020-05-24,8.41423
2020-05-25,13.10679
2020-05-26,14.88673
2020-05-27,15.8576
2020-05-28,12.29773
2020-05-29,13.91585
2020-05-30,5.3398
2020-05-31,6.95792
2020-06-01,15.37216
2020-06-02,12.94498
2020-06-03,16.82847
2020-06-04,17.31391
2020-06-05,16.50485
2020-06-06,8.09061
2020-06-07,7.44336
2020-06-08,15.69579
2020-06-09,15.8576
2020-06-10,19.41747
2020-06-11,18.28478
2020-06-12,12.13592
2020-06-13,7.44336
2020-06-14,10.19417
2020-06-15,14.5631
2020-06-16,15.69579
2020-06-17,13.91585
2020-06-18,14.5631
2020-06-19,10.19417
2020-06-20,7.76699
2020-06-21,5.98705
2020-06-22,13.10679
2020-06-23,24.59546
2020-06-24,16.18122
2020-06-25,16.50485
2020-06-26,10.84142
2020-06-27,6.95792
2020-06-28,5.17799
2020-06-29,7.76699
2020-06-30,9.70873
2020-07-01,10.84142
2020-07-02,12.13592
2020-07-03,10.19417
2020-07-04,6.14886
2020-07-05,6.95792
2020-07-06,13.10679
2020-07-07,11.65048
2020-07-08,15.69579
2020-07-09,19.09385
2020-07-10,13.43042
2020-07-11,10.35598
2020-07-12,14.40129
2020-07-13,12.94498
2020-07-14,14.23948
2020-07-15,13.43042
2020-07-16,16.66666
2020-07-17,13.91585
2020-07-18,11.48867
2020-07-19,13.10679
2020-07-20,19.41747
2020-07-21,20.06472
2020-07-22,17.96116
2020-07-23,24.11003
2020-07-24,12.62135
2020-07-25,13.2686
2020-07-26,11.32686
2020-07-27,17.47572
2020-07-28,22.00647
2020-07-29,23.13915
2020-07-30,17.63754
2020-07-31,15.04854
2020-08-01,8.25242
2020-08-02,8.41423
2020-08-03,16.34304
2020-08-04,19.09385
2020-08-05,23.30097
2020-08-06,19.57928
2020-08-07,17.31391
2020-08-08,16.01941
2020-08-09,14.07766
2020-08-10,24.27184
2020-08-11,22.00647
2020-08-12,27.34627
2020-08-13,32.36245
2020-08-14,40.61488
2020-08-15,13.2686
2020-08-16,15.53398
2020-08-17,15.04854
2020-08-18,25.56634
2020-08-19,25.40453
2020-08-20,21.19741
2020-08-21,25.40453
2020-08-22,17.47572
2020-08-23,14.5631
2020-08-24,21.35922
2020-08-25,23.46278
2020-08-26,23.62459
2020-08-27,22.65372
2020-08-28,22.33009
2020-08-29,17.1521
2020-08-30,20.22653
2020-08-31,22.4919
2020-09-01,22.16828
2020-09-02,24.59546
2020-09-03,22.81553
2020-09-04,21.35922
2020-09-05,18.4466
2020-09-06,23.7864
2020-09-07,30.90614
2020-09-08,25.40453
2020-09-09,29.77346
2020-09-10,30.09708
2020-09-11,21.35922
2020-09-12,12.45954
2020-09-13,12.94498
2020-09-14,28.64077
2020-09-15,23.46278
2020-09-16,20.71197
2020-09-17,29.28802
2020-09-18,23.46278
2020-09-19,13.91585
2020-09-20,15.53398
2020-09-21,18.12297
2020-09-22,18.93203
2020-09-23,23.7864
2020-09-24,17.79935
2020-09-25,12.45954
2020-09-26,8.09061
2020-09-27,14.72491
2020-09-28,30.90614
2020-09-29,16.18122
2020-09-30,7.9288
2020-10-01,8.57605
2020-10-02,6.95792
2020-10-03,6.79611
2020-10-04,8.09061
2020-10-05,20.38834
2020-10-06,18.28478
2020-10-07,20.38834
2020-10-08,13.10679
2020-10-09,9.38511
2020-10-10,2.91262
2020-10-11,11.16504
2020-10-12,5.3398
2020-10-13,19.09385
2020-10-14,31.06796
2020-10-15,25.40453
2020-10-16,26.05177
2020-10-17,16.18122
2020-10-18,14.23948
2020-10-19,20.55016
2020-10-20,22.4919
2020-10-21,26.21359
2020-10-22,23.30097
2020-10-23,26.53721
2020-10-24,16.82847
2020-10-25,16.34304
2020-10-26,18.60841
2020-10-27,22.16828
2020-10-28,18.93203
2020-10-29,21.19741
2020-10-30,23.94822
2020-10-31,13.91585
2020-11-01,14.23948
2020-11-02,26.69902
2020-11-03,22.33009
2020-11-04,17.96116
2020-11-05,23.46278
2020-11-06,16.50485
2020-11-07,12.94498
2020-11-08,16.34304
2020-11-09,25.72815
2020-11-10,23.94822
2020-11-11,25.72815
2020-11-12,26.3754
2020-11-13,26.3754
2020-11-14,16.18122
2020-11-15,13.2686
2020-11-16,27.99352
2020-11-17,27.50809
2020-11-18,31.87702
2020-11-19,26.69902
2020-11-20,30.74433
2020-11-21,19.41747
2020-11-22,19.25566
2020-11-23,29.77346
2020-11-24,33.33333
2020-11-25,38.1877
2020-11-26,42.39482
2020-11-27,36.73139
2020-11-28,22.4919
2020-11-29,25.72815
2020-11-30,29.12621
2020-12-01,33.65695
2020-12-02,35.76051
2020-12-03,34.3042
2020-12-04,30.09708
2020-12-05,100.0
2020-12-06,58.89967
2020-12-07,56.95792
2020-12-08,63.75404
2020-12-09,59.38511
2020-12-10,50.64724
2020-12-11,56.14886
2020-12-12,40.29126
2020-12-13,96.76375
2020-12-14,75.72815
2020-12-15,65.69579
2020-12-16,59.2233
2020-12-17,67.63754
2020-12-18,55.66343
2020-12-19,34.46601
2020-12-20,35.43689
2020-12-21,49.83818
2020-12-22,52.26537
2020-12-23,48.22006
2020-12-24,43.85113
2020-12-25,34.62783
2020-12-26,32.36245
2020-12-27,31.39158
2020-12-28,51.94174
2020-12-29,52.26537
2020-12-30,80.09708
2020-12-31,85.43689
2021-01-01,34.62783
2021-01-02,33.98058
2021-01-03,42.55663
2021-01-04,50.97087
2021-01-05,56.31067
2021-01-06,67.47572
2021-01-07,60.03236
2021-01-08,61.81229
2021-01-09,45.14563
2021-01-10,46.1165
2021-01-11,55.98705
2021-01-12,68.77022
2021-01-13,66.01941
2021-01-14,67.63754
2021-01-15,54.69255
2021-01-16,38.83495
2021-01-17,51.94174
2021-01-18,52.26537
2021-01-19,60.19417
2021-01-20,65.37216
2021-01-21,63.10679
2021-01-22,58.09061
2021-01-23,50.64724
2021-01-24,47.89644
2021-01-25,71.19741
2021-01-26,73.30097
2021-01-27,70.71197
2021-01-28,64.07766
2021-01-29,62.62135
2021-01-30,49.67637
2021-01-31,45.46925
2021-02-01,52.91262
2021-02-02,54.0453
2021-02-03,59.54692
2021-02-04,66.99029
2021-02-05,50.0
2021-02-06,36.08414
2021-02-07,42.71844
2021-02-08,52.7508
2021-02-09,52.91262
2021-02-10,55.01618
2021-02-11,30.74433
2021-02-12,22.33009
2021-02-13,22.00647
2021-02-14,23.62459
2021-02-15,36.40776
2021-02-16,34.95145
2021-02-17,32.68608
2021-02-18,27.18446
2021-02-19,25.0809
2021-02-20,14.88673
2021-02-21,17.47572
2021-02-22,23.7864
2021-02-23,27.34627
2021-02-24,19.41747
2021-02-25,23.62459
2021-02-26,18.60841
2021-02-27,11.16504
2021-02-28,20.87378
2021-03-01,18.4466
2021-03-02,21.52103
2021-03-03,28.9644
2021-03-04,23.7864
2021-03-05,15.69579
2021-03-06,8.89967
2021-03-07,11.16504
2021-03-08,16.82847
2021-03-09,23.13915
2021-03-10,26.3754
2021-03-11,22.65372
2021-03-12,16.50485
2021-03-13,14.40129
2021-03-14,13.75404
2021-03-15,16.34304
2021-03-16,16.18122
2021-03-17,22.65372
2021-03-18,20.38834
2021-03-19,15.69579
2021-03-20,11.00323
2021-03-21,7.60517
2021-03-22,16.34304
2021-03-23,14.5631
2021-03-24,19.09385
2021-03-25,13.10679
2021-03-26,11.48867
2021-03-27,12.29773
2021-03-28,15.53398
2021-03-29,39.96763
2021-03-30,38.02588
2021-03-31,22.65372
2021-04-01,24.43365
2021-04-02,21.52103
2021-04-03,14.23948
