date,대학생공모전
2020-03-20,73.92344
2020-03-21,54.30622
2020-03-22,54.54545
2020-03-23,80.38277
2020-03-24,73.44497
2020-03-25,73.68421
2020-03-26,67.70334
2020-03-27,67.94258
2020-03-28,56.45933
2020-03-29,64.35406
2020-03-30,84.21052
2020-03-31,83.49282
2020-04-01,69.85645
2020-04-02,60.76555
2020-04-03,61.72248
2020-04-04,50.23923
2020-04-05,54.06698
2020-04-06,71.05263
2020-04-07,66.74641
2020-04-08,71.05263
2020-04-09,71.29186
2020-04-10,67.70334
2020-04-11,37.32057
2020-04-12,51.19617
2020-04-13,61.24401
2020-04-14,59.33014
2020-04-15,46.65071
2020-04-16,59.80861
2020-04-17,59.33014
2020-04-18,38.75598
2020-04-19,49.04306
2020-04-20,61.96172
2020-04-21,58.85167
2020-04-22,56.22009
2020-04-23,48.80382
2020-04-24,53.58851
2020-04-25,40.19138
2020-04-26,39.23444
2020-04-27,58.13397
2020-04-28,50.47846
2020-04-29,53.58851
2020-04-30,38.03827
2020-05-01,36.36363
2020-05-02,30.86124
2020-05-03,33.73205
2020-05-04,51.91387
2020-05-05,33.73205
2020-05-06,56.22009
2020-05-07,47.84688
2020-05-08,44.01913
2020-05-09,34.68899
2020-05-10,34.68899
2020-05-11,57.41626
2020-05-12,59.33014
2020-05-13,50.95693
2020-05-14,58.3732
2020-05-15,60.52631
2020-05-16,41.86602
2020-05-17,48.08612
2020-05-18,70.81339
2020-05-19,68.42105
2020-05-20,65.78947
2020-05-21,54.78468
2020-05-22,47.12918
2020-05-23,38.27751
2020-05-24,41.38755
2020-05-25,67.22488
2020-05-26,73.20574
2020-05-27,64.11483
2020-05-28,60.76555
2020-05-29,49.04306
2020-05-30,44.25837
2020-05-31,49.04306
2020-06-01,66.0287
2020-06-02,59.80861
2020-06-03,61.00478
2020-06-04,60.52631
2020-06-05,52.87081
2020-06-06,36.1244
2020-06-07,35.40669
2020-06-08,69.85645
2020-06-09,58.61244
2020-06-10,64.5933
2020-06-11,54.06698
2020-06-12,54.78468
2020-06-13,42.58373
2020-06-14,44.01913
2020-06-15,55.74162
2020-06-16,50.95693
2020-06-17,51.4354
2020-06-18,50.47846
2020-06-19,41.14832
2020-06-20,35.64593
2020-06-21,45.21531
2020-06-22,50.47846
2020-06-23,56.22009
2020-06-24,55.74162
2020-06-25,58.3732
2020-06-26,63.39712
2020-06-27,50.0
2020-06-28,56.45933
2020-06-29,73.92344
2020-06-30,79.1866
2020-07-01,75.11961
2020-07-02,78.70813
2020-07-03,83.49282
2020-07-04,56.45933
2020-07-05,58.13397
2020-07-06,85.16746
2020-07-07,92.10526
2020-07-08,89.23444
2020-07-09,77.99043
2020-07-10,79.1866
2020-07-11,58.3732
2020-07-12,63.87559
2020-07-13,89.71291
2020-07-14,95.69377
2020-07-15,85.16746
2020-07-16,83.01435
2020-07-17,72.9665
2020-07-18,45.21531
2020-07-19,50.23923
2020-07-20,77.51196
2020-07-21,71.77033
2020-07-22,69.13875
2020-07-23,70.09569
2020-07-24,72.2488
2020-07-25,52.39234
2020-07-26,43.54066
2020-07-27,72.00956
2020-07-28,73.68421
2020-07-29,68.42105
2020-07-30,56.22009
2020-07-31,65.311
2020-08-01,42.10526
2020-08-02,38.99521
2020-08-03,60.76555
2020-08-04,68.42105
2020-08-05,64.35406
2020-08-06,62.67942
2020-08-07,55.26315
2020-08-08,36.1244
2020-08-09,39.95215
2020-08-10,56.22009
2020-08-11,56.45933
2020-08-12,61.96172
2020-08-13,53.58851
2020-08-14,44.4976
2020-08-15,29.42583
2020-08-16,33.73205
2020-08-17,43.7799
2020-08-18,49.52153
2020-08-19,53.34928
2020-08-20,56.45933
2020-08-21,54.78468
2020-08-22,37.32057
2020-08-23,47.36842
2020-08-24,64.83253
2020-08-25,71.29186
2020-08-26,68.18181
2020-08-27,66.0287
2020-08-28,63.63636
2020-08-29,42.58373
2020-08-30,46.65071
2020-08-31,79.66507
2020-09-01,82.05741
2020-09-02,86.1244
2020-09-03,75.35885
2020-09-04,74.64114
2020-09-05,47.84688
2020-09-06,51.4354
2020-09-07,85.88516
2020-09-08,74.16267
2020-09-09,87.5598
2020-09-10,81.10047
2020-09-11,67.22488
2020-09-12,50.47846
2020-09-13,49.28229
2020-09-14,81.10047
2020-09-15,76.07655
2020-09-16,75.11961
2020-09-17,65.07177
2020-09-18,59.33014
2020-09-19,39.95215
2020-09-20,49.04306
2020-09-21,63.63636
2020-09-22,66.50717
2020-09-23,60.76555
2020-09-24,60.04784
2020-09-25,63.39712
2020-09-26,44.97607
2020-09-27,45.93301
2020-09-28,67.94258
2020-09-29,49.76076
2020-09-30,32.29665
2020-10-01,22.2488
2020-10-02,26.31578
2020-10-03,34.44976
2020-10-04,40.66985
2020-10-05,61.72248
2020-10-06,65.311
2020-10-07,60.28708
2020-10-08,53.11004
2020-10-09,32.05741
2020-10-10,34.44976
2020-10-11,42.10526
2020-10-12,55.26315
2020-10-13,51.91387
