date,지방세법
2020-12-11,40.96385
2020-12-12,12.42469
2020-12-13,11.59638
2020-12-14,47.21385
2020-12-15,41.18975
2020-12-16,44.65361
2020-12-17,40.66265
2020-12-18,40.81325
2020-12-19,12.04819
2020-12-20,11.37048
2020-12-21,40.36144
2020-12-22,41.18975
2020-12-23,30.87349
2020-12-24,26.20481
2020-12-25,6.5512
2020-12-26,9.93975
2020-12-27,8.50903
2020-12-28,35.76807
2020-12-29,31.6265
2020-12-30,38.70481
2020-12-31,26.43072
2021-01-01,7.68072
2021-01-02,9.56325
2021-01-03,10.09036
2021-01-04,39.68373
2021-01-05,44.0512
2021-01-06,45.10542
2021-01-07,39.83433
2021-01-08,33.28313
2021-01-09,10.31626
2021-01-10,10.99397
2021-01-11,42.01807
2021-01-12,39.53313
2021-01-13,46.83734
2021-01-14,55.27108
2021-01-15,41.49096
2021-01-16,9.78915
2021-01-17,10.24096
2021-01-18,50.82831
2021-01-19,49.62349
2021-01-20,41.18975
2021-01-21,50.3765
2021-01-22,39.60843
2021-01-23,8.88554
2021-01-24,12.19879
2021-01-25,45.85843
2021-01-26,46.00903
2021-01-27,47.06325
2021-01-28,51.12951
2021-01-29,41.11445
2021-01-30,10.09036
2021-01-31,8.88554
2021-02-01,38.0271
2021-02-02,39.83433
2021-02-03,45.70783
2021-02-04,41.71686
2021-02-05,37.8012
2021-02-06,8.96084
2021-02-07,10.91867
2021-02-08,40.58734
2021-02-09,38.62951
2021-02-10,31.17469
2021-02-11,6.5512
2021-02-12,4.74397
2021-02-13,7.15361
2021-02-14,7.83132
2021-02-15,43.52409
2021-02-16,45.40662
2021-02-17,42.92168
2021-02-18,39.90963
2021-02-19,33.50903
2021-02-20,8.35843
2021-02-21,10.46686
2021-02-22,39.45783
2021-02-23,36.67168
2021-02-24,40.06024
2021-02-25,38.78012
2021-02-26,30.87349
2021-02-27,8.43373
2021-02-28,7.45481
2021-03-01,10.16566
2021-03-02,37.27409
2021-03-03,36.82228
2021-03-04,36.97289
2021-03-05,35.91867
2021-03-06,10.16566
2021-03-07,10.69277
2021-03-08,42.46987
2021-03-09,42.92168
2021-03-10,40.81325
2021-03-11,44.87951
2021-03-12,36.44578
2021-03-13,9.63855
2021-03-14,9.48795
2021-03-15,41.49096
2021-03-16,45.48192
2021-03-17,45.93373
2021-03-18,43.75
2021-03-19,36.89759
2021-03-20,9.26204
2021-03-21,9.26204
2021-03-22,47.81626
2021-03-23,43.67469
2021-03-24,43.37349
2021-03-25,41.03915
2021-03-26,33.88554
2021-03-27,8.58433
2021-03-28,8.35843
2021-03-29,42.92168
2021-03-30,44.50301
2021-03-31,39.23192
2021-04-01,40.06024
2021-04-02,29.06626
2021-04-03,10.31626
2021-04-04,7.75602
2021-04-05,41.41566
2021-04-06,39.60843
2021-04-07,39.83433
2021-04-08,37.7259
2021-04-09,39.53313
2021-04-10,8.05722
2021-04-11,8.28313
2021-04-12,43.22289
2021-04-13,45.93373
2021-04-14,43.9006
2021-04-15,39.68373
2021-04-16,33.35843
2021-04-17,14.75903
2021-04-18,14.38253
2021-04-19,48.19277
2021-04-20,47.81626
2021-04-21,45.03012
2021-04-22,46.76204
2021-04-23,32.68072
2021-04-24,8.58433
2021-04-25,9.03614
2021-04-26,48.56927
2021-04-27,50.2259
2021-04-28,45.93373
2021-04-29,44.95481
2021-04-30,38.25301
2021-05-01,6.7771
2021-05-02,7.00301
2021-05-03,39.68373
2021-05-04,38.62951
2021-05-05,10.16566
2021-05-06,32.45481
2021-05-07,33.35843
2021-05-08,6.7771
2021-05-09,6.8524
2021-05-10,39.38253
2021-05-11,40.13554
2021-05-12,41.34036
2021-05-13,38.62951
2021-05-14,29.59337
2021-05-15,6.09939
2021-05-16,8.58433
2021-05-17,40.58734
2021-05-18,38.47891
2021-05-19,8.13253
2021-05-20,38.40361
2021-05-21,35.84337
2021-05-22,8.13253
2021-05-23,7.68072
2021-05-24,41.64156
2021-05-25,41.03915
2021-05-26,38.85542
2021-05-27,42.62048
2021-05-28,33.13253
2021-05-29,8.28313
2021-05-30,7.37951
2021-05-31,35.76807
2021-06-01,38.1024
2021-06-02,36.52108
2021-06-03,39.30722
2021-06-04,32.22891
2021-06-05,12.8765
2021-06-06,8.73493
2021-06-07,41.71686
2021-06-08,45.10542
2021-06-09,45.85843
2021-06-10,37.04819
2021-06-11,27.48493
2021-06-12,7.07831
2021-06-13,7.37951
2021-06-14,39.98493
2021-06-15,39.68373
2021-06-16,38.25301
2021-06-17,42.92168
2021-06-18,37.6506
2021-06-19,6.7018
2021-06-20,5.72289
2021-06-21,41.64156
2021-06-22,38.70481
2021-06-23,42.01807
2021-06-24,37.27409
2021-06-25,34.33734
2021-06-26,5.42168
2021-06-27,8.20783
2021-06-28,40.13554
2021-06-29,41.79216
2021-06-30,34.56325
2021-07-01,37.42469
2021-07-02,32.75602
2021-07-03,6.02409
2021-07-04,7.30421
2021-07-05,39.08132
2021-07-06,44.42771
2021-07-07,41.64156
2021-07-08,46.08433
2021-07-09,32.22891
2021-07-10,7.98192
2021-07-11,7.22891
2021-07-12,44.0512
2021-07-13,50.2259
2021-07-14,52.78614
2021-07-15,56.3253
2021-07-16,50.0753
2021-07-17,10.69277
2021-07-18,8.35843
2021-07-19,52.40963
2021-07-20,55.19578
2021-07-21,54.89457
2021-07-22,54.21686
2021-07-23,41.79216
2021-07-24,9.18674
2021-07-25,6.3253
2021-07-26,47.06325
2021-07-27,56.7018
2021-07-28,49.24698
2021-07-29,47.74096
2021-07-30,31.3253
2021-07-31,6.17469
2021-08-01,6.92771
2021-08-02,40.06024
2021-08-03,48.49397
2021-08-04,44.42771
2021-08-05,45.40662
2021-08-06,36.59638
2021-08-07,7.53012
2021-08-08,6.02409
2021-08-09,50.1506
2021-08-10,55.27108
2021-08-11,54.14156
2021-08-12,57.90662
