date,상속등기서류
2020-03-20,45.18518
2020-03-21,20.74074
2020-03-22,32.59259
2020-03-23,42.96296
2020-03-24,53.33333
2020-03-25,66.66666
2020-03-26,54.81481
2020-03-27,40.74074
2020-03-28,18.51851
2020-03-29,10.37037
2020-03-30,48.88888
2020-03-31,26.66666
2020-04-01,60.74074
2020-04-02,41.48148
2020-04-03,40.74074
2020-04-04,11.85185
2020-04-05,17.03703
2020-04-06,45.18518
2020-04-07,40.0
2020-04-08,59.25925
2020-04-09,48.14814
2020-04-10,42.22222
2020-04-11,11.85185
2020-04-12,20.0
2020-04-13,48.88888
2020-04-14,45.18518
2020-04-15,23.7037
2020-04-16,60.0
2020-04-17,57.77777
2020-04-18,16.29629
2020-04-19,22.22222
2020-04-20,62.22222
2020-04-21,60.0
2020-04-22,49.62962
2020-04-23,62.22222
2020-04-24,60.74074
2020-04-25,30.37037
2020-04-26,20.0
2020-04-27,74.81481
2020-04-28,61.48148
2020-04-29,54.81481
2020-04-30,37.03703
2020-05-01,35.55555
2020-05-02,24.44444
2020-05-03,18.51851
2020-05-04,69.62962
2020-05-05,35.55555
2020-05-06,40.74074
2020-05-07,40.74074
2020-05-08,57.77777
2020-05-09,28.88888
2020-05-10,22.22222
2020-05-11,57.03703
2020-05-12,65.18518
2020-05-13,47.4074
2020-05-14,54.81481
2020-05-15,34.81481
2020-05-16,25.18518
2020-05-17,21.48148
2020-05-18,67.4074
2020-05-19,45.18518
2020-05-20,64.44444
2020-05-21,54.07407
2020-05-22,34.81481
2020-05-23,10.37037
2020-05-24,16.29629
2020-05-25,60.0
2020-05-26,59.25925
2020-05-27,50.37037
2020-05-28,48.14814
2020-05-29,21.48148
2020-05-30,11.85185
2020-05-31,9.62962
2020-06-01,58.51851
2020-06-02,41.48148
2020-06-03,38.51851
2020-06-04,37.03703
2020-06-05,40.0
2020-06-06,13.33333
2020-06-07,22.22222
2020-06-08,46.66666
2020-06-09,46.66666
2020-06-10,45.92592
2020-06-11,43.7037
2020-06-12,28.14814
2020-06-13,22.96296
2020-06-14,22.96296
2020-06-15,50.37037
2020-06-16,34.81481
2020-06-17,61.48148
2020-06-18,56.29629
2020-06-19,37.03703
2020-06-20,24.44444
2020-06-21,23.7037
2020-06-22,44.44444
2020-06-23,47.4074
2020-06-24,34.07407
2020-06-25,37.77777
2020-06-26,39.25925
2020-06-27,12.59259
2020-06-28,23.7037
2020-06-29,35.55555
2020-06-30,41.48148
2020-07-01,39.25925
2020-07-02,40.74074
2020-07-03,23.7037
2020-07-04,12.59259
2020-07-05,22.96296
2020-07-06,53.33333
2020-07-07,60.74074
2020-07-08,33.33333
2020-07-09,51.85185
2020-07-10,35.55555
2020-07-11,16.29629
2020-07-12,17.77777
2020-07-13,59.25925
2020-07-14,44.44444
2020-07-15,42.96296
2020-07-16,51.85185
2020-07-17,40.74074
2020-07-18,15.55555
2020-07-19,16.29629
2020-07-20,48.14814
2020-07-21,48.88888
2020-07-22,50.37037
2020-07-23,40.0
2020-07-24,42.96296
2020-07-25,20.74074
2020-07-26,34.07407
2020-07-27,63.7037
2020-07-28,48.14814
2020-07-29,57.03703
2020-07-30,45.18518
2020-07-31,34.07407
2020-08-01,15.55555
2020-08-02,24.44444
2020-08-03,81.48148
2020-08-04,43.7037
2020-08-05,47.4074
2020-08-06,56.29629
2020-08-07,39.25925
2020-08-08,16.29629
2020-08-09,11.85185
2020-08-10,65.18518
2020-08-11,42.96296
2020-08-12,51.11111
2020-08-13,45.18518
2020-08-14,24.44444
2020-08-15,9.62962
2020-08-16,17.77777
2020-08-17,26.66666
2020-08-18,55.55555
2020-08-19,48.14814
2020-08-20,65.92592
2020-08-21,35.55555
2020-08-22,22.96296
2020-08-23,37.03703
2020-08-24,80.0
2020-08-25,63.7037
2020-08-26,39.25925
2020-08-27,46.66666
2020-08-28,37.77777
2020-08-29,11.85185
2020-08-30,35.55555
2020-08-31,67.4074
2020-09-01,42.96296
2020-09-02,32.59259
2020-09-03,39.25925
2020-09-04,38.51851
2020-09-05,25.18518
2020-09-06,28.14814
2020-09-07,60.74074
2020-09-08,53.33333
2020-09-09,62.22222
2020-09-10,47.4074
2020-09-11,52.59259
2020-09-12,16.29629
2020-09-13,15.55555
2020-09-14,42.96296
2020-09-15,43.7037
2020-09-16,45.18518
2020-09-17,42.22222
2020-09-18,53.33333
2020-09-19,12.59259
2020-09-20,20.0
2020-09-21,41.48148
2020-09-22,49.62962
2020-09-23,45.92592
2020-09-24,44.44444
2020-09-25,40.74074
2020-09-26,14.07407
2020-09-27,13.33333
2020-09-28,57.03703
2020-09-29,22.96296
2020-09-30,11.11111
2020-10-01,10.37037
2020-10-02,17.77777
2020-10-03,24.44444
2020-10-04,28.88888
2020-10-05,76.29629
2020-10-06,63.7037
2020-10-07,40.0
2020-10-08,45.18518
2020-10-09,13.33333
2020-10-10,16.29629
2020-10-11,14.81481
2020-10-12,50.37037
2020-10-13,56.29629
2020-10-14,48.14814
2020-10-15,40.0
2020-10-16,34.07407
2020-10-17,22.22222
2020-10-18,20.0
2020-10-19,51.85185
2020-10-20,63.7037
2020-10-21,40.0
2020-10-22,42.22222
2020-10-23,56.29629
2020-10-24,25.18518
2020-10-25,20.74074
2020-10-26,54.81481
2020-10-27,57.77777
2020-10-28,51.85185
2020-10-29,40.74074
2020-10-30,37.77777
2020-10-31,12.59259
2020-11-01,16.29629
2020-11-02,62.96296
2020-11-03,69.62962
2020-11-04,72.59259
2020-11-05,60.0
2020-11-06,46.66666
2020-11-07,19.25925
2020-11-08,26.66666
2020-11-09,77.77777
2020-11-10,54.81481
2020-11-11,48.14814
2020-11-12,53.33333
2020-11-13,45.92592
2020-11-14,22.96296
2020-11-15,16.29629
2020-11-16,51.11111
2020-11-17,49.62962
2020-11-18,48.14814
2020-11-19,48.88888
2020-11-20,32.59259
2020-11-21,20.0
2020-11-22,17.77777
2020-11-23,51.85185
2020-11-24,56.29629
2020-11-25,54.81481
2020-11-26,34.07407
2020-11-27,34.07407
2020-11-28,17.03703
2020-11-29,20.0
2020-11-30,46.66666
2020-12-01,46.66666
2020-12-02,58.51851
2020-12-03,48.14814
2020-12-04,48.88888
2020-12-05,27.4074
2020-12-06,22.22222
2020-12-07,61.48148
2020-12-08,38.51851
