date,앱테크
2020-03-20,15.21331
2020-03-21,15.21331
2020-03-22,11.74402
2020-03-23,11.11111
2020-03-24,9.70464
2020-03-25,9.82184
2020-03-26,10.26722
2020-03-27,44.421
2020-03-28,14.76793
2020-03-29,9.51711
2020-03-30,11.86122
2020-03-31,12.35349
2020-04-01,13.1036
2020-04-02,11.46272
2020-04-03,9.98593
2020-04-04,8.8842
2020-04-05,9.86872
2020-04-06,9.86872
2020-04-07,11.72058
2020-04-08,10.43131
2020-04-09,10.07969
2020-04-10,8.76699
2020-04-11,9.32958
2020-04-12,11.53305
2020-04-13,10.61884
2020-04-14,10.24378
2020-04-15,9.58743
2020-04-16,9.09517
2020-04-17,9.96249
2020-04-18,7.89967
2020-04-19,12.02531
2020-04-20,11.88466
2020-04-21,11.50961
2020-04-22,11.76746
2020-04-23,11.34552
2020-04-24,9.25925
2020-04-25,8.04031
2020-04-26,9.7984
2020-04-27,12.35349
2020-04-28,10.94702
2020-04-29,9.0014
2020-04-30,9.47022
2020-05-01,9.18893
2020-05-02,7.59493
2020-05-03,9.6812
2020-05-04,9.82184
2020-05-05,11.60337
2020-05-06,10.57196
2020-05-07,8.34505
2020-05-08,7.94655
2020-05-09,7.14955
2020-05-10,8.0872
2020-05-11,8.79043
2020-05-12,8.55602
2020-05-13,8.0872
2020-05-14,8.53258
2020-05-15,8.79043
2020-05-16,6.4932
2020-05-17,8.18096
2020-05-18,8.67323
2020-05-19,8.06375
2020-05-20,7.92311
2020-05-21,7.61837
2020-05-22,7.12611
2020-05-23,5.86029
2020-05-24,7.47773
2020-05-25,7.61837
2020-05-26,7.61837
2020-05-27,7.87623
2020-05-28,7.0089
2020-05-29,5.86029
2020-05-30,5.97749
2020-05-31,6.8917
2020-06-01,9.02484
2020-06-02,8.8842
2020-06-03,8.67323
2020-06-04,8.36849
2020-06-05,7.82934
2020-06-06,5.43834
2020-06-07,6.58696
2020-06-08,7.92311
2020-06-09,6.68073
2020-06-10,7.66526
2020-06-11,6.82137
2020-06-12,6.72761
2020-06-13,4.78199
2020-06-14,5.64932
2020-06-15,7.07923
2020-06-16,7.52461
2020-06-17,6.58696
2020-06-18,6.8917
2020-06-19,6.68073
2020-06-20,6.58696
2020-06-21,6.68073
2020-06-22,7.94655
2020-06-23,7.73558
2020-06-24,7.07923
2020-06-25,7.33708
2020-06-26,6.91514
2020-06-27,5.34458
2020-06-28,5.78996
2020-06-29,7.50117
2020-06-30,7.85278
2020-07-01,10.03281
2020-07-02,10.26722
2020-07-03,7.54805
2020-07-04,6.11814
2020-07-05,6.46976
2020-07-06,6.39943
2020-07-07,7.4074
2020-07-08,7.31364
2020-07-09,8.43881
2020-07-10,100.0
2020-07-11,8.57946
2020-07-12,7.73558
2020-07-13,7.4074
2020-07-14,8.27473
2020-07-15,18.65916
2020-07-16,9.6812
2020-07-17,7.73558
2020-07-18,5.8134
2020-07-19,7.10267
2020-07-20,8.22784
2020-07-21,8.29817
2020-07-22,7.43084
2020-07-23,7.89967
2020-07-24,6.07126
2020-07-25,6.42287
2020-07-26,6.82137
2020-07-27,8.04031
2020-07-28,9.32958
2020-07-29,9.58743
2020-07-30,7.61837
2020-07-31,6.39943
2020-08-01,6.72761
2020-08-02,6.65729
2020-08-03,6.58696
2020-08-04,8.01687
2020-08-05,7.50117
2020-08-06,6.44631
2020-08-07,7.07923
2020-08-08,6.58696
2020-08-09,6.77449
2020-08-10,7.89967
2020-08-11,7.59493
2020-08-12,6.93858
2020-08-13,6.56352
2020-08-14,6.63384
2020-08-15,5.76652
2020-08-16,6.54008
2020-08-17,7.03234
2020-08-18,7.07923
2020-08-19,7.24331
2020-08-20,7.43084
2020-08-21,6.91514
2020-08-22,7.17299
2020-08-23,7.73558
2020-08-24,7.75902
2020-08-25,7.82934
2020-08-26,9.35302
2020-08-27,8.04031
2020-08-28,7.4074
2020-08-29,7.33708
2020-08-30,8.06375
2020-08-31,8.36849
2020-09-01,10.54852
2020-09-02,9.70464
2020-09-03,14.55696
2020-09-04,56.00093
2020-09-05,11.22831
2020-09-06,10.50164
2020-09-07,10.40787
2020-09-08,9.72808
2020-09-09,10.17346
2020-09-10,8.41537
2020-09-11,8.25128
2020-09-12,8.81387
2020-09-13,7.85278
2020-09-14,7.99343
2020-09-15,9.09517
2020-09-16,7.94655
2020-09-17,8.41537
2020-09-18,8.46225
2020-09-19,7.87623
2020-09-20,7.2902
2020-09-21,8.50914
2020-09-22,7.38396
2020-09-23,6.75105
2020-09-24,9.86872
2020-09-25,6.91514
2020-09-26,10.15002
2020-09-27,11.97843
2020-09-28,11.55649
2020-09-29,9.75152
2020-09-30,11.25175
2020-10-01,10.66572
2020-10-02,8.53258
2020-10-03,8.62634
2020-10-04,9.82184
2020-10-05,9.61087
2020-10-06,9.56399
2020-10-07,11.48616
2020-10-08,10.10314
2020-10-09,8.46225
2020-10-10,8.95452
2020-10-11,9.70464
2020-10-12,9.04828
2020-10-13,8.6029
2020-10-14,7.75902
2020-10-15,10.15002
2020-10-16,9.51711
2020-10-17,9.37646
2020-10-18,9.82184
2020-10-19,9.37646
2020-10-20,10.78293
