date,이구산업주가
2020-03-20,0.55726
2020-03-23,0.55726
2020-03-24,0.41061
2020-03-25,0.46927
2020-03-26,0.46927
2020-03-27,0.48394
2020-03-30,0.63059
2020-03-31,0.38128
2020-04-01,0.43994
2020-04-02,0.36662
2020-04-03,0.35195
2020-04-04,0.07332
2020-04-06,0.51327
2020-04-07,0.41061
2020-04-08,0.46927
2020-04-09,0.45461
2020-04-10,0.36662
2020-04-13,0.30796
2020-04-14,0.35195
2020-04-16,0.33729
2020-04-17,0.45461
2020-04-20,0.36662
2020-04-21,0.38128
2020-04-22,0.39595
2020-04-23,0.45461
2020-04-24,0.33729
2020-04-27,0.45461
2020-04-28,0.30796
2020-04-29,0.26396
2020-05-04,0.33729
2020-05-05,0.08798
2020-05-06,0.52793
2020-05-07,0.35195
2020-05-08,2.34638
2020-05-09,0.43994
2020-05-10,0.4986
2020-05-11,1.96509
2020-05-12,1.39316
2020-05-13,1.11453
2020-05-14,1.27584
2020-05-15,1.05587
2020-05-16,0.08798
2020-05-18,0.93855
2020-05-19,0.67458
2020-05-20,0.55726
2020-05-21,0.4986
2020-05-22,0.43994
2020-05-23,0.2053
2020-05-24,0.17597
2020-05-25,1.0852
2020-05-26,0.82123
2020-05-27,0.73324
2020-05-28,1.05587
2020-05-29,1.24651
2020-05-30,0.14664
2020-05-31,0.14664
2020-06-01,1.05587
2020-06-02,0.90922
2020-06-03,1.61313
2020-06-04,1.24651
2020-06-05,0.95321
2020-06-06,0.26396
2020-06-07,0.17597
2020-06-08,1.11453
2020-06-09,1.02654
2020-06-10,0.90922
2020-06-11,1.14386
2020-06-12,0.63059
2020-06-15,0.89455
2020-06-16,0.80656
2020-06-17,0.98254
2020-06-18,0.92388
2020-06-19,0.89455
2020-06-21,0.11731
2020-06-22,0.83589
2020-06-23,0.67458
2020-06-24,0.87989
2020-06-25,2.28772
2020-06-26,1.0852
2020-06-27,0.35195
2020-06-28,0.14664
2020-06-29,2.91831
2020-06-30,6.14459
2020-07-01,1.90643
2020-07-02,1.40783
2020-07-03,0.82123
2020-07-04,0.10265
2020-07-05,0.08798
2020-07-06,0.64525
2020-07-07,0.63059
2020-07-08,0.58659
2020-07-09,0.46927
2020-07-10,0.4986
2020-07-11,0.08798
2020-07-13,0.33729
2020-07-14,0.71858
2020-07-15,0.64525
2020-07-16,0.68925
2020-07-17,0.61592
2020-07-20,0.30796
2020-07-21,0.5426
2020-07-22,0.74791
2020-07-23,0.4986
2020-07-24,0.2493
2020-07-25,0.10265
2020-07-26,0.08798
2020-07-27,0.39595
2020-07-28,0.32262
2020-07-29,0.26396
2020-07-30,0.26396
2020-07-31,0.27863
2020-08-02,0.07332
2020-08-03,0.26396
2020-08-04,0.2053
2020-08-05,0.27863
2020-08-06,0.23463
2020-08-07,0.33729
2020-08-09,0.10265
2020-08-10,0.30796
2020-08-11,0.21997
2020-08-12,0.35195
2020-08-13,0.27863
2020-08-14,0.35195
2020-08-17,0.08798
2020-08-18,0.35195
2020-08-19,0.2493
2020-08-20,0.32262
2020-08-21,0.23463
2020-08-24,0.23463
2020-08-25,0.36662
2020-08-26,0.41061
2020-08-27,0.2053
2020-08-28,0.4986
2020-08-31,0.29329
2020-09-01,0.41061
2020-09-02,0.39595
2020-09-03,0.32262
2020-09-04,0.36662
2020-09-05,0.2053
2020-09-06,0.2053
2020-09-07,0.96788
2020-09-08,0.55726
