date,보험설계
2020-03-20,68.68131
2020-03-21,41.75824
2020-03-22,47.25274
2020-03-23,66.48351
2020-03-24,80.76923
2020-03-25,74.72527
2020-03-26,86.26373
2020-03-27,65.93406
2020-03-28,41.75824
2020-03-29,35.71428
2020-03-30,88.46153
2020-03-31,64.28571
2020-04-01,62.08791
2020-04-02,62.08791
2020-04-03,61.53846
2020-04-04,36.26373
2020-04-05,28.02197
2020-04-06,51.64835
2020-04-07,66.48351
2020-04-08,69.78021
2020-04-09,64.83516
2020-04-10,56.04395
2020-04-11,34.06593
2020-04-12,40.65934
2020-04-13,61.53846
2020-04-14,60.98901
2020-04-15,34.06593
2020-04-16,73.62637
2020-04-17,73.07692
2020-04-18,35.16483
2020-04-19,35.71428
2020-04-20,65.93406
2020-04-21,71.42857
2020-04-22,74.17582
2020-04-23,75.27472
2020-04-24,54.3956
2020-04-25,42.85714
2020-04-26,42.30769
2020-04-27,75.27472
2020-04-28,81.86813
2020-04-29,58.24175
2020-04-30,32.96703
2020-05-01,31.31868
2020-05-02,31.86813
2020-05-03,26.92307
2020-05-04,60.98901
2020-05-05,38.46153
2020-05-06,64.28571
2020-05-07,66.48351
2020-05-08,44.50549
2020-05-09,35.71428
2020-05-10,25.27472
2020-05-11,75.27472
2020-05-12,50.54945
2020-05-13,67.03296
2020-05-14,60.98901
2020-05-15,60.43956
2020-05-16,37.36263
2020-05-17,28.57142
2020-05-18,64.28571
2020-05-19,76.37362
2020-05-20,65.38461
2020-05-21,63.18681
2020-05-22,60.43956
2020-05-23,29.67032
2020-05-24,26.92307
2020-05-25,60.98901
2020-05-26,67.58241
2020-05-27,72.52747
2020-05-28,64.28571
2020-05-29,57.6923
2020-05-30,35.71428
2020-05-31,29.67032
2020-06-01,72.52747
2020-06-02,67.58241
2020-06-03,62.08791
2020-06-04,61.53846
2020-06-05,59.8901
2020-06-06,34.61538
2020-06-07,31.86813
2020-06-08,70.32967
2020-06-09,54.94505
2020-06-10,73.62637
2020-06-11,71.97802
2020-06-12,53.84615
2020-06-13,24.17582
2020-06-14,34.06593
2020-06-15,50.54945
2020-06-16,63.18681
2020-06-17,60.43956
2020-06-18,74.72527
2020-06-19,53.2967
2020-06-20,27.47252
2020-06-21,30.21978
2020-06-22,66.48351
2020-06-23,68.13186
2020-06-24,71.42857
2020-06-25,61.53846
2020-06-26,58.7912
2020-06-27,31.31868
2020-06-28,27.47252
2020-06-29,70.32967
2020-06-30,62.08791
2020-07-01,67.03296
2020-07-02,48.90109
2020-07-03,53.84615
2020-07-04,36.81318
2020-07-05,27.47252
2020-07-06,69.78021
2020-07-07,71.42857
2020-07-08,55.4945
2020-07-09,63.18681
2020-07-10,58.7912
2020-07-11,28.57142
2020-07-12,31.31868
2020-07-13,88.46153
2020-07-14,86.81318
2020-07-15,70.87912
2020-07-16,65.93406
2020-07-17,56.04395
2020-07-18,31.31868
2020-07-19,31.86813
2020-07-20,78.02197
2020-07-21,85.71428
2020-07-22,52.74725
2020-07-23,69.23076
2020-07-24,60.98901
2020-07-25,54.3956
2020-07-26,31.31868
2020-07-27,73.07692
2020-07-28,57.6923
2020-07-29,85.71428
2020-07-30,73.07692
2020-07-31,42.30769
2020-08-01,28.57142
2020-08-02,31.86813
2020-08-03,50.54945
2020-08-04,63.73626
2020-08-05,65.38461
2020-08-06,70.32967
2020-08-07,59.8901
2020-08-08,31.31868
2020-08-09,33.51648
2020-08-10,59.8901
2020-08-11,67.58241
2020-08-12,63.73626
2020-08-13,61.53846
2020-08-14,53.84615
2020-08-15,34.61538
2020-08-16,34.06593
2020-08-17,56.04395
2020-08-18,64.83516
2020-08-19,75.82417
2020-08-20,74.17582
2020-08-21,65.93406
