date,달러환율전망
2020-03-20,100.0
2020-03-21,27.35331
2020-03-22,28.57709
2020-03-23,65.56195
2020-03-24,55.6195
2020-03-25,48.52814
2020-03-26,38.95614
2020-03-27,41.45002
2020-03-28,16.25983
2020-03-29,14.21578
2020-03-30,29.27829
2020-03-31,24.15823
2020-04-01,25.726
2020-04-02,25.65323
2020-04-03,20.11642
2020-04-04,11.54329
2020-04-05,10.47826
2020-04-06,22.26632
2020-04-07,24.39637
2020-04-08,19.36892
2020-04-09,18.36343
2020-04-10,21.81649
2020-04-11,9.28755
2020-04-12,9.54554
2020-04-13,19.12416
2020-04-14,14.95005
2020-04-15,8.40775
2020-04-16,20.33472
2020-04-17,16.39214
2020-04-18,7.06489
2020-04-19,6.74737
2020-04-20,15.34034
2020-04-21,21.01607
2020-04-22,17.82761
2020-04-23,14.76483
2020-04-24,14.44731
2020-04-25,6.63491
2020-04-26,6.35046
2020-04-27,14.28193
2020-04-28,13.48151
2020-04-29,13.54104
2020-04-30,6.82675
2020-05-01,6.75398
2020-05-02,4.98776
2020-05-03,4.99437
2020-05-04,12.79354
2020-05-05,6.68121
2020-05-06,11.43745
2020-05-07,10.6701
2020-05-08,10.68333
2020-05-09,4.37256
2020-05-10,3.66474
2020-05-11,11.41099
2020-05-12,9.84322
2020-05-13,8.71204
2020-05-14,9.1751
2020-05-15,10.4055
2020-05-16,5.35159
2020-05-17,4.77607
2020-05-18,11.95342
2020-05-19,12.26433
2020-05-20,9.92921
2020-05-21,9.04279
2020-05-22,14.50684
2020-05-23,6.55553
2020-05-24,6.33062
2020-05-25,17.27194
2020-05-26,15.44618
2020-05-27,6.74737
2020-05-28,10.89501
2020-05-29,8.89726
2020-05-30,5.17959
2020-05-31,4.92161
2020-06-01,14.07025
2020-06-02,13.62704
2020-06-03,19.17708
2020-06-04,14.63914
2020-06-05,20.40748
2020-06-06,9.25448
2020-06-07,7.84547
2020-06-08,27.21439
2020-06-09,31.95739
2020-06-10,33.55163
2020-06-11,29.1526
2020-06-12,20.47363
2020-06-13,6.90613
2020-06-14,7.19058
2020-06-15,18.6148
2020-06-16,14.9699
2020-06-17,12.6017
2020-06-18,11.23238
2020-06-19,9.79691
2020-06-20,4.45855
2020-06-21,4.13441
2020-06-22,10.92809
2020-06-23,11.11331
2020-06-24,14.59284
2020-06-25,11.64913
2020-06-26,14.44069
2020-06-27,4.8753
2020-06-28,4.70331
2020-06-29,13.34259
2020-06-30,14.0504
2020-07-01,10.12105
2020-07-02,9.24125
2020-07-03,8.54005
2020-07-04,3.93596
2020-07-05,3.78381
2020-07-06,13.25659
2020-07-07,14.29516
2020-07-08,10.58411
2020-07-09,12.49586
2020-07-10,11.44406
2020-07-11,4.23364
2020-07-12,3.9955
2020-07-13,9.51246
2020-07-14,10.12105
2020-07-15,9.38016
2020-07-16,8.49374
2020-07-17,7.2435
2020-07-18,2.95032
2020-07-19,3.21492
2020-07-20,6.83998
2020-07-21,10.65026
2020-07-22,13.62042
2020-07-23,9.75722
2020-07-24,8.91711
2020-07-25,4.45194
2020-07-26,3.5589
2020-07-27,11.9005
2020-07-28,14.2687
2020-07-29,13.48812
2020-07-30,15.4528
2020-07-31,16.86842
2020-08-01,5.72203
2020-08-02,4.92822
2020-08-03,9.26109
2020-08-04,8.05053
2020-08-05,14.21578
2020-08-06,19.07124
2020-08-07,14.16947
2020-08-08,6.15201
2020-08-09,4.829
2020-08-10,13.48151
2020-08-11,13.91149
2020-08-12,11.45729
2020-08-13,11.73513
2020-08-14,8.34821
2020-08-15,3.41337
2020-08-16,2.8114
2020-08-17,4.73638
2020-08-18,8.09684
2020-08-19,12.62155
2020-08-20,13.5212
2020-08-21,8.26222
2020-08-22,3.47291
2020-08-23,3.3803
2020-08-24,9.02956
2020-08-25,7.69994
2020-08-26,6.74075
2020-08-27,7.59409
2020-08-28,7.39564
2020-08-29,3.84997
2020-08-30,3.36045
2020-08-31,9.53892
2020-09-01,8.59297
2020-09-02,8.85096
2020-09-03,9.38016
2020-09-04,9.25448
2020-09-05,3.27445
2020-09-06,2.95032
2020-09-07,6.69444
2020-09-08,5.76834
2020-09-09,6.92597
2020-09-10,6.03955
2020-09-11,5.37143
2020-09-12,2.47403
2020-09-13,2.0639
2020-09-14,6.95905
2020-09-15,9.658
2020-09-16,16.08784
2020-09-17,13.39551
2020-09-18,34.1536
2020-09-19,11.30515
2020-09-20,8.84434
2020-09-21,28.20665
2020-09-22,20.27518
2020-09-23,16.2003
2020-09-24,17.87391
2020-09-25,12.54217
2020-09-26,4.86207
2020-09-27,3.88304
2020-09-28,9.76384
2020-09-29,7.95131
2020-09-30,3.34722
2020-10-01,2.92386
2020-10-02,3.94919
2020-10-03,3.78381
2020-10-04,3.9955
2020-10-05,13.87179
2020-10-06,12.99199
2020-10-07,13.3029
2020-10-08,22.43169
2020-10-09,11.90712
2020-10-10,8.19607
2020-10-11,7.15088
2020-10-12,28.25296
2020-10-13,21.48574
2020-10-14,20.38764
2020-10-15,18.48911
2020-10-16,14.99636
2020-10-17,6.5423
2020-10-18,5.13329
2020-10-19,20.24211
2020-10-20,22.61692
2020-10-21,33.14149
2020-10-22,23.06013
2020-10-23,23.38426
2020-10-24,13.42197
2020-10-25,10.79579
2020-10-26,24.9785
2020-10-27,25.60031
2020-10-28,21.67096
2020-10-29,18.46927
2020-10-30,17.61592
2020-10-31,7.03181
2020-11-01,6.96566
2020-11-02,15.21465
2020-11-03,14.50684
2020-11-04,21.18806
2020-11-05,25.82522
2020-11-06,26.6058
2020-11-07,11.45729
2020-11-08,12.95892
2020-11-09,40.39822
2020-11-10,30.23748
2020-11-11,31.64649
2020-11-12,24.83296
2020-11-13,18.22451
2020-11-14,8.84434
2020-11-15,8.13653
2020-11-16,31.54726
2020-11-17,28.79539
2020-11-18,29.33783
2020-11-19,30.87252
2020-11-20,18.21128
2020-11-21,8.69881
2020-11-22,9.56538
2020-11-23,20.98299
2020-11-24,20.59932
2020-11-25,26.08321
2020-11-26,24.09869
2020-11-27,25.64
2020-11-28,13.69319
2020-11-29,11.49037
2020-11-30,21.25421
2020-12-01,18.54203
2020-12-02,26.38751
2020-12-03,44.61864
2020-12-04,58.13322
2020-12-05,26.05014
2020-12-06,21.69081
2020-12-07,44.31434
2020-12-08,34.88787
2020-12-09,32.86366
2020-12-10,30.43593
2020-12-11,27.80975
2020-12-12,12.99861
2020-12-13,12.34371
2020-12-14,23.18581
2020-12-15,23.33134
2020-12-16,21.26744
2020-12-17,21.23437
2020-12-18,26.41397
2020-12-19,11.33161
2020-12-20,10.71641
2020-12-21,29.24522
2020-12-22,24.38975
2020-12-23,21.28729
2020-12-24,17.04703
2020-12-25,9.00972
2020-12-26,8.2093
2020-12-27,7.79916
2020-12-28,21.88926
2020-12-29,21.69742
2020-12-30,28.55725
2020-12-31,22.49785
2021-01-01,10.70979
2021-01-02,9.25448
2021-01-03,10.27981
2021-01-04,31.27604
2021-01-05,24.1913
2021-01-06,23.47688
2021-01-07,21.35344
2021-01-08,25.13064
2021-01-09,12.06588
2021-01-10,10.86194
2021-01-11,26.24859
2021-01-12,25.63339
2021-01-13,21.06238
2021-01-14,21.65112
2021-01-15,17.94668
2021-01-16,11.04055
2021-01-17,9.45293
