date,코인거래방법
2020-03-25,3.861
2020-04-11,2.3166
2020-04-13,1.9305
2020-05-14,2.3166
2020-07-27,1.9305
2020-08-29,1.9305
2020-10-12,2.3166
2020-10-24,2.3166
2020-11-22,2.3166
2020-11-24,4.2471
2020-11-25,2.3166
2020-11-28,2.3166
2020-12-20,1.9305
2020-12-30,2.3166
2021-01-03,1.9305
2021-01-04,2.3166
2021-01-07,4.2471
2021-01-08,2.7027
2021-01-09,1.9305
2021-01-10,1.9305
2021-01-11,1.9305
2021-01-14,3.0888
2021-01-16,3.4749
2021-01-17,1.9305
2021-01-23,1.9305
2021-02-01,4.2471
2021-02-02,2.3166
2021-02-03,3.4749
2021-02-04,5.0193
2021-02-06,2.7027
2021-02-09,2.7027
2021-02-10,3.4749
2021-02-11,8.4942
2021-02-12,3.0888
2021-02-13,1.9305
2021-02-14,4.2471
2021-02-15,1.9305
2021-02-16,3.4749
2021-02-17,13.89961
2021-02-18,34.74903
2021-02-19,17.76061
2021-02-20,15.05791
2021-02-21,14.28571
2021-02-22,15.83011
2021-02-23,3.861
2021-02-24,5.7915
2021-02-25,3.0888
2021-02-27,2.7027
2021-02-28,3.0888
2021-03-01,3.4749
2021-03-02,2.7027
2021-03-03,2.3166
2021-03-04,3.0888
2021-03-06,2.7027
2021-03-08,4.6332
2021-03-09,8.4942
2021-03-10,6.5637
2021-03-11,10.03861
2021-03-12,7.3359
2021-03-13,13.89961
2021-03-14,8.8803
2021-03-15,13.12741
2021-03-16,18.91891
2021-03-17,14.67181
2021-03-18,16.21621
2021-03-19,13.12741
2021-03-20,15.44401
2021-03-21,15.44401
2021-03-22,14.67181
2021-03-23,11.96911
2021-03-24,6.1776
2021-03-25,8.8803
2021-03-26,5.4054
2021-03-27,3.0888
2021-03-28,8.1081
2021-03-29,10.03861
2021-03-30,19.69111
2021-03-31,17.37451
2021-04-01,32.04633
2021-04-02,43.24324
2021-04-03,31.66023
2021-04-04,20.07722
2021-04-05,39.38223
2021-04-06,27.41312
2021-04-07,22.39382
2021-04-08,11.58301
2021-04-09,11.96911
2021-04-10,10.81081
2021-04-11,15.05791
2021-04-12,14.28571
2021-04-13,17.37451
2021-04-14,22.39382
2021-04-15,20.07722
2021-04-16,33.20463
2021-04-17,40.92664
2021-04-18,25.86872
2021-04-19,33.20463
2021-04-20,41.31274
2021-04-21,45.55984
2021-04-22,38.22393
2021-04-23,28.18532
2021-04-24,15.05791
2021-04-25,20.84942
2021-04-26,21.23552
2021-04-27,16.60231
2021-04-28,8.4942
2021-04-29,10.42471
2021-04-30,7.722
2021-05-01,5.4054
2021-05-02,8.4942
2021-05-03,15.44401
2021-05-04,16.98841
2021-05-05,19.30501
2021-05-06,28.18532
2021-05-07,27.79922
2021-05-08,20.84942
2021-05-09,20.46332
2021-05-10,23.16602
2021-05-11,18.14671
2021-05-12,15.05791
2021-05-13,14.28571
2021-05-14,12.74131
2021-05-15,11.58301
2021-05-16,8.4942
2021-05-17,10.81081
2021-05-18,6.9498
2021-05-19,8.1081
2021-05-20,11.96911
2021-05-21,18.53281
2021-05-22,11.96911
2021-05-23,5.4054
2021-05-24,3.861
2021-05-25,7.722
2021-05-26,13.89961
2021-05-27,6.9498
2021-05-28,3.0888
2021-05-29,7.722
2021-05-30,4.6332
2021-05-31,1.9305
2021-06-01,3.0888
2021-06-02,3.861
2021-06-03,8.8803
2021-06-04,5.4054
2021-06-05,2.7027
2021-06-06,2.7027
2021-06-07,3.0888
2021-06-08,5.0193
2021-06-09,2.7027
2021-06-10,2.7027
2021-06-11,2.3166
2021-06-12,4.6332
2021-06-13,2.3166
2021-06-14,3.0888
2021-06-15,2.3166
2021-06-16,2.3166
2021-06-18,1.9305
2021-06-20,2.3166
2021-06-22,2.7027
2021-06-23,3.4749
2021-06-24,7.3359
2021-06-26,2.7027
2021-06-28,3.0888
2021-06-29,4.2471
2021-06-30,3.0888
2021-07-01,3.4749
2021-07-03,1.9305
2021-07-05,4.6332
2021-07-12,1.9305
2021-07-19,2.7027
2021-07-21,1.9305
2021-07-23,2.3166
2021-07-24,2.7027
2021-07-25,3.0888
2021-07-26,5.0193
2021-07-27,2.3166
2021-07-28,3.0888
2021-08-02,2.7027
2021-08-03,2.7027
2021-08-04,4.2471
2021-08-05,3.861
2021-08-06,4.2471
2021-08-07,4.6332
2021-08-08,5.4054
2021-08-09,1.9305
2021-08-10,3.861
2021-08-11,4.6332
2021-08-12,3.861
2021-08-13,8.8803
2021-08-14,8.8803
2021-08-15,6.1776
2021-08-16,3.861
2021-08-17,2.7027
2021-08-18,4.6332
2021-08-19,1.9305
2021-08-20,6.5637
2021-08-21,2.7027
2021-08-23,4.6332
2021-08-24,2.3166
2021-08-25,5.7915
2021-08-26,1.9305
2021-08-28,2.3166
2021-08-29,5.4054
2021-08-30,2.7027
2021-09-01,4.6332
2021-09-02,3.4749
2021-09-03,7.3359
2021-09-05,5.0193
2021-09-06,3.0888
2021-09-07,6.1776
2021-09-08,3.4749
2021-09-09,5.7915
2021-09-10,1.9305
2021-09-11,2.3166
2021-09-15,4.2471
2021-09-16,3.4749
2021-09-17,3.861
2021-09-18,3.0888
2021-09-19,2.3166
2021-09-22,6.1776
2021-09-23,3.0888
2021-09-24,3.861
2021-09-25,2.3166
2021-09-26,5.0193
2021-09-27,2.7027
2021-09-29,1.9305
2021-09-30,3.4749
2021-10-01,3.0888
2021-10-02,7.3359
2021-10-04,2.3166
2021-10-05,3.4749
2021-10-06,3.861
2021-10-07,5.0193
2021-10-08,5.0193
2021-10-09,2.7027
2021-10-10,3.861
2021-10-11,3.0888
2021-10-12,8.1081
2021-10-13,5.7915
2021-10-14,8.4942
2021-10-15,10.81081
2021-10-16,5.4054
2021-10-17,5.0193
2021-10-18,3.861
2021-10-19,7.3359
2021-10-20,6.5637
2021-10-21,8.4942
2021-10-22,3.4749
2021-10-23,3.0888
2021-10-24,4.2471
2021-10-25,5.4054
2021-10-26,6.9498
2021-10-27,8.1081
2021-10-28,7.722
2021-10-29,11.96911
2021-10-30,4.6332
2021-10-31,6.9498
2021-11-01,7.3359
2021-11-02,6.9498
2021-11-03,5.4054
2021-11-04,12.35521
2021-11-05,10.03861
2021-11-06,6.1776
2021-11-07,6.9498
2021-11-08,17.37451
2021-11-09,12.74131
2021-11-10,15.05791
2021-11-11,16.98841
2021-11-12,17.76061
2021-11-13,15.05791
2021-11-14,9.6525
2021-11-15,11.96911
2021-11-16,19.30501
2021-11-17,18.91891
2021-11-18,20.07722
2021-11-19,14.28571
2021-11-20,16.98841
2021-11-21,19.30501
2021-11-22,20.07722
2021-11-23,19.30501
2021-11-24,18.14671
2021-11-25,20.07722
2021-11-26,26.64092
2021-11-27,26.25482
