date,분양
2020-03-20,40.27179
2020-03-21,43.25488
2020-03-22,41.79648
2020-03-23,48.22671
2020-03-24,52.7345
2020-03-25,50.9115
2020-03-26,47.46436
2020-03-27,43.55319
2020-03-28,38.81339
2020-03-29,37.91846
2020-03-30,49.15478
2020-03-31,46.60258
2020-04-01,46.03911
2020-04-02,45.0116
2020-04-03,36.92409
2020-04-04,36.62578
2020-04-05,37.48757
2020-04-06,48.293
2020-04-07,46.73516
2020-04-08,43.35432
2020-04-09,46.07225
2020-04-10,40.33808
2020-04-11,37.25555
2020-04-12,39.44315
2020-04-13,46.13854
2020-04-14,45.90652
2020-04-15,39.31057
2020-04-16,47.06662
2020-04-17,45.44249
2020-04-18,37.65329
2020-04-19,44.24925
2020-04-20,55.2867
2020-04-21,56.91083
2020-04-22,50.21544
2020-04-23,48.25986
2020-04-24,41.2993
2020-04-25,36.26118
2020-04-26,39.8409
2020-04-27,49.45309
2020-04-28,49.08849
2020-04-29,42.62512
2020-04-30,39.24428
2020-05-01,37.05667
2020-05-02,36.82466
2020-05-03,43.88465
2020-05-04,49.71826
2020-05-05,46.27113
2020-05-06,59.26416
2020-05-07,55.85018
2020-05-08,52.50248
2020-05-09,44.28239
2020-05-10,42.35996
2020-05-11,66.75505
2020-05-12,66.29101
2020-05-13,56.04905
2020-05-14,51.77328
2020-05-15,50.81206
2020-05-16,46.07225
2020-05-17,47.53065
2020-05-18,76.86443
2020-05-19,71.95889
2020-05-20,100.0
2020-05-21,70.86509
2020-05-22,62.31355
2020-05-23,44.54756
2020-05-24,49.7514
2020-05-25,63.24163
2020-05-26,66.58932
2020-05-27,58.83327
2020-05-28,64.43486
2020-05-29,54.52436
2020-05-30,42.29366
2020-05-31,45.07789
2020-06-01,62.87703
2020-06-02,80.47729
2020-06-03,75.80377
2020-06-04,63.57308
2020-06-05,49.58568
2020-06-06,41.69705
2020-06-07,46.50314
2020-06-08,73.11899
2020-06-09,69.47298
2020-06-10,69.77129
2020-06-11,62.61186
2020-06-12,53.36426
2020-06-13,43.81836
2020-06-14,48.39244
2020-06-15,65.23036
2020-06-16,66.09214
2020-06-17,66.65561
2020-06-18,51.93901
2020-06-19,51.24295
2020-06-20,40.43752
2020-06-21,43.52005
2020-06-22,60.02651
2020-06-23,59.92707
2020-06-24,54.59065
2020-06-25,52.33675
2020-06-26,48.06098
2020-06-27,38.01789
2020-06-28,41.86277
2020-06-29,58.13722
2020-06-30,56.51309
2020-07-01,56.94398
2020-07-02,50.4806
2020-07-03,47.46436
2020-07-04,37.98475
2020-07-05,42.69141
2020-07-06,55.68445
2020-07-07,55.05469
