date,부동산취득세
2020-03-20,3.69155
2020-03-21,2.49384
2020-03-22,2.67432
2020-03-23,4.38063
2020-03-24,4.0689
2020-03-25,4.28219
2020-03-26,4.51189
2020-03-27,3.74077
2020-03-28,2.13289
2020-03-29,2.08367
2020-03-30,4.47908
2020-03-31,3.85561
2020-04-01,3.60951
2020-04-02,3.46185
2020-04-03,3.41263
2020-04-04,2.00164
2020-04-05,2.19852
2020-04-06,4.31501
2020-04-07,4.15094
2020-04-08,4.10172
2020-04-09,3.72436
2020-04-10,3.347
2020-04-11,2.60869
2020-04-12,2.42821
2020-04-13,4.67596
2020-04-14,4.01968
2020-04-15,2.83839
2020-04-16,4.34782
2020-04-17,4.31501
2020-04-18,3.46185
2020-04-19,2.67432
2020-04-20,5.20098
2020-04-21,5.41427
2020-04-22,4.85643
2020-04-23,4.49548
2020-04-24,3.92124
2020-04-25,2.24774
2020-04-26,2.6251
2020-04-27,4.74159
2020-04-28,5.08613
2020-04-29,4.57752
2020-04-30,2.24774
2020-05-01,2.8712
2020-05-02,2.10008
2020-05-03,2.19852
2020-05-04,4.47908
2020-05-05,3.56029
2020-05-06,4.67596
2020-05-07,4.5283
2020-05-08,4.13453
2020-05-09,2.57588
2020-05-10,3.18293
2020-05-11,5.18457
2020-05-12,4.74159
2020-05-13,5.2502
2020-05-14,4.61033
2020-05-15,4.61033
2020-05-16,2.88761
2020-05-17,3.13371
2020-05-18,6.23461
2020-05-19,4.88925
2020-05-20,6.75963
2020-05-21,5.64397
2020-05-22,5.69319
2020-05-23,3.21575
2020-05-24,3.347
2020-05-25,5.726
2020-05-26,5.69319
2020-05-27,4.61033
2020-05-28,5.726
2020-05-29,4.51189
2020-05-30,2.80557
2020-05-31,2.8712
2020-06-01,5.4963
2020-06-02,5.15176
2020-06-03,5.0041
2020-06-04,4.82362
2020-06-05,4.5283
2020-06-06,3.5767
2020-06-07,3.26497
2020-06-08,6.56275
2020-06-09,5.9557
2020-06-10,5.98851
2020-06-11,5.75881
2020-06-12,5.38146
2020-06-13,3.97046
2020-06-14,3.18293
2020-06-15,6.4315
2020-06-16,6.4315
2020-06-17,6.46431
2020-06-18,8.105
2020-06-19,6.11977
2020-06-20,4.24938
2020-06-21,4.13453
2020-06-22,8.8105
2020-06-23,8.31829
2020-06-24,7.94093
2020-06-25,7.08777
2020-06-26,5.90648
2020-06-27,5.4963
2020-06-28,4.39704
2020-06-29,7.23543
2020-06-30,7.57998
2020-07-01,6.61197
2020-07-02,7.21903
2020-07-03,7.28465
2020-07-04,4.23297
2020-07-05,4.08531
2020-07-06,9.56521
2020-07-07,11.61607
2020-07-08,11.36997
2020-07-09,13.73256
2020-07-10,100.0
2020-07-11,35.70139
2020-07-12,22.1657
2020-07-13,29.5324
2020-07-14,31.84577
2020-07-15,28.99097
