date,한화솔루션주가
2020-11-07,7.11704
2020-11-08,9.70209
2020-11-09,81.60833
2020-11-10,75.86195
2020-11-11,67.18867
2020-11-12,60.26697
2020-11-13,53.42992
2020-11-14,7.62819
2020-11-15,5.87009
2020-11-16,53.43317
2020-11-17,50.28487
2020-11-18,50.00813
2020-11-19,44.93895
2020-11-20,39.40419
2020-11-21,4.63942
2020-11-22,3.92642
2020-11-23,43.04085
2020-11-24,50.00488
2020-11-25,45.22871
2020-11-26,43.59433
2020-11-27,38.4405
2020-11-28,4.95848
2020-11-29,4.92593
2020-11-30,41.23392
2020-12-01,43.92642
2020-12-02,42.62412
2020-12-03,43.47712
2020-12-04,48.93048
2020-12-05,7.12355
2020-12-06,6.17287
2020-12-07,50.6137
2020-12-08,49.9886
2020-12-09,45.49243
2020-12-10,39.49861
2020-12-11,40.74881
2020-12-12,5.03011
2020-12-13,3.79619
2020-12-14,39.3228
2020-12-15,36.32752
2020-12-16,58.37538
2020-12-17,49.84209
2020-12-18,44.20315
2020-12-19,5.54777
2020-12-20,4.65896
2020-12-21,46.68728
2020-12-22,57.67865
2020-12-23,50.40533
2020-12-24,43.20039
2020-12-25,5.89939
2020-12-26,5.13104
2020-12-27,5.99706
2020-12-28,47.56633
2020-12-29,65.11802
2020-12-30,54.41315
2020-12-31,9.3928
2021-01-01,6.10125
2021-01-02,5.59335
2021-01-03,5.83428
2021-01-04,58.12143
2021-01-05,90.62021
2021-01-06,83.49666
2021-01-07,95.61126
2021-01-08,97.62005
2021-01-09,12.53459
2021-01-10,12.33273
2021-01-11,100.0
2021-01-12,86.17939
2021-01-13,85.59661
2021-01-14,82.3018
2021-01-15,88.75468
2021-01-16,10.53231
2021-01-17,9.89744
2021-01-18,71.3495
2021-01-19,77.96841
2021-01-20,82.26924
2021-01-21,82.61761
2021-01-22,72.85691
2021-01-23,9.38954
2021-01-24,7.66726
2021-01-25,66.88263
2021-01-26,60.03581
2021-01-27,53.68386
2021-01-28,51.31043
2021-01-29,55.58847
2021-01-30,6.97704
2021-01-31,5.66172
2021-02-01,57.95214
2021-02-02,58.79212
2021-02-03,50.93602
2021-02-04,48.26631
2021-02-05,65.27429
2021-02-06,9.72489
2021-02-07,8.45515
2021-02-08,58.70421
2021-02-09,49.87465
2021-02-10,41.40647
2021-02-11,4.50919
2021-02-12,3.68875
2021-02-13,4.47664
2021-02-14,5.84405
2021-02-15,50.80579
2021-02-16,45.42405
2021-02-17,40.67068
2021-02-18,43.71805
2021-02-19,45.56731
2021-02-20,5.28731
2021-02-21,4.63291
2021-02-22,44.10548
2021-02-23,44.92918
2021-02-24,47.07471
2021-02-25,50.90021
2021-02-26,42.09018
2021-02-27,6.41054
2021-02-28,5.76591
2021-03-01,6.24776
2021-03-02,45.55103
2021-03-03,41.15578
2021-03-04,37.07309
2021-03-05,35.96939
2021-03-06,5.14732
2021-03-07,4.86732
2021-03-08,39.05909
2021-03-09,39.6614
2021-03-10,36.55868
2021-03-11,37.86097
2021-03-12,44.43757
2021-03-13,5.23522
2021-03-14,4.64919
2021-03-15,41.31857
2021-03-16,39.20559
2021-03-17,36.63682
2021-03-18,40.36464
2021-03-19,33.2769
2021-03-20,4.86081
2021-03-21,4.19339
2021-03-22,34.9829
2021-03-23,33.14015
2021-03-24,34.90476
2021-03-25,61.78414
2021-03-26,52.02669
2021-03-27,6.76867
2021-03-28,6.49845
2021-03-29,53.84665
2021-03-30,46.85658
2021-03-31,57.89028
2021-04-01,51.18346
2021-04-02,49.28536
2021-04-03,7.62819
2021-04-04,6.5831
2021-04-05,46.62542
2021-04-06,44.24222
2021-04-07,41.30229
2021-04-08,41.70275
2021-04-09,38.58049
2021-04-10,4.73058
2021-04-11,4.28455
2021-04-12,40.0293
2021-04-13,43.0669
2021-04-14,58.45678
2021-04-15,49.50349
2021-04-16,46.11753
2021-04-17,6.96402
2021-04-18,6.52124
2021-04-19,51.18346
2021-04-20,42.06088
2021-04-21,38.18004
2021-04-22,46.20869
2021-04-23,41.29252
2021-04-24,4.72733
2021-04-25,3.88735
2021-04-26,42.98225
2021-04-27,39.16001
2021-04-28,40.11069
2021-04-29,37.874
2021-04-30,33.03597
2021-05-01,4.27152
2021-05-02,3.57805
2021-05-03,36.28194
2021-05-04,35.19127
2021-05-05,4.71756
2021-05-06,34.26664
2021-05-07,34.64431
2021-05-08,3.73107
2021-05-09,3.55852
2021-05-10,37.71121
2021-05-11,32.72668
2021-05-12,35.92707
2021-05-13,32.86016
2021-05-14,32.29692
2021-05-15,4.10548
2021-05-16,3.39899
2021-05-17,31.26485
2021-05-18,29.74116
2021-05-19,4.39524
2021-05-20,34.98941
2021-05-21,35.40615
2021-05-22,3.50968
2021-05-23,3.26876
2021-05-24,31.10206
2021-05-25,31.63275
2021-05-26,30.71789
2021-05-27,31.88995
2021-05-28,31.96809
2021-05-29,3.92967
2021-05-30,3.40224
2021-05-31,32.46947
2021-06-01,34.16571
2021-06-02,32.52156
2021-06-03,34.72244
2021-06-04,29.52954
2021-06-05,4.20315
2021-06-06,3.64642
2021-06-07,35.65033
2021-06-08,31.38857
2021-06-09,30.93602
2021-06-10,32.67133
2021-06-11,43.50968
2021-06-12,5.36871
2021-06-13,4.71756
2021-06-14,35.81963
2021-06-15,32.44994
2021-06-16,31.19648
2021-06-17,29.82256
2021-06-18,40.96044
2021-06-19,5.89614
2021-06-20,4.69477
2021-06-21,36.99169
2021-06-22,33.93781
2021-06-23,37.04053
2021-06-24,39.57675
2021-06-25,34.10711
2021-06-26,3.91339
2021-06-27,3.21992
2021-06-28,29.18118
2021-06-29,34.16571
2021-06-30,37.62331
2021-07-01,31.81181
2021-07-02,32.39459
2021-07-03,3.94921
2021-07-04,3.44457
2021-07-05,34.01269
2021-07-06,32.83412
2021-07-07,30.06348
2021-07-08,29.77047
2021-07-09,31.04997
2021-07-10,3.20364
2021-07-11,2.49715
2021-07-12,33.61875
2021-07-13,35.87172
2021-07-14,31.23229
2021-07-15,34.06804
2021-07-16,30.08953
2021-07-17,3.05388
2021-07-18,2.9269
2021-07-19,27.04216
2021-07-20,28.55608
2021-07-21,32.91225
2021-07-22,32.21552
2021-07-23,30.08953
2021-07-24,3.35666
2021-07-25,2.69575
2021-07-26,25.13755
2021-07-27,25.86684
2021-07-28,25.27104
2021-07-29,31.86391
2021-07-30,41.60182
2021-07-31,4.45059
2021-08-01,3.94595
2021-08-02,34.755
2021-08-03,33.18573
2021-08-04,37.87725
2021-08-05,34.37734
2021-08-06,31.04997
2021-08-07,3.67898
2021-08-08,3.10597
2021-08-09,33.77502
2021-08-10,42.14227
2021-08-11,34.20804
2021-08-12,35.78707
2021-08-13,31.30066
2021-08-14,3.2655
2021-08-15,2.75435
2021-08-16,4.99104
2021-08-17,30.00162
2021-08-18,32.42064
2021-08-19,28.74165
2021-08-20,28.4291
2021-08-21,3.73107
2021-08-22,2.97248
2021-08-23,34.36106
2021-08-24,34.27641
2021-08-25,42.22041
2021-08-26,38.54794
2021-08-27,42.54273
2021-08-28,4.16734
2021-08-29,3.44782
2021-08-30,35.66986
2021-08-31,35.84893
2021-09-01,35.02197
2021-09-02,30.25557
2021-09-03,31.81507
2021-09-04,3.21341
2021-09-05,2.8683
2021-09-06,39.86651
2021-09-07,48.86211
2021-09-08,41.73856
2021-09-09,38.9842
2021-09-10,38.40794
2021-09-11,4.26827
2021-09-12,3.692
2021-09-13,52.78853
2021-09-14,47.76819
2021-09-15,39.04932
2021-09-16,33.622
2021-09-17,31.18997
2021-09-18,3.15155
2021-09-19,1.95995
2021-09-20,2.59156
2021-09-21,2.20413
2021-09-22,2.88783
2021-09-23,31.53182
2021-09-24,29.21373
2021-09-25,3.17434
2021-09-26,2.54273
2021-09-27,33.84339
2021-09-28,48.89142
2021-09-29,48.72863
2021-09-30,44.33664
2021-10-01,35.89776
2021-10-02,3.81898
2021-10-03,2.62086
2021-10-04,5.66498
2021-10-05,45.34592
2021-10-06,50.22627
2021-10-07,46.98355
2021-10-08,36.40566
2021-10-09,3.32736
2021-10-10,2.3311
2021-10-11,4.16734
2021-10-12,49.61093
