date,아파트경매
2020-03-20,34.59522
2020-03-21,34.4205
2020-03-22,37.15783
2020-03-23,44.9039
2020-03-24,39.07979
2020-03-25,40.41933
2020-03-26,100.0
2020-03-27,41.35119
2020-03-28,38.73034
2020-03-29,39.6622
2020-03-30,42.74898
2020-03-31,42.22481
2020-04-01,35.52708
2020-04-02,42.39953
2020-04-03,35.99301
2020-04-04,27.83925
2020-04-05,32.26557
2020-04-06,40.6523
2020-04-07,55.79499
2020-04-08,44.32149
2020-04-09,37.9732
2020-04-10,31.33372
2020-04-11,28.24694
2020-04-12,38.03145
2020-04-13,43.62259
2020-04-14,41.64239
2020-04-15,40.82702
2020-04-16,40.01164
2020-04-17,34.76994
2020-04-18,28.01397
2020-04-19,36.45894
2020-04-20,44.26324
2020-04-21,44.08852
2020-04-22,43.79732
2020-04-23,40.41933
2020-04-24,39.6622
2020-04-25,29.23704
2020-04-26,34.76994
2020-04-27,40.82702
2020-04-28,42.9237
2020-04-29,35.64356
2020-04-30,27.54804
2020-05-01,34.24577
2020-05-02,34.01281
2020-05-03,36.05125
2020-05-04,35.87652
2020-05-05,42.45777
2020-05-06,37.39079
2020-05-07,37.79848
2020-05-08,28.36342
2020-05-09,25.80081
2020-05-10,32.78974
2020-05-11,41.87536
2020-05-12,40.59405
2020-05-13,37.15783
2020-05-14,35.17763
2020-05-15,30.4601
2020-05-16,28.71287
2020-05-17,32.14909
2020-05-18,60.629
2020-05-19,56.26092
2020-05-20,41.99184
2020-05-21,41.75888
2020-05-22,35.23587
2020-05-23,30.40186
2020-05-24,39.07979
2020-05-25,48.1654
2020-05-26,45.95224
2020-05-27,45.36983
2020-05-28,35.76004
2020-05-29,38.38089
2020-05-30,31.21723
2020-05-31,38.90506
2020-06-01,39.9534
2020-06-02,39.54571
2020-06-03,39.42923
2020-06-04,36.86662
2020-06-05,34.4205
2020-06-06,31.10075
2020-06-07,35.06115
2020-06-08,38.03145
2020-06-09,37.39079
2020-06-10,39.13803
2020-06-11,38.08969
2020-06-12,29.00407
2020-06-13,31.04251
2020-06-14,36.57542
2020-06-15,46.30168
2020-06-16,39.83692
2020-06-17,37.44903
2020-06-18,35.99301
2020-06-19,32.38206
2020-06-20,25.68433
2020-06-21,32.49854
2020-06-22,44.26324
2020-06-23,36.80838
2020-06-24,35.7018
2020-06-25,31.39196
2020-06-26,28.59638
2020-06-27,27.1986
2020-06-28,31.4502
2020-06-29,38.84682
2020-06-30,35.35235
2020-07-01,34.36225
2020-07-02,35.64356
2020-07-03,31.4502
2020-07-04,26.26674
2020-07-05,30.86779
2020-07-06,39.25451
2020-07-07,33.48864
2020-07-08,36.75014
2020-07-09,34.4205
2020-07-10,24.51951
2020-07-11,21.258
2020-07-12,29.87769
2020-07-13,32.32382
2020-07-14,33.66336
2020-07-15,32.55678
2020-07-16,29.12055
2020-07-17,25.62609
2020-07-18,26.03377
2020-07-19,23.06348
2020-07-20,33.66336
2020-07-21,30.40186
2020-07-22,31.4502
2020-07-23,35.00291
2020-07-24,24.2283
2020-07-25,27.1986
2020-07-26,26.84915
2020-07-27,34.47874
2020-07-28,39.31275
2020-07-29,30.86779
2020-07-30,30.4601
2020-07-31,27.25684
2020-08-01,23.87885
2020-08-02,27.1986
2020-08-03,28.82935
2020-08-04,31.39196
2020-08-05,28.82935
2020-08-06,29.52824
2020-08-07,28.88759
2020-08-08,24.11182
2020-08-09,28.82935
2020-08-10,32.67326
2020-08-11,32.4403
2020-08-12,34.30401
2020-08-13,35.41059
2020-08-14,24.81071
2020-08-15,23.93709
2020-08-16,24.51951
2020-08-17,31.85789
2020-08-18,30.51834
2020-08-19,34.01281
2020-08-20,33.54688
2020-08-21,28.36342
2020-08-22,27.37332
2020-08-23,25.80081
2020-08-24,33.66336
2020-08-25,31.04251
2020-08-26,35.46884
2020-08-27,33.54688
2020-08-28,35.41059
2020-08-29,30.92603
2020-08-30,32.20733
2020-08-31,33.54688
2020-09-01,33.54688
2020-09-02,50.61153
2020-09-03,36.75014
2020-09-04,28.94583
2020-09-05,30.40186
2020-09-06,33.31391
2020-09-07,43.85556
2020-09-08,38.38089
2020-09-09,37.50728
2020-09-10,36.80838
2020-09-11,34.36225
2020-09-12,27.89749
2020-09-13,30.34362
2020-09-14,38.38089
2020-09-15,33.89633
2020-09-16,32.84799
2020-09-17,33.08095
2020-09-18,26.73267
2020-09-19,25.10192
2020-09-20,27.43156
2020-09-21,33.7216
2020-09-22,29.12055
2020-09-23,27.83925
2020-09-24,29.70297
