date,차보험료
2020-03-20,34.48275
2020-03-21,25.57471
2020-03-22,36.7816
2020-03-23,37.64367
2020-03-24,38.7931
2020-03-25,33.04597
2020-03-26,33.62068
2020-03-27,28.73563
2020-03-28,29.5977
2020-03-29,32.47126
2020-03-30,37.64367
2020-03-31,55.74712
2020-04-01,39.65517
2020-04-02,41.95402
2020-04-03,40.80459
2020-04-04,34.77011
2020-04-05,41.37931
2020-04-06,47.12643
2020-04-07,39.08045
2020-04-08,45.97701
2020-04-09,44.82758
2020-04-10,29.5977
2020-04-11,29.02298
2020-04-12,33.90804
2020-04-13,43.67816
2020-04-14,40.22988
2020-04-15,38.7931
2020-04-16,41.95402
2020-04-17,34.1954
2020-04-18,32.47126
2020-04-19,34.1954
2020-04-20,43.67816
2020-04-21,38.7931
2020-04-22,45.11494
2020-04-23,37.64367
2020-04-24,39.08045
2020-04-25,31.32183
2020-04-26,30.45977
2020-04-27,37.64367
2020-04-28,36.7816
2020-04-29,35.05747
2020-04-30,30.45977
2020-05-01,30.45977
2020-05-02,29.5977
2020-05-03,31.32183
2020-05-04,41.66666
2020-05-05,27.5862
2020-05-06,41.95402
2020-05-07,39.65517
2020-05-08,36.7816
2020-05-09,25.0
2020-05-10,27.29885
2020-05-11,37.06896
2020-05-12,31.32183
2020-05-13,33.04597
2020-05-14,33.04597
2020-05-15,40.22988
2020-05-16,27.87356
2020-05-17,35.05747
2020-05-18,37.06896
2020-05-19,30.45977
2020-05-20,38.21839
2020-05-21,33.62068
2020-05-22,26.14942
2020-05-23,27.87356
2020-05-24,28.16091
2020-05-25,45.97701
2020-05-26,41.95402
2020-05-27,36.7816
2020-05-28,31.03448
2020-05-29,35.34482
2020-05-30,32.1839
2020-05-31,30.17241
2020-06-01,39.94252
2020-06-02,30.45977
2020-06-03,35.05747
2020-06-04,35.91954
2020-06-05,36.20689
2020-06-06,27.01149
2020-06-07,33.62068
2020-06-08,47.9885
2020-06-09,37.93103
2020-06-10,37.93103
2020-06-11,35.91954
2020-06-12,29.02298
2020-06-13,24.42528
2020-06-14,35.05747
2020-06-15,36.49425
2020-06-16,33.90804
2020-06-17,33.62068
2020-06-18,29.31034
2020-06-19,31.03448
2020-06-20,26.14942
2020-06-21,28.44827
2020-06-22,47.9885
2020-06-23,39.08045
2020-06-24,35.91954
2020-06-25,27.01149
2020-06-26,30.17241
2020-06-27,26.72413
2020-06-28,34.77011
2020-06-29,42.24137
2020-06-30,36.49425
2020-07-01,30.45977
2020-07-02,30.74712
2020-07-03,32.47126
2020-07-04,23.85057
2020-07-05,34.48275
2020-07-06,38.50574
2020-07-07,40.51724
2020-07-08,36.20689
2020-07-09,34.1954
2020-07-10,32.75862
2020-07-11,30.45977
2020-07-12,34.77011
2020-07-13,41.95402
2020-07-14,39.94252
2020-07-15,36.20689
2020-07-16,30.45977
2020-07-17,25.86206
2020-07-18,25.0
2020-07-19,30.17241
2020-07-20,43.10344
2020-07-21,37.93103
2020-07-22,37.06896
2020-07-23,34.77011
2020-07-24,34.48275
2020-07-25,27.87356
2020-07-26,37.06896
2020-07-27,37.35632
2020-07-28,39.36781
2020-07-29,36.20689
2020-07-30,36.49425
2020-07-31,27.87356
2020-08-01,20.40229
2020-08-02,22.9885
2020-08-03,28.16091
2020-08-04,28.16091
2020-08-05,31.89655
2020-08-06,39.65517
2020-08-07,28.16091
2020-08-08,20.97701
2020-08-09,24.42528
2020-08-10,34.77011
2020-08-11,36.49425
2020-08-12,36.49425
2020-08-13,38.21839
2020-08-14,31.89655
2020-08-15,28.16091
2020-08-16,25.57471
2020-08-17,32.1839
2020-08-18,37.93103
2020-08-19,37.06896
2020-08-20,43.96551
2020-08-21,27.01149
2020-08-22,28.73563
2020-08-23,33.62068
2020-08-24,36.49425
2020-08-25,41.66666
2020-08-26,30.17241
2020-08-27,32.1839
2020-08-28,25.86206
2020-08-29,33.62068
2020-08-30,32.1839
2020-08-31,42.52873
2020-09-01,39.08045
2020-09-02,34.77011
2020-09-03,29.88505
2020-09-04,36.7816
2020-09-05,29.5977
2020-09-06,33.04597
2020-09-07,29.31034
2020-09-08,31.03448
2020-09-09,37.35632
2020-09-10,33.04597
2020-09-11,31.60919
2020-09-12,25.0
2020-09-13,27.29885
2020-09-14,37.93103
2020-09-15,46.55172
2020-09-16,40.22988
2020-09-17,35.63218
2020-09-18,31.60919
2020-09-19,34.77011
2020-09-20,35.34482
2020-09-21,40.80459
2020-09-22,45.11494
2020-09-23,34.77011
2020-09-24,31.89655
2020-09-25,36.7816
2020-09-26,34.77011
2020-09-27,33.04597
2020-09-28,41.95402
2020-09-29,35.63218
2020-09-30,25.86206
2020-10-01,32.75862
2020-10-02,28.73563
2020-10-03,32.47126
2020-10-04,31.32183
2020-10-05,28.73563
2020-10-06,34.77011
2020-10-07,41.37931
2020-10-08,26.72413
2020-10-09,32.75862
2020-10-10,26.43678
2020-10-11,24.42528
2020-10-12,35.34482
2020-10-13,31.32183
2020-10-14,33.04597
2020-10-15,24.71264
2020-10-16,19.25287
2020-10-17,19.82758
2020-10-18,22.41379
2020-10-19,36.7816
2020-10-20,27.01149
2020-10-21,27.29885
2020-10-22,31.32183
2020-10-23,25.28735
2020-10-24,25.86206
2020-10-25,30.45977
2020-10-26,47.41379
2020-10-27,38.7931
2020-10-28,30.74712
2020-10-29,35.91954
2020-10-30,38.50574
2020-10-31,20.97701
2020-11-01,32.75862
2020-11-02,37.35632
2020-11-03,27.87356
2020-11-04,36.49425
2020-11-05,41.37931
2020-11-06,28.73563
