date,창업
2020-03-20,77.74358
2020-03-21,64.547
2020-03-22,65.02564
2020-03-23,77.16239
2020-03-24,77.94871
2020-03-25,76.51282
2020-03-26,76.8547
2020-03-27,68.88888
2020-03-28,57.26495
2020-03-29,62.05128
2020-03-30,80.99145
2020-03-31,76.20512
2020-04-01,67.55555
2020-04-02,69.4017
2020-04-03,63.17948
2020-04-04,49.64102
2020-04-05,60.34188
2020-04-06,76.23931
2020-04-07,78.94017
2020-04-08,76.44444
2020-04-09,78.11965
2020-04-10,68.03418
2020-04-11,54.59829
2020-04-12,65.02564
2020-04-13,83.65811
2020-04-14,73.7094
2020-04-15,58.80341
2020-04-16,76.47863
2020-04-17,75.76068
2020-04-18,59.21367
2020-04-19,64.30769
2020-04-20,85.09401
2020-04-21,75.55555
2020-04-22,86.52991
2020-04-23,75.72649
2020-04-24,69.60683
2020-04-25,54.35897
2020-04-26,61.23076
2020-04-27,81.36752
2020-04-28,73.53846
2020-04-29,67.55555
2020-04-30,55.6923
2020-05-01,55.38461
2020-05-02,47.52136
2020-05-03,58.8376
2020-05-04,71.00854
2020-05-05,67.48717
2020-05-06,74.11965
2020-05-07,78.66666
2020-05-08,59.72649
2020-05-09,54.52991
2020-05-10,58.94017
2020-05-11,72.8547
2020-05-12,78.73504
2020-05-13,73.64102
2020-05-14,70.49572
2020-05-15,63.52136
2020-05-16,52.68376
2020-05-17,60.92307
2020-05-18,88.10256
2020-05-19,83.4188
2020-05-20,73.84615
2020-05-21,73.43589
2020-05-22,67.79487
2020-05-23,50.18803
2020-05-24,59.21367
2020-05-25,78.94017
2020-05-26,81.7094
2020-05-27,75.07692
2020-05-28,68.2735
2020-05-29,63.07692
2020-05-30,48.17094
2020-05-31,60.61538
2020-06-01,74.08547
2020-06-02,73.91452
2020-06-03,70.59829
2020-06-04,72.78632
2020-06-05,63.28205
2020-06-06,49.74358
2020-06-07,58.25641
2020-06-08,81.19658
2020-06-09,74.66666
2020-06-10,72.64957
2020-06-11,71.93162
2020-06-12,69.1282
2020-06-13,48.17094
2020-06-14,60.82051
2020-06-15,79.14529
2020-06-16,76.58119
2020-06-17,81.43589
2020-06-18,73.84615
2020-06-19,67.82905
2020-06-20,53.36752
2020-06-21,61.19658
2020-06-22,80.44444
2020-06-23,82.46153
2020-06-24,76.13675
2020-06-25,75.79487
2020-06-26,65.19658
2020-06-27,51.14529
2020-06-28,56.30769
2020-06-29,80.75213
2020-06-30,78.15384
2020-07-01,74.18803
2020-07-02,70.01709
2020-07-03,68.30769
