date,4대보험가입확인
2020-03-20,33.95061
2020-03-21,18.15843
2020-03-22,15.02057
2020-03-23,36.67695
2020-03-24,39.35185
2020-03-25,42.64403
2020-03-26,42.90123
2020-03-27,39.19753
2020-03-28,23.14814
2020-03-29,22.0679
2020-03-30,64.91769
2020-03-31,55.60699
2020-04-01,75.36008
2020-04-02,49.74279
2020-04-03,59.10493
2020-04-04,26.0288
2020-04-05,23.19958
2020-04-06,48.14814
2020-04-07,42.64403
2020-04-08,38.16872
2020-04-09,37.60288
2020-04-10,44.80452
2020-04-11,21.34773
2020-04-12,23.45679
2020-04-13,45.57613
2020-04-14,38.5288
2020-04-15,27.21193
2020-04-16,45.21604
2020-04-17,38.83744
2020-04-18,18.72427
2020-04-19,20.67901
2020-04-20,39.0432
2020-04-21,40.89506
2020-04-22,35.8539
2020-04-23,35.18518
2020-04-24,34.46502
2020-04-25,19.393
2020-04-26,16.76954
2020-04-27,41.25514
2020-04-28,39.09465
2020-04-29,45.42181
2020-04-30,27.10905
2020-05-01,33.23045
2020-05-02,22.47942
2020-05-03,22.11934
2020-05-04,56.73868
2020-05-05,30.96707
2020-05-06,55.65843
2020-05-07,56.06995
2020-05-08,47.11934
2020-05-09,23.86831
2020-05-10,25.30864
2020-05-11,100.0
2020-05-12,71.81069
2020-05-13,58.23045
2020-05-14,53.13786
2020-05-15,47.94238
2020-05-16,20.31893
2020-05-17,20.11316
2020-05-18,46.60493
2020-05-19,46.86213
2020-05-20,42.12962
2020-05-21,39.14609
2020-05-22,36.26543
2020-05-23,14.09465
2020-05-24,18.51851
2020-05-25,46.09053
2020-05-26,37.60288
2020-05-27,41.87242
2020-05-28,46.09053
2020-05-29,37.96296
2020-05-30,19.80452
2020-05-31,20.21604
2020-06-01,52.62345
2020-06-02,44.6502
2020-06-03,42.02674
2020-06-04,40.38065
2020-06-05,39.86625
2020-06-06,19.03292
2020-06-07,19.85596
2020-06-08,42.23251
2020-06-09,39.14609
2020-06-10,54.4753
2020-06-11,43.26131
2020-06-12,36.31687
2020-06-13,16.87242
2020-06-14,18.05555
2020-06-15,46.96502
2020-06-16,39.50617
2020-06-17,39.45473
2020-06-18,33.28189
2020-06-19,27.52057
2020-06-20,12.86008
2020-06-21,16.51234
2020-06-22,39.45473
2020-06-23,35.23662
2020-06-24,33.79629
2020-06-25,34.97942
2020-06-26,31.53292
2020-06-27,16.04938
2020-06-28,16.30658
2020-06-29,40.53497
2020-06-30,44.75308
2020-07-01,47.0679
2020-07-02,44.393
2020-07-03,36.52263
2020-07-04,17.33539
2020-07-05,18.15843
2020-07-06,47.01646
2020-07-07,39.30041
2020-07-08,38.68312
2020-07-09,34.20781
2020-07-10,44.49588
2020-07-11,16.92386
2020-07-12,17.95267
2020-07-13,44.29012
2020-07-14,40.27777
2020-07-15,40.53497
2020-07-16,32.04732
2020-07-17,27.67489
2020-07-18,13.786
2020-07-19,14.86625
2020-07-20,38.37448
2020-07-21,37.91152
2020-07-22,32.61316
2020-07-23,28.54938
2020-07-24,34.97942
2020-07-25,17.18106
2020-07-26,14.45473
2020-07-27,37.08847
2020-07-28,35.49382
2020-07-29,37.65432
2020-07-30,34.05349
2020-07-31,34.05349
2020-08-01,19.08436
2020-08-02,15.48353
2020-08-03,44.29012
2020-08-04,39.55761
2020-08-05,41.04938
2020-08-06,36.93415
2020-08-07,37.19135
2020-08-08,14.91769
2020-08-09,19.80452
2020-08-10,56.01851
2020-08-11,43.62139
2020-08-12,40.89506
2020-08-13,37.24279
2020-08-14,34.36213
2020-08-15,16.15226
2020-08-16,15.58641
2020-08-17,27.41769
2020-08-18,47.37654
2020-08-19,46.70781
2020-08-20,38.16872
2020-08-21,34.61934
2020-08-22,15.99794
2020-08-23,17.74691
2020-08-24,47.0679
2020-08-25,41.7181
2020-08-26,48.04526
2020-08-27,40.63786
2020-08-28,37.34567
2020-08-29,21.34773
2020-08-30,20.52469
2020-08-31,56.01851
2020-09-01,62.7572
2020-09-02,56.53292
2020-09-03,44.85596
2020-09-04,43.8786
2020-09-05,20.52469
2020-09-06,22.27366
2020-09-07,53.65226
2020-09-08,52.72633
2020-09-09,50.7716
2020-09-10,59.15637
2020-09-11,42.12962
2020-09-12,21.91358
2020-09-13,24.63991
2020-09-14,54.73251
2020-09-15,55.96707
2020-09-16,49.58847
2020-09-17,51.23456
2020-09-18,39.30041
2020-09-19,15.9465
2020-09-20,17.12962
2020-09-21,44.18724
2020-09-22,38.63168
2020-09-23,39.71193
2020-09-24,39.45473
2020-09-25,36.36831
2020-09-26,16.56378
2020-09-27,14.81481
2020-09-28,42.64403
2020-09-29,32.87037
2020-09-30,13.94032
2020-10-01,12.7572
2020-10-02,11.72839
2020-10-03,14.24897
2020-10-04,17.33539
2020-10-05,58.79629
2020-10-06,50.30864
2020-10-07,43.56995
2020-10-08,41.40946
2020-10-09,21.60493
2020-10-10,17.12962
2020-10-11,19.49588
2020-10-12,52.82921
2020-10-13,48.76543
2020-10-14,45.37037
2020-10-15,44.75308
2020-10-16,37.5
2020-10-17,17.12962
2020-10-18,17.18106
2020-10-19,47.78806
2020-10-20,45.01028
2020-10-21,44.18724
2020-10-22,39.76337
2020-10-23,36.26543
2020-10-24,17.38683
2020-10-25,18.36419
2020-10-26,44.34156
2020-10-27,40.17489
2020-10-28,45.67901
2020-10-29,33.69341
2020-10-30,34.87654
2020-10-31,15.99794
2020-11-01,19.08436
2020-11-02,45.78189
2020-11-03,37.19135
2020-11-04,38.5288
2020-11-05,41.4609
2020-11-06,31.17283
2020-11-07,17.12962
2020-11-08,17.18106
2020-11-09,41.61522
2020-11-10,49.43415
2020-11-11,40.74074
2020-11-12,35.8539
2020-11-13,32.20164
2020-11-14,15.43209
2020-11-15,18.82716
2020-11-16,42.28395
2020-11-17,36.98559
2020-11-18,36.05967
2020-11-19,31.893
2020-11-20,28.24074
2020-11-21,13.2716
2020-11-22,13.5288
2020-11-23,35.69958
2020-11-24,36.47119
2020-11-25,37.13991
2020-11-26,38.47736
2020-11-27,31.32716
2020-11-28,17.48971
2020-11-29,18.67283
2020-11-30,49.84567
2020-12-01,50.72016
2020-12-02,45.52469
2020-12-03,43.72427
2020-12-04,39.96913
2020-12-05,24.22839
2020-12-06,23.71399
2020-12-07,50.15432
2020-12-08,43.8786
2020-12-09,40.12345
2020-12-10,53.9609
2020-12-11,40.48353
2020-12-12,17.54115
2020-12-13,19.393
2020-12-14,42.07818
2020-12-15,42.18106
2020-12-16,37.60288
2020-12-17,35.49382
2020-12-18,33.12757
2020-12-19,12.60288
2020-12-20,16.15226
2020-12-21,32.6646
2020-12-22,36.47119
2020-12-23,32.25308
2020-12-24,29.16666
2020-12-25,15.12345
2020-12-26,16.15226
2020-12-27,20.42181
2020-12-28,45.37037
2020-12-29,43.41563
2020-12-30,38.786
2020-12-31,35.0823
2021-01-01,19.08436
2021-01-02,20.11316
2021-01-03,22.73662
2021-01-04,61.11111
2021-01-05,59.46502
2021-01-06,53.03497
2021-01-07,43.98148
2021-01-08,39.19753
2021-01-09,20.42181
2021-01-10,24.69135
2021-01-11,57.71604
2021-01-12,51.90329
2021-01-13,43.15843
2021-01-14,43.67283
2021-01-15,49.12551
2021-01-16,23.50823
2021-01-17,24.58847
2021-01-18,55.81275
2021-01-19,48.81687
2021-01-20,55.40123
2021-01-21,42.64403
2021-01-22,40.99794
2021-01-23,20.31893
2021-01-24,24.43415
2021-01-25,56.17283
2021-01-26,45.78189
2021-01-27,46.14197
2021-01-28,42.64403
2021-01-29,43.00411
2021-01-30,22.8395
2021-01-31,20.57613
2021-02-01,51.08024
2021-02-02,48.0967
2021-02-03,40.89506
2021-02-04,37.60288
2021-02-05,38.5288
2021-02-06,21.55349
2021-02-07,15.99794
2021-02-08,41.30658
2021-02-09,35.3395
2021-02-10,36.77983
2021-02-11,14.71193
2021-02-12,11.52263
2021-02-13,9.77366
2021-02-14,14.81481
2021-02-15,46.24485
2021-02-16,39.86625
2021-02-17,38.58024
2021-02-18,35.3395
2021-02-19,30.65843
2021-02-20,14.19753
2021-02-21,17.18106
2021-02-22,36.72839
2021-02-23,33.43621
2021-02-24,34.20781
2021-02-25,33.02469
2021-02-26,33.33333
2021-02-27,17.43827
2021-02-28,15.58641
2021-03-01,19.75308
2021-03-02,52.10905
2021-03-03,47.53086
2021-03-04,44.08436
2021-03-05,36.11111
2021-03-06,16.9753
2021-03-07,20.06172
2021-03-08,41.35802
