date,돈버는앱
2020-03-20,90.28436
2020-03-21,93.83886
2020-03-22,72.74881
2020-03-23,85.30805
2020-03-24,88.38862
2020-03-25,92.18009
2020-03-26,91.70616
2020-03-27,72.27488
2020-03-28,76.77725
2020-03-29,69.66824
2020-03-30,65.16587
2020-03-31,84.12322
2020-04-01,80.09478
2020-04-02,80.09478
2020-04-03,72.27488
2020-04-04,75.35545
2020-04-05,68.00947
2020-04-06,79.85781
2020-04-07,62.7962
2020-04-08,60.90047
2020-04-09,59.71563
2020-04-10,72.27488
2020-04-11,59.00473
2020-04-12,53.08056
2020-04-13,60.90047
2020-04-14,52.60663
2020-04-15,63.5071
2020-04-16,59.47867
2020-04-17,62.55924
2020-04-18,48.34123
2020-04-19,70.37914
2020-04-20,57.58293
2020-04-21,57.58293
2020-04-22,61.13744
2020-04-23,68.72037
2020-04-24,53.08056
2020-04-25,52.1327
2020-04-26,65.40284
2020-04-27,81.27962
2020-04-28,83.64928
2020-04-29,71.32701
2020-04-30,59.47867
2020-05-01,66.11374
2020-05-02,55.6872
2020-05-03,55.92417
2020-05-04,57.109
2020-05-05,64.69194
2020-05-06,57.58293
2020-05-07,60.42654
2020-05-08,50.7109
2020-05-09,55.21327
2020-05-10,51.89573
2020-05-11,59.47867
2020-05-12,73.45971
2020-05-13,77.48815
2020-05-14,72.98578
2020-05-15,77.48815
2020-05-16,59.71563
2020-05-17,55.92417
2020-05-18,55.92417
2020-05-19,54.50236
2020-05-20,45.97156
2020-05-21,55.6872
2020-05-22,47.86729
2020-05-23,41.94312
2020-05-24,36.49289
2020-05-25,38.15165
2020-05-26,40.52132
2020-05-27,31.04265
2020-05-28,35.54502
2020-05-29,35.54502
2020-05-30,31.99052
2020-05-31,39.33649
2020-06-01,40.04739
2020-06-02,47.63033
2020-06-03,45.02369
2020-06-04,37.44075
2020-06-05,32.93838
2020-06-06,27.01421
2020-06-07,34.12322
2020-06-08,28.43601
2020-06-09,32.70142
2020-06-10,29.85781
2020-06-11,28.67298
2020-06-12,26.30331
2020-06-13,27.72511
2020-06-14,33.88625
2020-06-15,33.41232
2020-06-16,27.96208
2020-06-17,22.27488
2020-06-18,27.48815
2020-06-19,36.49289
2020-06-20,36.96682
2020-06-21,32.70142
2020-06-22,28.90995
2020-06-23,33.17535
2020-06-24,33.88625
2020-06-25,31.51658
2020-06-26,38.86255
2020-06-27,34.36018
2020-06-28,45.49763
2020-06-29,49.05213
2020-06-30,45.26066
2020-07-01,42.65402
2020-07-02,34.83412
2020-07-03,41.94312
2020-07-04,36.96682
2020-07-05,40.04739
2020-07-06,36.25592
2020-07-07,37.20379
2020-07-08,34.12322
2020-07-09,36.96682
2020-07-10,85.78199
2020-07-11,54.02843
2020-07-12,33.17535
2020-07-13,37.91469
2020-07-14,30.80568
2020-07-15,42.18009
2020-07-16,28.90995
2020-07-17,33.64928
2020-07-18,32.22748
2020-07-19,43.60189
2020-07-20,44.31279
2020-07-21,34.12322
2020-07-22,41.70616
2020-07-23,40.04739
2020-07-24,37.20379
2020-07-25,30.80568
2020-07-26,35.30805
2020-07-27,36.01895
2020-07-28,37.20379
2020-07-29,42.89099
2020-07-30,48.10426
2020-07-31,40.99526
2020-08-01,46.20853
2020-08-02,42.65402
2020-08-03,50.0
2020-08-04,38.15165
2020-08-05,30.80568
2020-08-06,26.06635
2020-08-07,32.70142
2020-08-08,31.27962
2020-08-09,27.96208
2020-08-10,33.41232
2020-08-11,30.33175
2020-08-12,33.64928
2020-08-13,29.85781
2020-08-14,34.83412
2020-08-15,38.86255
2020-08-16,45.02369
2020-08-17,47.86729
2020-08-18,41.70616
2020-08-19,49.28909
2020-08-20,44.54976
2020-08-21,36.25592
2020-08-22,45.02369
2020-08-23,37.67772
2020-08-24,26.54028
2020-08-25,33.17535
2020-08-26,41.46919
2020-08-27,40.04739
2020-08-28,38.15165
2020-08-29,41.23222
2020-08-30,47.63033
2020-08-31,51.65876
2020-09-01,51.65876
2020-09-02,51.18483
2020-09-03,47.39336
2020-09-04,93.83886
2020-09-05,44.31279
2020-09-06,49.05213
2020-09-07,53.08056
2020-09-08,44.31279
2020-09-09,52.60663
2020-09-10,57.8199
2020-09-11,56.16113
2020-09-12,63.98104
2020-09-13,68.95734
2020-09-14,77.96208
2020-09-15,71.80094
2020-09-16,51.18483
2020-09-17,47.63033
2020-09-18,45.02369
2020-09-19,43.36492
2020-09-20,48.81516
2020-09-21,30.33175
2020-09-22,29.14691
2020-09-23,37.44075
2020-09-24,36.96682
2020-09-25,27.72511
2020-09-26,32.46445
2020-09-27,36.25592
2020-09-28,30.09478
2020-09-29,31.27962
2020-09-30,33.41232
2020-10-01,34.83412
2020-10-02,46.44549
2020-10-03,33.88625
2020-10-04,31.75355
2020-10-05,24.64454
2020-10-06,35.30805
2020-10-07,45.97156
2020-10-08,34.59715
2020-10-09,38.15165
2020-10-10,35.07109
2020-10-11,38.38862
2020-10-12,31.99052
2020-10-13,26.77725
2020-10-14,29.14691
2020-10-15,27.48815
2020-10-16,29.38388
2020-10-17,28.90995
2020-10-18,32.93838
