date,부동산펀드
2020-03-20,31.97278
2020-03-21,23.80952
2020-03-22,15.64625
2020-03-23,32.31292
2020-03-24,21.42857
2020-03-25,32.99319
2020-03-26,25.85034
2020-03-27,25.5102
2020-03-28,10.20408
2020-03-29,20.06802
2020-03-30,24.82993
2020-03-31,31.97278
2020-04-01,30.61224
2020-04-02,40.13605
2020-04-03,28.91156
2020-04-04,10.54421
2020-04-05,19.72789
2020-04-06,31.63265
2020-04-07,32.99319
2020-04-08,29.59183
2020-04-09,39.79591
2020-04-10,37.41496
2020-04-11,17.34693
2020-04-12,23.12925
2020-04-13,35.37414
2020-04-14,29.59183
2020-04-15,20.40816
2020-04-16,36.73469
2020-04-17,19.04761
2020-04-18,13.94557
2020-04-19,16.32653
2020-04-20,30.61224
2020-04-21,43.19727
2020-04-22,24.48979
2020-04-23,30.95238
2020-04-24,25.85034
2020-04-25,12.58503
2020-04-26,14.62585
2020-04-27,27.55102
2020-04-28,23.12925
2020-04-29,32.65306
2020-04-30,16.32653
2020-05-01,26.19047
2020-05-02,12.24489
2020-05-03,14.28571
2020-05-04,29.2517
2020-05-05,20.06802
2020-05-06,23.46938
2020-05-07,28.91156
2020-05-08,27.89115
2020-05-09,17.0068
2020-05-10,11.90476
2020-05-11,31.29251
2020-05-12,29.2517
2020-05-13,30.61224
2020-05-14,24.48979
2020-05-15,21.7687
2020-05-16,18.02721
2020-05-17,17.68707
2020-05-18,28.91156
2020-05-19,29.59183
2020-05-20,29.2517
2020-05-21,33.33333
2020-05-22,28.23129
2020-05-23,20.74829
2020-05-24,21.08843
2020-05-25,38.09523
2020-05-26,53.40136
2020-05-27,34.0136
2020-05-28,38.43537
2020-05-29,30.61224
2020-05-30,15.98639
2020-05-31,16.32653
2020-06-01,33.33333
2020-06-02,31.29251
2020-06-03,36.05442
2020-06-04,31.97278
2020-06-05,28.57142
2020-06-06,20.40816
2020-06-07,24.48979
2020-06-08,42.17687
2020-06-09,35.03401
2020-06-10,41.15646
2020-06-11,28.91156
2020-06-12,26.53061
2020-06-13,20.40816
2020-06-14,19.72789
2020-06-15,48.63945
2020-06-16,36.05442
2020-06-17,32.99319
2020-06-18,34.69387
2020-06-19,23.46938
2020-06-20,17.0068
2020-06-21,13.60544
2020-06-22,31.29251
2020-06-23,34.35374
2020-06-24,37.07482
2020-06-25,35.71428
2020-06-26,28.23129
2020-06-27,21.42857
2020-06-28,14.28571
2020-06-29,29.2517
2020-06-30,30.61224
2020-07-01,29.93197
2020-07-02,33.33333
2020-07-03,27.21088
2020-07-04,19.72789
2020-07-05,15.98639
2020-07-06,34.35374
2020-07-07,28.57142
2020-07-08,28.23129
2020-07-09,29.93197
2020-07-10,22.44897
2020-07-11,15.30612
2020-07-12,14.96598
2020-07-13,27.55102
2020-07-14,28.57142
2020-07-15,25.85034
2020-07-16,25.17006
2020-07-17,28.57142
2020-07-18,15.98639
2020-07-19,29.2517
2020-07-20,49.31972
2020-07-21,43.53741
2020-07-22,35.03401
2020-07-23,100.0
2020-07-24,58.16326
2020-07-25,19.04761
2020-07-26,18.36734
2020-07-27,34.69387
2020-07-28,32.31292
2020-07-29,33.33333
2020-07-30,31.97278
2020-07-31,27.55102
2020-08-01,19.72789
2020-08-02,10.88435
2020-08-03,31.63265
2020-08-04,32.31292
2020-08-05,27.89115
2020-08-06,26.87074
2020-08-07,28.91156
2020-08-08,13.2653
2020-08-09,14.62585
2020-08-10,30.2721
2020-08-11,35.03401
2020-08-12,20.40816
2020-08-13,25.5102
2020-08-14,18.36734
2020-08-15,14.28571
2020-08-16,17.34693
2020-08-17,16.32653
2020-08-18,26.19047
2020-08-19,23.46938
2020-08-20,29.93197
2020-08-21,27.89115
2020-08-22,13.60544
2020-08-23,14.28571
2020-08-24,26.87074
2020-08-25,30.95238
