date,입양
2020-11-08,3.49151
2020-11-09,4.62962
2020-11-10,18.71141
2020-11-11,27.89351
2020-11-12,20.73688
2020-11-13,9.78973
2020-11-14,5.71952
2020-11-15,6.79012
2020-11-16,11.92129
2020-11-17,15.45138
2020-11-18,11.30401
2020-11-19,9.81867
2020-11-20,7.99575
2020-11-21,5.71952
2020-11-22,4.71643
2020-11-23,5.44945
2020-11-24,5.58449
2020-11-25,4.04128
2020-11-26,4.27276
2020-11-27,3.7037
2020-11-28,3.53009
2020-11-29,4.12808
2020-11-30,3.95447
2020-12-01,3.96412
2020-12-02,3.8966
2020-12-03,3.94483
2020-12-04,3.4047
2020-12-05,3.27932
2020-12-06,3.64583
2020-12-07,3.73263
2020-12-08,3.64583
2020-12-09,6.20177
2020-12-10,5.73881
2020-12-11,5.52662
2020-12-12,6.36574
2020-12-13,5.81597
2020-12-14,6.18248
2020-12-15,5.73881
2020-12-16,5.97993
2020-12-17,5.82561
2020-12-18,5.81597
2020-12-19,3.95447
2020-12-20,4.7743
2020-12-21,4.95756
2020-12-22,4.72608
2020-12-23,4.36921
2020-12-24,4.33063
2020-12-25,4.5814
2020-12-26,4.13773
2020-12-27,5.76774
2020-12-28,5.04436
2020-12-29,4.82253
2020-12-30,3.85802
2020-12-31,3.67476
2021-01-01,3.44328
2021-01-02,8.55516
2021-01-03,36.50655
2021-01-04,33.97955
2021-01-05,30.00578
2021-01-06,29.30169
2021-01-07,16.30015
2021-01-08,13.30054
2021-01-09,14.2554
2021-01-10,12.40354
2021-01-11,10.12731
2021-01-12,7.90895
2021-01-13,12.15277
2021-01-14,9.94405
2021-01-15,8.30439
2021-01-16,7.74498
2021-01-17,8.10185
2021-01-18,100.0
2021-01-19,45.81404
2021-01-20,12.46141
2021-01-21,7.27237
2021-01-22,6.98302
2021-01-23,6.40432
2021-01-24,8.45871
2021-01-25,5.92206
2021-01-26,5.43981
2021-01-27,5.51697
2021-01-28,5.21797
2021-01-29,5.01543
2021-01-30,4.34992
2021-01-31,5.73881
2021-02-01,4.32098
2021-02-02,3.83873
2021-02-03,3.28896
2021-02-04,4.18595
2021-02-05,3.64583
2021-02-06,3.68441
2021-02-07,4.15702
2021-02-08,4.57175
2021-02-09,4.26311
2021-02-10,4.27276
2021-02-11,3.65547
2021-02-12,3.80979
2021-02-13,4.10879
2021-02-14,3.98341
2021-02-15,3.81944
2021-02-16,3.65547
2021-02-17,4.81288
2021-02-18,4.70679
2021-02-19,4.36921
2021-02-20,4.45601
2021-02-21,4.40779
2021-02-22,3.66512
2021-02-23,3.13464
2021-02-24,3.42399
2021-02-25,3.93518
2021-02-26,3.00925
2021-02-27,3.30825
2021-02-28,2.81635
2021-03-01,3.57831
2021-03-02,3.73263
2021-03-03,3.4047
2021-03-04,2.95138
2021-03-05,2.83564
2021-03-06,3.17322
2021-03-07,3.22145
2021-03-08,4.64891
2021-03-09,5.03472
2021-03-10,4.63927
2021-03-11,4.63927
2021-03-12,3.65547
2021-03-13,3.88695
2021-03-14,4.23418
2021-03-15,4.15702
2021-03-16,4.22453
2021-03-17,3.72299
2021-03-18,3.94483
2021-03-19,3.32754
2021-03-20,3.2118
2021-03-21,3.71334
2021-03-22,3.44328
2021-03-23,4.06057
2021-03-24,3.43364
2021-03-25,3.33719
2021-03-26,3.19251
2021-03-27,3.39506
2021-03-28,3.97376
2021-03-29,3.52044
2021-03-30,3.52044
2021-03-31,3.68441
2021-04-01,3.57831
2021-04-02,3.18287
2021-04-03,3.17322
2021-04-04,3.63618
2021-04-05,3.39506
2021-04-06,3.08641
2021-04-07,3.53973
2021-04-08,3.39506
2021-04-09,3.47222
2021-04-10,3.52044
2021-04-11,3.7037
2021-04-12,3.61689
2021-04-13,3.80015
2021-04-14,3.47222
2021-04-15,5.18904
2021-04-16,4.07986
2021-04-17,3.02854
2021-04-18,3.18287
2021-04-19,3.48186
2021-04-20,3.28896
2021-04-21,3.18287
2021-04-22,3.02854
2021-04-23,3.57831
2021-04-24,3.02854
2021-04-25,3.5976
2021-04-26,3.66512
2021-04-27,4.40779
2021-04-28,3.63618
2021-04-29,3.41435
2021-04-30,3.04783
2021-05-01,3.1057
2021-05-02,3.34683
2021-05-03,3.48186
2021-05-04,3.14429
2021-05-05,3.49151
2021-05-06,3.74228
2021-05-07,3.35648
2021-05-08,3.02854
2021-05-09,7.99575
2021-05-10,11.79591
2021-05-11,11.38117
2021-05-12,8.08256
2021-05-13,5.71952
2021-05-14,5.47839
2021-05-15,5.00578
2021-05-16,6.22106
2021-05-17,6.10532
2021-05-18,4.23418
2021-05-19,3.77121
2021-05-20,4.52353
2021-05-21,3.84837
2021-05-22,3.42399
2021-05-23,4.43672
2021-05-24,4.14737
2021-05-25,4.33063
2021-05-26,4.06057
2021-05-27,4.07021
2021-05-28,3.55902
2021-05-29,3.39506
2021-05-30,4.11844
2021-05-31,4.1956
2021-06-01,3.65547
2021-06-02,3.13464
2021-06-03,3.41435
2021-06-04,3.34683
2021-06-05,3.06712
2021-06-06,3.5108
2021-06-07,3.92554
2021-06-08,3.5108
2021-06-09,3.83873
2021-06-10,3.99305
2021-06-11,4.20524
2021-06-12,3.53009
2021-06-13,3.68441
2021-06-14,3.39506
2021-06-15,3.34683
2021-06-16,3.20216
2021-06-17,3.35648
2021-06-18,3.17322
2021-06-19,3.18287
2021-06-20,3.53973
2021-06-21,3.84837
2021-06-22,3.53009
2021-06-23,2.7199
2021-06-24,3.34683
2021-06-25,3.95447
2021-06-26,3.64583
2021-06-27,2.89351
2021-06-28,3.41435
2021-06-29,2.86458
2021-06-30,2.94174
2021-07-01,2.826
2021-07-02,2.87422
2021-07-03,2.68132
2021-07-04,3.14429
2021-07-05,3.48186
2021-07-06,3.26003
2021-07-07,2.94174
2021-07-08,3.28896
2021-07-09,3.5108
2021-07-10,3.72299
2021-07-11,3.71334
2021-07-12,3.33719
2021-07-13,3.4047
2021-07-14,3.78086
2021-07-15,3.53009
2021-07-16,3.64583
2021-07-17,3.13464
2021-07-18,3.13464
2021-07-19,4.16666
2021-07-20,5.7581
2021-07-21,4.61998
2021-07-22,3.46257
2021-07-23,3.36612
2021-07-24,2.98032
2021-07-25,3.0189
2021-07-26,2.93209
2021-07-27,2.92245
2021-07-28,3.63618
2021-07-29,2.84529
2021-07-30,3.34683
2021-07-31,2.59452
2021-08-01,3.20216
2021-08-02,3.30825
2021-08-03,3.56867
2021-08-04,3.49151
2021-08-05,3.2118
2021-08-06,3.19251
2021-08-07,3.03819
2021-08-08,3.16358
2021-08-09,3.15393
2021-08-10,3.22145
2021-08-11,3.55902
2021-08-12,3.94483
2021-08-13,3.17322
2021-08-14,2.98032
2021-08-15,3.19251
2021-08-16,3.38541
2021-08-17,3.50115
2021-08-18,2.98032
2021-08-19,3.30825
2021-08-20,3.18287
2021-08-21,2.95138
2021-08-22,3.46257
2021-08-23,3.68441
2021-08-24,3.56867
2021-08-25,3.22145
2021-08-26,3.28896
2021-08-27,3.26003
2021-08-28,2.93209
2021-08-29,3.34683
2021-08-30,3.66512
2021-08-31,3.28896
2021-09-01,3.25038
2021-09-02,3.18287
2021-09-03,2.9128
2021-09-04,2.76813
2021-09-05,2.97067
2021-09-06,3.53009
2021-09-07,3.87731
2021-09-08,3.0189
2021-09-09,3.03819
2021-09-10,2.84529
2021-09-11,2.81635
2021-09-12,2.94174
2021-09-13,3.05748
2021-09-14,3.20216
2021-09-15,2.36304
2021-09-16,2.96103
2021-09-17,2.39197
2021-09-18,2.05439
2021-09-19,2.39197
2021-09-20,2.31481
2021-09-21,2.9128
2021-09-22,3.16358
2021-09-23,3.26003
2021-09-24,2.80671
2021-09-25,2.97067
2021-09-26,3.13464
2021-09-27,3.34683
2021-09-28,2.85493
2021-09-29,2.85493
2021-09-30,2.89351
2021-10-01,2.51736
2021-10-02,2.54629
2021-10-03,3.52044
2021-10-04,3.16358
2021-10-05,2.88387
2021-10-06,3.17322
2021-10-07,5.10223
2021-10-08,3.69405
2021-10-09,3.19251
2021-10-10,3.23109
2021-10-11,3.09606
2021-10-12,3.03819
2021-10-13,3.22145
2021-10-14,3.08641
2021-10-15,3.00925
2021-10-16,2.67168
2021-10-17,2.98032
2021-10-18,3.46257
2021-10-19,3.14429
2021-10-20,3.47222
2021-10-21,3.04783
2021-10-22,3.56867
2021-10-23,2.55594
2021-10-24,3.48186
2021-10-25,3.1057
2021-10-26,2.95138
2021-10-27,2.87422
2021-10-28,3.45293
2021-10-29,3.09606
2021-10-30,2.78742
2021-10-31,3.0189
2021-11-01,3.26967
2021-11-02,3.14429
2021-11-03,2.46913
2021-11-04,4.09915
2021-11-05,3.97376
2021-11-06,2.95138
2021-11-07,3.2118
2021-11-08,3.43364
2021-11-09,4.5814
2021-11-10,3.90625
2021-11-11,3.54938
2021-11-12,3.05748
2021-11-13,3.19251
2021-11-14,3.14429
2021-11-15,3.34683
2021-11-16,3.23109
2021-11-17,3.58796
2021-11-18,3.09606
2021-11-19,3.29861
2021-11-20,2.84529
2021-11-21,3.14429
2021-11-22,3.06712
2021-11-23,2.98996
2021-11-24,2.76813
2021-11-25,3.64583
2021-11-26,3.19251
2021-11-27,3.03819
2021-11-28,3.0189
2021-11-29,3.42399
2021-11-30,3.20216
2021-12-01,2.826
2021-12-02,2.73919
2021-12-03,2.55594
2021-12-04,2.46913
2021-12-05,2.60416
2021-12-06,2.87422
2021-12-07,3.17322
2021-12-08,2.68132
2021-12-09,2.73919
2021-12-10,2.99961
2021-12-11,2.826
2021-12-12,2.9128
2021-12-13,2.99961
2021-12-14,2.64274
2021-12-15,2.55594
2021-12-16,2.48842
2021-12-17,2.67168
2021-12-18,2.39197
2021-12-19,2.81635
2021-12-20,4.61998
2021-12-21,3.64583
2021-12-22,3.33719
2021-12-23,5.19868
2021-12-24,3.24074
2021-12-25,2.71026
2021-12-26,3.14429
2021-12-27,2.89351
2021-12-28,2.62345
2021-12-29,2.80671
2021-12-30,2.79706
2021-12-31,2.62345
2022-01-01,2.95138
2022-01-02,2.99961
2022-01-03,2.95138
2022-01-04,2.99961
2022-01-05,3.08641
2022-01-06,2.78742
2022-01-07,2.94174
2022-01-08,2.7199
2022-01-09,3.13464
2022-01-10,3.45293
2022-01-11,3.26003
2022-01-12,3.43364
2022-01-13,3.0189
2022-01-14,2.88387
2022-01-15,2.86458
2022-01-16,3.05748
2022-01-17,2.85493
2022-01-18,2.6331
2022-01-19,2.90316
2022-01-20,2.88387
2022-01-21,3.2118
2022-01-22,2.65239
2022-01-23,2.84529
2022-01-24,2.97067
2022-01-25,3.27932
2022-01-26,3.85802
2022-01-27,5.02507
2022-01-28,6.30787
2022-01-29,3.11535
2022-01-30,4.2824
2022-01-31,4.10879
2022-02-01,2.98032
2022-02-02,3.47222
2022-02-03,3.26967
2022-02-04,3.09606
2022-02-05,3.32754
2022-02-06,3.29861
2022-02-07,3.44328
2022-02-08,2.98032
2022-02-09,3.36612
2022-02-10,3.05748
2022-02-11,3.43364
2022-02-12,2.83564
2022-02-13,3.09606
2022-02-14,2.96103
2022-02-15,3.09606
2022-02-16,3.2118
2022-02-17,3.39506
2022-02-18,3.99305
2022-02-19,3.60725
2022-02-20,3.28896
2022-02-21,3.18287
2022-02-22,3.11535
2022-02-23,2.88387
2022-02-24,2.81635
2022-02-25,3.16358
2022-02-26,2.46913
2022-02-27,3.30825
2022-02-28,2.95138
2022-03-01,2.78742
2022-03-02,2.58487
2022-03-03,2.88387
2022-03-04,3.5108
2022-03-05,2.89351
2022-03-06,2.80671
2022-03-07,2.72955
2022-03-08,2.69097
2022-03-09,2.60416
2022-03-10,2.87422
2022-03-11,2.71026
2022-03-12,2.75848
2022-03-13,3.53009
2022-03-14,2.98996
2022-03-15,3.13464
2022-03-16,3.1057
2022-03-17,3.11535
2022-03-18,3.2118
2022-03-19,3.18287
2022-03-20,3.80979
2022-03-21,3.22145
2022-03-22,3.16358
2022-03-23,3.2118
2022-03-24,2.59452
2022-03-25,2.98996
2022-03-26,3.15393
2022-03-27,3.07677
2022-03-28,3.04783
2022-03-29,3.7905
2022-03-30,3.28896
2022-03-31,3.00925
2022-04-01,2.90316
2022-04-02,2.32445
2022-04-03,4.12808
2022-04-04,3.23109
2022-04-05,3.06712
2022-04-06,3.66512
2022-04-07,4.29205
2022-04-08,4.20524
2022-04-09,2.78742
2022-04-10,2.826
2022-04-11,3.66512
2022-04-12,3.42399
2022-04-13,3.19251
2022-04-14,4.23418
2022-04-15,3.18287
2022-04-16,3.76157
2022-04-17,4.3885
2022-04-18,3.46257
2022-04-19,3.32754
2022-04-20,3.48186
2022-04-21,3.22145
2022-04-22,2.89351
2022-04-23,3.09606
2022-04-24,3.4047
2022-04-25,3.39506
2022-04-26,2.94174
2022-04-27,3.5108
2022-04-28,3.29861
2022-04-29,2.9128
2022-04-30,2.83564
2022-05-01,2.89351
2022-05-02,4.15702
2022-05-03,3.82908
2022-05-04,4.12808
2022-05-05,2.71026
2022-05-06,3.20216
2022-05-07,2.81635
2022-05-08,3.30825
2022-05-09,3.74228
2022-05-10,3.54938
2022-05-11,4.64891
2022-05-12,4.07986
2022-05-13,3.29861
2022-05-14,3.09606
