date,예금금리
2020-11-08,0.45304
2020-11-09,0.92221
2020-11-10,0.89535
2020-11-11,0.80223
2020-11-12,0.83088
2020-11-13,0.76283
2020-11-14,0.51751
2020-11-15,0.48348
2020-11-16,1.09411
2020-11-17,0.924
2020-11-18,0.91146
2020-11-19,0.87386
2020-11-20,0.84879
2020-11-21,0.47453
2020-11-22,0.56586
2020-11-23,0.95981
2020-11-24,0.92579
2020-11-25,0.90967
2020-11-26,0.91146
2020-11-27,0.88639
2020-11-28,0.49423
2020-11-29,0.54795
2020-11-30,0.9419
2020-12-01,0.95623
2020-12-02,0.96518
2020-12-03,0.91683
2020-12-04,0.97593
2020-12-05,0.55153
2020-12-06,0.70732
2020-12-07,1.0583
2020-12-08,0.91504
2020-12-09,0.95086
2020-12-10,0.99204
2020-12-11,0.88281
2020-12-12,0.5193
2020-12-13,0.61958
2020-12-14,0.96697
2020-12-15,0.99921
2020-12-16,0.97056
2020-12-17,0.98488
2020-12-18,0.88818
2020-12-19,0.5193
2020-12-20,0.62137
2020-12-21,1.00816
2020-12-22,1.00458
2020-12-23,1.02428
2020-12-24,0.95444
2020-12-25,0.60167
2020-12-26,0.66255
2020-12-27,0.7306
2020-12-28,1.32153
2020-12-29,1.14963
2020-12-30,1.1156
2020-12-31,1.05114
2021-01-01,0.79686
2021-01-02,0.79686
2021-01-03,0.99383
2021-01-04,1.62595
2021-01-05,1.33765
2021-01-06,1.23021
2021-01-07,1.06725
2021-01-08,1.10844
2021-01-09,0.66076
2021-01-10,0.80223
2021-01-11,1.35377
2021-01-12,1.1353
2021-01-13,1.29825
2021-01-14,1.35377
2021-01-15,1.34302
2021-01-16,0.69658
2021-01-17,0.77
2021-01-18,1.30542
2021-01-19,1.2696
2021-01-20,1.18186
2021-01-21,1.12097
2021-01-22,1.17291
2021-01-23,0.64823
2021-01-24,0.65181
2021-01-25,1.22304
2021-01-26,1.18365
2021-01-27,1.18723
2021-01-28,1.28751
2021-01-29,1.31974
2021-01-30,0.7306
2021-01-31,0.88102
2021-02-01,1.5597
2021-02-02,1.40749
2021-02-03,1.35018
2021-02-04,1.26781
2021-02-05,1.20872
2021-02-06,0.70911
2021-02-07,0.73956
2021-02-08,1.41107
2021-02-09,1.1156
2021-02-10,1.12097
2021-02-11,0.61242
2021-02-12,0.5569
2021-02-13,0.60704
2021-02-14,0.87744
2021-02-15,1.61879
2021-02-16,1.15858
2021-02-17,1.26423
2021-02-18,1.1747
2021-02-19,1.19798
2021-02-20,0.66793
2021-02-21,0.67509
2021-02-22,1.28751
2021-02-23,1.28214
2021-02-24,1.21946
2021-02-25,1.30721
2021-02-26,1.30363
2021-02-27,0.81118
2021-02-28,0.83088
2021-03-01,1.14067
2021-03-02,1.51851
2021-03-03,1.38779
2021-03-04,1.35198
2021-03-05,1.23737
2021-03-06,0.67509
2021-03-07,0.82014
2021-03-08,1.35198
2021-03-09,1.23737
2021-03-10,1.28214
2021-03-11,1.15321
2021-03-12,1.09411
2021-03-13,0.62316
2021-03-14,0.85416
2021-03-15,1.31437
2021-03-16,1.38779
2021-03-17,1.45046
2021-03-18,1.3466
2021-03-19,1.19081
2021-03-20,0.73418
2021-03-21,0.73239
2021-03-22,1.24274
2021-03-23,1.30542
2021-03-24,1.16216
2021-03-25,1.27677
2021-03-26,1.06725
2021-03-27,0.59809
2021-03-28,0.70732
2021-03-29,1.24632
2021-03-30,1.26065
2021-03-31,1.24632
2021-04-01,1.21409
2021-04-02,1.02249
2021-04-03,0.58197
2021-04-04,0.56586
2021-04-05,1.24274
2021-04-06,1.10128
2021-04-07,1.04218
2021-04-08,0.88997
2021-04-09,0.91146
2021-04-10,0.42439
2021-04-11,0.42618
2021-04-12,0.95623
2021-04-13,0.91683
2021-04-14,0.8649
2021-04-15,0.85595
2021-04-16,0.88281
2021-04-17,0.4799
2021-04-18,0.52646
2021-04-19,0.98846
2021-04-20,0.91683
2021-04-21,0.847
2021-04-22,0.79865
2021-04-23,0.79507
2021-04-24,0.48169
2021-04-25,0.49423
2021-04-26,0.89893
2021-04-27,0.8846
2021-04-28,0.83267
2021-04-29,0.82014
2021-04-30,0.79507
2021-05-01,0.48886
2021-05-02,0.46379
2021-05-03,0.97772
2021-05-04,0.76283
2021-05-05,0.50855
2021-05-06,0.86849
2021-05-07,0.83088
2021-05-08,0.43514
2021-05-09,0.51035
2021-05-10,1.08337
2021-05-11,1.0189
2021-05-12,0.95802
2021-05-13,0.92221
2021-05-14,0.88102
2021-05-15,0.4799
2021-05-16,0.51393
2021-05-17,0.96877
2021-05-18,0.84879
2021-05-19,0.51751
2021-05-20,0.924
2021-05-21,0.85595
2021-05-22,0.40111
2021-05-23,0.47453
2021-05-24,0.88639
2021-05-25,1.18723
2021-05-26,1.0207
2021-05-27,1.16216
2021-05-28,1.06904
2021-05-29,0.49602
2021-05-30,0.62853
2021-05-31,1.31616
2021-06-01,1.10486
2021-06-02,1.16753
2021-06-03,0.92042
2021-06-04,0.87923
2021-06-05,0.50497
2021-06-06,0.52288
2021-06-07,1.04935
2021-06-08,0.93474
2021-06-09,1.02249
2021-06-10,0.91504
2021-06-11,0.85237
2021-06-12,0.46558
2021-06-13,0.50497
2021-06-14,1.08337
2021-06-15,1.04935
2021-06-16,0.94907
2021-06-17,0.93832
2021-06-18,0.89893
2021-06-19,0.47274
2021-06-20,0.40469
2021-06-21,0.95086
2021-06-22,1.01532
2021-06-23,0.93116
2021-06-24,1.12097
2021-06-25,1.0189
2021-06-26,0.55869
2021-06-27,0.5963
2021-06-28,1.01711
2021-06-29,1.06009
2021-06-30,0.99742
2021-07-01,1.03502
2021-07-02,0.88997
2021-07-03,0.52467
2021-07-04,0.50139
2021-07-05,1.02428
2021-07-06,0.9616
2021-07-07,0.97056
2021-07-08,0.77895
2021-07-09,0.72165
2021-07-10,0.46558
2021-07-11,0.4996
2021-07-12,0.84342
2021-07-13,0.8846
2021-07-14,0.88102
2021-07-15,0.92937
2021-07-16,0.8076
2021-07-17,0.49423
2021-07-18,0.5766
2021-07-19,1.05651
2021-07-20,1.15321
2021-07-21,0.97235
2021-07-22,0.92221
2021-07-23,1.05472
2021-07-24,0.58555
2021-07-25,0.60167
2021-07-26,1.09232
2021-07-27,1.18723
2021-07-28,1.11023
2021-07-29,1.33049
2021-07-30,1.15321
2021-07-31,0.69658
2021-08-01,0.67688
2021-08-02,1.31258
2021-08-03,1.19439
2021-08-04,1.26244
2021-08-05,1.14604
2021-08-06,1.03144
2021-08-07,0.61242
2021-08-08,0.57302
2021-08-09,1.2696
2021-08-10,1.27498
2021-08-11,1.05651
2021-08-12,1.0583
2021-08-13,0.92579
2021-08-14,0.50855
2021-08-15,0.55869
2021-08-16,0.75567
2021-08-17,1.18007
2021-08-18,1.232
2021-08-19,1.232
2021-08-20,1.25886
2021-08-21,0.87028
2021-08-22,0.96339
2021-08-23,1.56149
2021-08-24,1.40212
2021-08-25,1.55791
2021-08-26,4.19382
2021-08-27,3.5617
2021-08-28,1.71191
2021-08-29,2.1757
2021-08-30,3.87866
2021-08-31,3.79808
2021-09-01,4.08101
2021-09-02,2.92779
2021-09-03,2.68426
2021-09-04,1.5006
2021-09-05,1.52567
2021-09-06,2.65919
2021-09-07,2.4443
2021-09-08,1.9644
2021-09-09,2.10765
2021-09-10,2.20793
2021-09-11,1.27856
2021-09-12,1.19798
2021-09-13,2.22047
2021-09-14,1.94291
2021-09-15,1.91247
2021-09-16,1.83009
2021-09-17,1.78533
2021-09-18,1.01711
2021-09-19,0.99383
2021-09-20,0.93653
2021-09-21,1.13888
2021-09-22,1.57223
2021-09-23,2.92779
2021-09-24,2.70217
2021-09-25,1.55074
2021-09-26,1.42539
2021-09-27,2.42461
2021-09-28,2.35656
2021-09-29,2.22584
2021-09-30,2.387
2021-10-01,2.233
2021-10-02,1.16753
2021-10-03,1.28214
2021-10-04,1.6367
2021-10-05,2.5034
2021-10-06,2.43356
2021-10-07,2.0593
2021-10-08,1.97335
2021-10-09,1.08158
2021-10-10,1.11739
2021-10-11,1.33228
2021-10-12,2.32433
2021-10-13,1.8677
2021-10-14,2.01633
2021-10-15,1.97514
2021-10-16,1.155
2021-10-17,1.54716
2021-10-18,2.23658
2021-10-19,2.05751
2021-10-20,1.87844
2021-10-21,1.90709
2021-10-22,1.72623
2021-10-23,1.0207
2021-10-24,1.13351
2021-10-25,2.1757
2021-10-26,1.97693
2021-10-27,1.87307
2021-10-28,1.70833
2021-10-29,1.83367
2021-10-30,1.17291
2021-10-31,1.25886
2021-11-01,2.17391
2021-11-02,2.85258
2021-11-03,2.72903
2021-11-04,2.30821
2021-11-05,1.89635
2021-11-06,1.24811
2021-11-07,1.15321
2021-11-08,2.24375
2021-11-09,2.25807
2021-11-10,2.14705
2021-11-11,2.03961
2021-11-12,2.19898
2021-11-13,1.25707
2021-11-14,1.28751
2021-11-15,2.28493
2021-11-16,2.47116
2021-11-17,2.25091
2021-11-18,1.7907
2021-11-19,1.86054
2021-11-20,1.29288
2021-11-21,1.55791
2021-11-22,2.18465
2021-11-23,2.12377
2021-11-24,2.22226
2021-11-25,6.66678
2021-11-26,6.38385
2021-11-27,4.01833
2021-11-28,2.71112
2021-11-29,4.3514
2021-11-30,4.50003
2021-12-01,4.16875
2021-12-02,3.68168
2021-12-03,3.47933
2021-12-04,2.63949
2021-12-05,2.43177
2021-12-06,3.53305
2021-12-07,3.46859
2021-12-08,3.11224
2021-12-09,2.87407
2021-12-10,2.48549
2021-12-11,1.75847
2021-12-12,1.96798
2021-12-13,3.13193
2021-12-14,2.84721
2021-12-15,2.68068
2021-12-16,2.73977
2021-12-17,2.63412
2021-12-18,1.62416
2021-12-19,1.925
2021-12-20,2.93496
2021-12-21,2.98331
2021-12-22,2.48549
2021-12-23,2.47116
2021-12-24,2.38342
2021-12-25,1.58119
2021-12-26,1.92679
2021-12-27,2.84005
2021-12-28,2.60905
2021-12-29,2.64307
2021-12-30,2.97793
2021-12-31,2.71828
2022-01-01,1.8104
2022-01-02,1.87307
2022-01-03,3.32712
2022-01-04,3.23579
2022-01-05,3.234
2022-01-06,2.87765
2022-01-07,2.53921
2022-01-08,1.84084
2022-01-09,1.94112
2022-01-10,3.27877
2022-01-11,3.13014
2022-01-12,2.88482
2022-01-13,2.7344
2022-01-14,6.65783
2022-01-15,3.86791
2022-01-16,3.22863
2022-01-17,7.92923
2022-01-18,6.19941
2022-01-19,6.13136
2022-01-20,5.00859
2022-01-21,4.67731
2022-01-22,3.01554
2022-01-23,2.92242
2022-01-24,4.83131
2022-01-25,5.48134
2022-01-26,4.43198
2022-01-27,4.6021
2022-01-28,5.17692
2022-01-29,2.91168
2022-01-30,2.30463
2022-01-31,2.05393
2022-02-01,3.02628
2022-02-02,3.36293
2022-02-03,6.00064
2022-02-04,5.04082
2022-02-05,2.75051
2022-02-06,3.05135
2022-02-07,4.82057
2022-02-08,4.22963
2022-02-09,4.12756
2022-02-10,3.95208
2022-02-11,3.53305
2022-02-12,2.13272
2022-02-13,2.54816
2022-02-14,4.47496
2022-02-15,4.0434
2022-02-16,3.74794
2022-02-17,3.63512
2022-02-18,3.16775
2022-02-19,2.09512
2022-02-20,2.50161
2022-02-21,4.53047
2022-02-22,4.33887
2022-02-23,3.93596
2022-02-24,3.76226
2022-02-25,3.66019
2022-02-26,2.07363
2022-02-27,1.88381
2022-02-28,3.96282
2022-03-01,2.46042
2022-03-02,3.20714
2022-03-03,3.31459
2022-03-04,3.2161
2022-03-05,1.85337
2022-03-06,1.92321
2022-03-07,3.19819
2022-03-08,2.86154
2022-03-09,1.60088
2022-03-10,2.80424
2022-03-11,2.78812
