date,정원꾸미기
2020-03-20,21.58836
2020-03-21,22.59507
2020-03-22,29.64205
2020-03-23,29.30648
2020-03-24,25.95078
2020-03-25,24.38478
2020-03-26,30.42505
2020-03-27,26.73378
2020-03-28,27.51677
2020-03-29,26.84563
2020-03-30,26.62192
2020-03-31,26.06263
2020-04-01,22.37136
2020-04-02,26.84563
2020-04-03,29.41834
2020-04-04,23.15436
2020-04-05,30.76062
2020-04-06,29.75391
2020-04-07,28.7472
2020-04-08,27.9642
2020-04-09,25.27964
2020-04-10,26.39821
2020-04-11,27.51677
2020-04-12,31.99105
2020-04-13,24.04921
2020-04-14,27.85234
2020-04-15,30.20134
2020-04-16,26.95749
2020-04-17,32.32662
2020-04-18,28.85906
2020-04-19,27.40492
2020-04-20,30.31319
2020-04-21,26.95749
2020-04-22,28.07606
2020-04-23,20.13422
2020-04-24,27.1812
2020-04-25,19.57494
2020-04-26,25.61521
2020-04-27,25.16778
2020-04-28,24.94407
2020-04-29,19.23937
2020-04-30,22.2595
2020-05-01,19.79865
2020-05-02,22.48322
2020-05-03,27.06935
2020-05-04,23.93736
2020-05-05,30.87248
2020-05-06,22.70693
2020-05-07,18.9038
2020-05-08,17.22595
2020-05-09,18.68008
2020-05-10,17.3378
2020-05-11,20.46979
2020-05-12,21.58836
2020-05-13,21.25279
2020-05-14,17.3378
2020-05-15,18.45637
2020-05-16,19.46308
2020-05-17,19.91051
2020-05-18,22.48322
2020-05-19,20.24608
2020-05-20,15.10067
2020-05-21,21.70022
2020-05-22,23.0425
2020-05-23,19.91051
2020-05-24,22.81879
2020-05-25,29.75391
2020-05-26,29.30648
2020-05-27,28.52348
2020-05-28,24.83221
2020-05-29,22.48322
2020-05-30,22.81879
2020-05-31,26.95749
2020-06-01,26.28635
2020-06-02,17.00223
2020-06-03,23.60178
2020-06-04,25.27964
2020-06-05,18.79194
2020-06-06,21.25279
2020-06-07,27.1812
2020-06-08,23.15436
2020-06-09,21.81208
2020-06-10,20.46979
2020-06-11,20.13422
2020-06-12,19.01565
2020-06-13,18.56823
2020-06-14,20.13422
2020-06-15,25.16778
2020-06-16,20.13422
2020-06-17,15.43624
2020-06-18,17.11409
2020-06-19,17.56152
2020-06-20,16.44295
2020-06-21,18.68008
2020-06-22,20.24608
2020-06-23,17.11409
2020-06-24,17.22595
2020-06-25,16.21923
2020-06-26,13.1991
2020-06-27,18.45637
2020-06-28,20.91722
2020-06-29,17.3378
2020-06-30,16.66666
2020-07-01,18.34451
2020-07-02,18.68008
2020-07-03,20.35794
2020-07-04,21.14093
2020-07-05,19.57494
2020-07-06,20.80536
2020-07-07,18.23266
2020-07-08,17.44966
2020-07-09,14.98881
2020-07-10,12.30425
2020-07-11,16.89038
2020-07-12,18.79194
2020-07-13,15.88366
2020-07-14,13.31096
2020-07-15,14.7651
2020-07-16,14.20581
2020-07-17,13.87024
2020-07-18,14.42953
2020-07-19,17.56152
2020-07-20,19.79865
2020-07-21,20.58165
2020-07-22,16.89038
2020-07-23,17.89709
2020-07-24,17.22595
2020-07-25,14.20581
2020-07-26,16.66666
2020-07-27,17.3378
2020-07-28,21.81208
2020-07-29,25.27964
2020-07-30,20.24608
2020-07-31,17.67337
2020-08-01,16.66666
2020-08-02,18.34451
2020-08-03,15.88366
2020-08-04,12.08053
2020-08-05,13.1991
2020-08-06,13.75838
2020-08-07,16.44295
2020-08-08,9.61968
2020-08-09,13.1991
2020-08-10,12.75167
2020-08-11,12.97539
2020-08-12,11.29753
2020-08-13,10.06711
2020-08-14,9.28411
2020-08-15,10.96196
2020-08-16,11.6331
2020-08-17,13.53467
2020-08-18,15.54809
2020-08-19,10.40268
2020-08-20,9.8434
2020-08-21,11.6331
2020-08-22,14.31767
2020-08-23,15.10067
2020-08-24,11.85682
2020-08-25,13.1991
2020-08-26,12.19239
2020-08-27,17.3378
2020-08-28,14.87695
2020-08-29,16.5548
2020-08-30,19.23937
2020-08-31,19.01565
2020-09-01,20.13422
2020-09-02,18.79194
2020-09-03,12.86353
2020-09-04,15.88366
2020-09-05,17.67337
2020-09-06,19.6868
