date,청년보험
2020-03-20,2.28136
2020-03-25,2.28136
2020-03-27,2.28136
2020-03-29,2.28136
2020-03-30,9.12547
2020-03-31,5.32319
2020-04-01,2.28136
2020-04-02,1.90114
2020-04-03,2.28136
2020-04-04,3.80228
2020-04-05,1.90114
2020-04-06,1.90114
2020-04-07,4.1825
2020-04-08,1.90114
2020-04-09,2.66159
2020-04-10,2.66159
2020-04-15,4.1825
2020-04-17,3.04182
2020-04-20,4.1825
2020-04-22,3.42205
2020-04-27,2.28136
2020-04-28,4.1825
2020-04-30,1.90114
2020-05-09,1.90114
2020-05-10,2.28136
2020-05-11,3.80228
2020-05-12,3.42205
2020-05-13,1.90114
2020-05-14,2.28136
2020-05-19,2.28136
2020-05-21,1.90114
2020-05-25,2.28136
2020-06-01,1.90114
2020-06-06,3.04182
2020-06-09,3.04182
2020-06-13,2.66159
2020-06-15,4.1825
2020-06-17,1.90114
2020-06-21,3.42205
2020-06-23,1.90114
2020-06-30,2.28136
2020-07-03,4.56273
2020-07-04,2.66159
2020-07-05,2.66159
2020-07-06,2.28136
2020-07-10,1.90114
2020-07-13,3.42205
2020-07-14,3.04182
2020-07-16,2.28136
2020-07-17,2.28136
2020-07-20,2.66159
2020-07-21,3.42205
2020-07-27,1.90114
2020-07-31,2.66159
2020-08-07,2.28136
2020-08-25,2.28136
2020-08-31,2.28136
2020-09-04,2.28136
2020-09-08,3.80228
2020-09-09,3.04182
2020-09-13,1.90114
2020-09-15,2.66159
2020-09-18,3.04182
2020-09-23,2.28136
2020-09-24,4.1825
2020-09-29,1.90114
2020-10-05,5.32319
2020-10-06,3.04182
2020-10-07,1.90114
2020-10-09,1.90114
2020-10-10,2.28136
2020-10-19,1.90114
2020-10-20,1.90114
2020-10-22,1.90114
2020-10-24,1.90114
2020-10-25,3.04182
2020-10-26,1.90114
2020-10-27,1.90114
2020-10-28,1.90114
2020-10-30,3.80228
2020-11-01,2.66159
2020-11-05,2.66159
2020-11-06,3.04182
2020-11-12,3.80228
2020-11-16,2.66159
2020-11-19,1.90114
2020-11-23,2.28136
2020-11-24,1.90114
2020-12-08,2.28136
2020-12-10,2.66159
2020-12-11,1.90114
2020-12-13,4.1825
2020-12-14,9.5057
2020-12-15,1.90114
2020-12-16,3.42205
2020-12-17,1.90114
2020-12-19,1.90114
2020-12-23,2.28136
2020-12-24,1.90114
2020-12-30,2.28136
2021-01-05,3.80228
2021-01-09,2.28136
2021-01-10,1.90114
2021-01-14,1.90114
2021-01-15,1.90114
2021-01-16,4.56273
2021-01-17,2.66159
2021-01-18,1.90114
2021-01-20,2.66159
2021-01-21,2.28136
2021-01-25,2.28136
2021-01-26,3.80228
2021-01-31,2.66159
2021-02-04,2.66159
2021-02-07,3.04182
2021-02-08,2.66159
2021-02-17,2.66159
2021-02-18,3.04182
2021-02-26,1.90114
2021-03-02,2.66159
2021-03-06,1.90114
2021-03-07,2.28136
2021-03-16,1.90114
2021-03-19,3.42205
2021-03-24,2.28136
2021-03-26,1.90114
2021-03-29,2.66159
2021-03-31,1.90114
2021-04-03,2.28136
2021-04-05,2.66159
2021-04-06,2.66159
2021-04-16,1.90114
2021-04-19,2.28136
2021-04-21,1.90114
2021-05-03,2.66159
2021-05-06,1.90114
2021-05-07,1.90114
2021-05-14,1.90114
2021-05-18,1.90114
2021-05-24,4.56273
2021-06-01,3.04182
2021-06-02,2.66159
2021-06-11,3.04182
2021-06-12,2.66159
2021-06-14,5.70342
2021-06-16,1.90114
2021-06-19,2.28136
2021-06-21,2.28136
2021-06-28,1.90114
2021-06-29,3.04182
2021-06-30,4.56273
2021-07-04,1.90114
2021-07-06,2.28136
2021-07-07,1.90114
2021-07-09,1.90114
2021-07-12,2.28136
2021-07-16,1.90114
2021-07-27,2.28136
2021-08-03,5.32319
2021-08-06,2.28136
2021-08-09,2.66159
2021-08-16,4.56273
2021-08-17,2.28136
2021-09-06,2.28136
2021-09-10,2.66159
2021-09-13,2.28136
2021-09-14,1.90114
2021-10-03,1.90114
