date,E러닝
2020-03-20,59.17553
2020-03-21,25.53191
2020-03-22,31.11702
2020-03-23,100.0
2020-03-24,76.1968
2020-03-25,68.21808
2020-03-26,55.31914
2020-03-27,43.61702
2020-03-28,23.53723
2020-03-29,24.06914
2020-03-30,57.97872
2020-03-31,44.68085
2020-04-01,51.99468
2020-04-02,55.05319
2020-04-03,42.55319
2020-04-04,20.74468
2020-04-05,22.20744
2020-04-06,48.67021
2020-04-07,46.54255
2020-04-08,42.15425
2020-04-09,39.76063
2020-04-10,32.31382
2020-04-11,16.2234
2020-04-12,19.41489
2020-04-13,43.88297
2020-04-14,41.62234
2020-04-15,22.4734
2020-04-16,41.88829
2020-04-17,39.62765
2020-04-18,20.6117
2020-04-19,22.73936
2020-04-20,50.39893
2020-04-21,40.82446
2020-04-22,34.84042
2020-04-23,23.00531
2020-04-24,22.20744
2020-04-25,12.10106
2020-04-26,12.5
2020-04-27,30.05319
2020-04-28,23.67021
2020-04-29,21.80851
2020-04-30,12.23404
2020-05-01,15.29255
2020-05-02,9.30851
2020-05-03,11.30319
2020-05-04,41.09042
2020-05-05,17.55319
2020-05-06,38.96276
2020-05-07,30.05319
2020-05-08,29.12234
2020-05-09,13.03191
2020-05-10,18.75
2020-05-11,47.34042
2020-05-12,61.43617
2020-05-13,40.42553
2020-05-14,31.25
2020-05-15,26.32978
2020-05-16,12.10106
2020-05-17,15.82446
2020-05-18,37.23404
2020-05-19,42.81914
2020-05-20,31.38297
2020-05-21,26.8617
2020-05-22,23.40425
2020-05-23,11.30319
2020-05-24,13.6968
2020-05-25,35.63829
2020-05-26,31.64893
2020-05-27,32.31382
2020-05-28,31.11702
2020-05-29,20.87765
2020-05-30,11.96808
2020-05-31,17.15425
2020-06-01,38.56382
2020-06-02,36.30319
2020-06-03,31.25
2020-06-04,28.19148
2020-06-05,20.47872
2020-06-06,10.90425
2020-06-07,13.6968
2020-06-08,46.40957
2020-06-09,30.5851
2020-06-10,32.84574
2020-06-11,26.99468
2020-06-12,25.66489
2020-06-13,18.35106
2020-06-14,19.68085
2020-06-15,32.31382
2020-06-16,34.17553
2020-06-17,37.5
2020-06-18,43.21808
2020-06-19,23.40425
2020-06-20,13.82978
2020-06-21,12.23404
2020-06-22,34.70744
2020-06-23,39.3617
2020-06-24,36.96808
2020-06-25,27.52659
2020-06-26,25.39893
2020-06-27,12.89893
2020-06-28,10.23936
2020-06-29,34.57446
2020-06-30,30.98404
2020-07-01,33.37765
2020-07-02,24.86702
2020-07-03,25.0
2020-07-04,8.37765
2020-07-05,11.56914
2020-07-06,34.44148
2020-07-07,25.13297
2020-07-08,25.26595
2020-07-09,25.93085
2020-07-10,22.07446
2020-07-11,9.57446
2020-07-12,11.56914
2020-07-13,30.31914
2020-07-14,22.87234
2020-07-15,26.32978
2020-07-16,17.68617
2020-07-17,17.02127
2020-07-18,9.44148
2020-07-19,8.77659
2020-07-20,21.94148
2020-07-21,18.88297
2020-07-22,20.07978
2020-07-23,25.26595
2020-07-24,15.55851
2020-07-25,7.84574
2020-07-26,5.85106
2020-07-27,21.67553
2020-07-28,23.00531
2020-07-29,20.6117
2020-07-30,22.20744
2020-07-31,17.15425
2020-08-01,8.64361
2020-08-02,10.10638
2020-08-03,24.86702
2020-08-04,24.86702
2020-08-05,21.80851
2020-08-06,23.67021
2020-08-07,20.34574
2020-08-08,9.84042
2020-08-09,10.90425
2020-08-10,31.25
2020-08-11,35.77127
2020-08-12,31.51595
2020-08-13,22.60638
2020-08-14,33.77659
2020-08-15,10.10638
2020-08-16,7.4468
2020-08-17,14.76063
2020-08-18,37.10106
2020-08-19,35.77127
2020-08-20,33.51063
2020-08-21,21.27659
2020-08-22,11.43617
2020-08-23,10.10638
2020-08-24,38.56382
2020-08-25,32.71276
2020-08-26,34.04255
2020-08-27,37.5
2020-08-28,26.1968
2020-08-29,11.96808
2020-08-30,19.14893
2020-08-31,49.86702
2020-09-01,63.56382
2020-09-02,59.84042
2020-09-03,49.60106
2020-09-04,32.71276
2020-09-05,17.42021
2020-09-06,16.62234
2020-09-07,55.45212
2020-09-08,43.35106
2020-09-09,51.46276
2020-09-10,35.63829
2020-09-11,32.31382
2020-09-12,12.76595
2020-09-13,14.3617
2020-09-14,37.36702
2020-09-15,37.36702
2020-09-16,35.63829
2020-09-17,30.18617
2020-09-18,31.25
2020-09-19,9.84042
2020-09-20,12.76595
2020-09-21,36.03723
2020-09-22,34.44148
2020-09-23,29.52127
2020-09-24,29.12234
2020-09-25,20.21276
2020-09-26,7.4468
