date,주요증시
2020-03-20,20.81099
2020-03-21,8.07193
2020-03-22,3.38405
2020-03-23,18.10133
2020-03-24,20.24208
2020-03-25,19.60919
2020-03-26,20.1781
2020-03-27,16.10236
2020-03-28,5.87065
2020-03-29,2.75289
2020-03-30,14.19678
2020-03-31,14.41293
2020-04-01,15.67871
2020-04-02,15.85682
2020-04-03,12.00069
2020-04-04,4.22618
2020-04-05,2.03873
2020-04-06,9.83399
2020-04-07,13.1264
2020-04-08,12.2324
2020-04-09,11.22773
2020-04-10,9.50371
2020-04-11,3.16617
2020-04-12,1.73093
2020-04-13,8.9763
2020-04-14,8.70828
2020-04-15,5.79457
2020-04-16,9.02991
2020-04-17,8.62009
2020-04-18,2.7356
2020-04-19,1.44734
2020-04-20,7.68632
2020-04-21,11.72228
2020-04-22,10.84039
2020-04-23,8.45063
2020-04-24,7.12951
2020-04-25,2.56787
2020-04-26,1.2675
2020-04-27,5.97094
2020-04-28,7.58775
2020-04-29,6.54158
2020-04-30,3.81635
2020-05-01,3.92356
2020-05-02,2.0249
2020-05-03,1.17586
2020-05-04,6.07988
2020-05-05,4.33857
2020-05-06,6.63496
2020-05-07,6.53639
2020-05-08,5.49195
2020-05-09,2.03354
2020-05-10,1.02887
2020-05-11,5.34497
2020-05-12,6.09545
2020-05-13,6.52429
2020-05-14,7.03786
2020-05-15,5.8084
2020-05-16,1.93325
2020-05-17,0.99602
2020-05-18,5.24295
2020-05-19,7.08282
2020-05-20,6.89261
2020-05-21,6.20093
2020-05-22,6.52948
2020-05-23,1.90385
2020-05-24,1.09458
2020-05-25,5.59571
2020-05-26,6.83555
2020-05-27,6.56752
2020-05-28,7.38198
2020-05-29,6.37558
2020-05-30,1.98339
2020-05-31,0.96489
2020-06-01,5.5715
2020-06-02,6.45685
2020-06-03,7.05343
2020-06-04,7.35258
2020-06-05,6.23033
2020-06-06,2.05083
2020-06-07,0.99602
2020-06-08,5.90178
2020-06-09,7.68978
2020-06-10,6.81134
2020-06-11,7.8212
2020-06-12,11.46636
2020-06-13,2.86529
2020-06-14,1.08594
2020-06-15,10.26629
2020-06-16,10.64499
2020-06-17,9.02645
2020-06-18,7.76413
2020-06-19,6.75427
2020-06-20,2.00069
2020-06-21,0.96835
2020-06-22,5.69773
2020-06-23,6.60556
2020-06-24,6.53467
2020-06-25,8.61663
2020-06-26,6.5606
2020-06-27,2.32059
2020-06-28,1.23465
2020-06-29,7.35604
2020-06-30,6.94968
2020-07-01,7.63271
2020-07-02,6.63842
2020-07-03,5.88275
2020-07-04,2.00069
2020-07-05,1.02714
2020-07-06,6.05049
2020-07-07,7.72955
2020-07-08,6.75946
2020-07-09,6.52429
2020-07-10,6.11274
2020-07-11,1.86581
2020-07-12,1.02541
2020-07-13,5.20664
2020-07-14,7.02403
2020-07-15,7.29552
2020-07-16,7.22289
2020-07-17,6.33581
2020-07-18,1.70672
2020-07-19,0.88535
2020-07-20,5.67698
2020-07-21,6.27183
2020-07-22,6.88915
2020-07-23,6.75082
2020-07-24,6.97907
2020-07-25,1.94708
2020-07-26,1.00812
2020-07-27,5.5127
2020-07-28,6.40152
2020-07-29,6.89261
2020-07-30,7.23845
2020-07-31,6.52256
2020-08-01,1.7171
2020-08-02,0.83866
2020-08-03,5.14957
2020-08-04,5.696
2020-08-05,6.09026
2020-08-06,10.7643
2020-08-07,62.48141
2020-08-08,16.52775
2020-08-09,8.64948
2020-08-10,32.86702
2020-08-11,34.50631
2020-08-12,40.80581
2020-08-13,31.85197
2020-08-14,31.2675
2020-08-15,10.57236
2020-08-16,6.21303
2020-08-17,20.70205
2020-08-18,44.03942
2020-08-19,34.14144
2020-08-20,48.42123
2020-08-21,36.16289
2020-08-22,12.53501
2020-08-23,6.81307
2020-08-24,23.94777
2020-08-25,31.05308
2020-08-26,30.73664
2020-08-27,30.22479
2020-08-28,23.51374
2020-08-29,9.43627
2020-08-30,6.70759
2020-08-31,22.79958
2020-09-01,24.93515
2020-09-02,23.80598
2020-09-03,25.77554
2020-09-04,61.91596
2020-09-05,22.69929
2020-09-06,8.7273
2020-09-07,31.29517
2020-09-08,46.02628
2020-09-09,50.61213
2020-09-10,36.51219
2020-09-11,36.52429
2020-09-12,12.79612
2020-09-13,6.95313
2020-09-14,23.4757
2020-09-15,28.17395
2020-09-16,28.09441
2020-09-17,34.31955
2020-09-18,31.85025
2020-09-19,12.0076
2020-09-20,6.28739
2020-09-21,43.22151
2020-09-22,64.96282
2020-09-23,52.72349
2020-09-24,75.88794
2020-09-25,49.43973
2020-09-26,16.04184
2020-09-27,7.29552
2020-09-28,27.15891
2020-09-29,28.69099
2020-09-30,16.51737
2020-10-01,15.75652
2020-10-02,27.11568
2020-10-03,19.74407
2020-10-04,9.88241
2020-10-05,27.17447
2020-10-06,30.48244
2020-10-07,35.95365
2020-10-08,26.42918
2020-10-09,13.18519
2020-10-10,8.24831
2020-10-11,5.35362
2020-10-12,20.78851
2020-10-13,29.54867
2020-10-14,30.42019
2020-10-15,43.46187
2020-10-16,38.91232
2020-10-17,12.41224
2020-10-18,6.39979
2020-10-19,25.92771
2020-10-20,37.87999
2020-10-21,31.3799
2020-10-22,35.15476
2020-10-23,27.81947
2020-10-24,10.30779
2020-10-25,5.9208
2020-10-26,31.24502
2020-10-27,40.27148
2020-10-28,43.84575
2020-10-29,57.4961
2020-10-30,42.23067
2020-10-31,19.46913
2020-11-01,8.09095
2020-11-02,32.74252
2020-11-03,34.12415
