date,신용카드추천
2020-03-20,46.05543
2020-03-21,32.0134
2020-03-22,35.69905
2020-03-23,49.49741
2020-03-24,52.05604
2020-03-25,53.82272
2020-03-26,53.03076
2020-03-27,42.91806
2020-03-28,33.26226
2020-03-29,35.39445
2020-03-30,49.71063
2020-03-31,52.66524
2020-04-01,52.29972
2020-04-02,46.14681
2020-04-03,45.20255
2020-04-04,30.45994
2020-04-05,34.32835
2020-04-06,48.18763
2020-04-07,53.79226
2020-04-08,52.63478
2020-04-09,56.07675
2020-04-10,56.99055
2020-04-11,34.20651
2020-04-12,37.37435
2020-04-13,54.24916
2020-04-14,50.31982
2020-04-15,39.59792
2020-04-16,50.5635
2020-04-17,46.32957
2020-04-18,30.85592
2020-04-19,34.78525
2020-04-20,51.23362
2020-04-21,54.31008
2020-04-22,52.57386
2020-04-23,43.86232
2020-04-24,39.81114
2020-04-25,29.1197
2020-04-26,30.82546
2020-04-27,45.26347
2020-04-28,47.27383
2020-04-29,39.87206
2020-04-30,33.10996
2020-05-01,32.25708
2020-05-02,25.52543
2020-05-03,30.24672
2020-05-04,45.44623
2020-05-05,34.99847
2020-05-06,44.95887
2020-05-07,38.9278
2020-05-08,36.39963
2020-05-09,30.27718
2020-05-10,33.2318
2020-05-11,54.61468
2020-05-12,49.25373
2020-05-13,44.86749
2020-05-14,36.88699
2020-05-15,35.36399
2020-05-16,22.66219
2020-05-17,23.30185
2020-05-18,33.93237
2020-05-19,32.04386
2020-05-20,34.57203
2020-05-21,30.24672
2020-05-22,30.24672
2020-05-23,20.01218
2020-05-24,22.17484
2020-05-25,31.92202
2020-05-26,34.51111
2020-05-27,30.795
2020-05-28,30.85592
2020-05-29,26.28693
2020-05-30,26.83521
2020-05-31,30.12488
2020-06-01,40.63356
2020-06-02,33.38409
2020-06-03,32.37892
2020-06-04,36.55193
2020-06-05,29.82028
2020-06-06,21.38288
2020-06-07,23.27139
2020-06-08,33.26226
2020-06-09,32.4703
2020-06-10,34.14559
2020-06-11,28.63234
2020-06-12,27.50533
2020-06-13,19.1593
2020-06-14,24.85531
2020-06-15,34.87663
2020-06-16,34.02375
2020-06-17,33.35363
2020-06-18,33.2318
2020-06-19,30.55132
2020-06-20,22.47943
2020-06-21,26.62199
2020-06-22,37.70941
2020-06-23,33.65823
2020-06-24,37.83125
2020-06-25,36.36917
2020-06-26,27.80992
2020-06-27,22.54035
2020-06-28,23.54553
2020-06-29,37.00883
2020-06-30,36.76515
2020-07-01,35.18123
2020-07-02,34.05421
2020-07-03,27.53579
2020-07-04,21.87024
2020-07-05,25.52543
2020-07-06,36.33871
2020-07-07,37.86171
2020-07-08,37.83125
2020-07-09,34.96801
2020-07-10,31.83064
2020-07-11,22.32713
2020-07-12,27.93176
2020-07-13,37.61803
2020-07-14,36.79561
2020-07-15,37.49619
2020-07-16,34.63295
2020-07-17,28.38866
2020-07-18,23.60645
2020-07-19,24.21565
2020-07-20,36.61285
2020-07-21,37.83125
2020-07-22,40.96862
2020-07-23,38.62321
2020-07-24,29.8812
2020-07-25,21.71794
2020-07-26,27.84038
2020-07-27,42.36978
2020-07-28,36.18641
2020-07-29,34.32835
2020-07-30,34.84617
2020-07-31,30.21626
2020-08-01,26.71337
2020-08-02,25.79957
2020-08-03,39.29332
2020-08-04,36.18641
2020-08-05,40.26804
2020-08-06,35.42491
2020-08-07,33.71915
2020-08-08,23.72829
2020-08-09,33.68869
2020-08-10,42.79622
2020-08-11,41.5169
2020-08-12,42.1261
2020-08-13,36.88699
2020-08-14,30.52086
2020-08-15,25.19037
2020-08-16,23.39323
2020-08-17,30.3381
2020-08-18,38.95826
2020-08-19,40.7554
2020-08-20,41.06
2020-08-21,36.64331
2020-08-22,28.02314
2020-08-23,33.17088
2020-08-24,38.50137
2020-08-25,46.45141
2020-08-26,42.00426
2020-08-27,36.70423
2020-08-28,31.43466
2020-08-29,26.22601
2020-08-30,30.795
2020-08-31,41.06
2020-09-01,44.106
2020-09-02,37.16113
2020-09-03,34.87663
2020-09-04,28.75418
2020-09-05,24.12427
2020-09-06,25.86049
2020-09-07,34.72433
2020-09-08,35.45537
2020-09-09,34.75479
2020-09-10,36.09503
2020-09-11,32.74444
2020-09-12,24.21565
2020-09-13,24.79439
2020-09-14,35.30307
2020-09-15,34.66341
