date,재무제표발급
2020-03-20,41.70403
2020-03-21,4.4843
2020-03-22,4.4843
2020-03-23,41.70403
2020-03-24,54.26008
2020-03-25,54.26008
2020-03-26,56.50224
2020-03-27,48.43049
2020-03-28,7.17488
2020-03-29,3.58744
2020-03-30,39.01345
2020-03-31,36.7713
2020-04-01,48.43049
2020-04-02,52.01793
2020-04-03,42.15246
2020-04-06,38.56502
2020-04-07,45.29147
2020-04-08,40.80717
2020-04-09,36.32286
2020-04-10,29.14798
2020-04-11,4.4843
2020-04-13,38.11659
2020-04-14,43.49775
2020-04-15,9.86547
2020-04-16,43.94618
2020-04-17,31.39013
2020-04-18,2.24215
2020-04-19,2.24215
2020-04-20,37.21973
2020-04-21,34.97757
2020-04-22,37.21973
2020-04-23,37.66816
2020-04-24,30.49327
2020-04-27,20.6278
2020-04-28,22.42152
2020-04-29,13.90134
2020-04-30,4.03587
2020-05-03,2.24215
2020-05-04,14.7982
2020-05-05,2.24215
2020-05-06,26.45739
2020-05-07,21.07623
2020-05-08,16.59192
2020-05-09,2.24215
2020-05-11,20.17937
2020-05-12,24.21524
2020-05-13,26.90582
2020-05-14,22.86995
2020-05-15,18.83408
2020-05-18,21.52466
2020-05-19,34.52914
2020-05-20,26.90582
2020-05-21,27.80269
2020-05-22,23.76681
2020-05-24,2.69058
2020-05-25,27.80269
2020-05-26,34.52914
2020-05-27,37.21973
2020-05-28,33.18385
2020-05-29,28.69955
2020-06-01,37.21973
2020-06-02,37.66816
2020-06-03,29.59641
2020-06-04,25.56053
2020-06-05,17.93721
2020-06-08,27.35426
2020-06-09,27.80269
2020-06-10,22.86995
2020-06-11,18.83408
2020-06-12,20.17937
2020-06-13,2.24215
2020-06-15,20.17937
2020-06-16,16.14349
2020-06-17,19.73094
2020-06-18,25.1121
2020-06-19,18.38565
2020-06-22,12.55605
2020-06-23,17.04035
2020-06-24,15.69506
2020-06-25,17.04035
2020-06-26,23.31838
2020-06-28,2.24215
2020-06-29,23.76681
2020-06-30,21.52466
2020-07-01,23.31838
2020-07-02,21.52466
2020-07-03,17.93721
2020-07-06,17.93721
2020-07-07,27.80269
