date,JEPI주가
2021-02-13,1.91846
2021-04-01,1.67865
2021-04-07,1.67865
2021-04-23,1.19904
2021-06-02,1.43884
2021-09-12,1.43884
2021-09-26,1.43884
2021-10-06,1.43884
2022-01-25,1.19904
2022-01-26,1.67865
2022-01-28,1.19904
2022-01-30,1.43884
2022-02-02,1.67865
2022-02-10,1.19904
2022-02-14,1.19904
2022-02-15,2.39808
2022-02-16,1.19904
2022-02-23,1.19904
2022-02-24,1.19904
2022-02-27,1.43884
2022-03-01,2.39808
2022-03-05,1.19904
2022-03-06,1.91846
2022-03-18,3.1175
2022-03-19,1.43884
2022-03-20,1.19904
2022-03-23,1.19904
2022-03-24,2.15827
2022-03-25,5.51558
2022-03-26,3.83693
2022-03-27,1.19904
2022-03-28,3.1175
2022-03-29,2.87769
2022-03-30,4.55635
2022-03-31,6.47482
2022-04-01,5.27577
2022-04-02,3.35731
2022-04-03,1.43884
2022-04-04,3.83693
2022-04-05,3.1175
2022-04-07,9.1127
2022-04-08,4.79616
2022-04-09,3.1175
2022-04-10,1.67865
2022-04-11,4.55635
2022-04-12,5.27577
2022-04-13,3.83693
2022-04-14,2.87769
2022-04-15,1.91846
2022-04-16,1.67865
2022-04-17,1.91846
2022-04-18,3.35731
2022-04-19,2.39808
2022-04-20,3.59712
2022-04-21,4.07673
2022-04-22,3.35731
2022-04-23,4.55635
2022-04-25,3.1175
2022-04-26,3.1175
2022-04-27,4.31654
2022-04-28,4.31654
2022-04-29,1.91846
2022-04-30,1.19904
2022-05-01,2.87769
2022-05-02,3.1175
2022-05-03,5.03597
2022-05-04,4.07673
2022-05-05,3.59712
2022-05-06,3.35731
2022-05-07,2.15827
2022-05-08,2.39808
2022-05-09,3.1175
2022-05-10,7.67386
2022-05-11,5.27577
2022-05-12,3.35731
2022-05-13,5.9952
2022-05-14,1.67865
2022-05-16,1.19904
2022-05-17,2.39808
2022-05-18,2.87769
2022-05-19,4.07673
2022-05-20,1.91846
2022-05-21,3.1175
2022-05-24,1.91846
2022-05-25,3.35731
2022-05-26,1.43884
2022-05-27,2.15827
2022-05-28,1.91846
2022-05-29,2.15827
2022-05-30,2.15827
2022-06-01,2.87769
2022-06-02,9.1127
2022-06-03,5.75539
2022-06-04,1.43884
2022-06-06,1.91846
2022-06-07,4.31654
2022-06-08,3.59712
2022-06-09,5.75539
2022-06-10,7.19424
2022-06-11,5.9952
2022-06-13,6.47482
2022-06-14,5.03597
2022-06-15,8.39328
2022-06-16,7.19424
2022-06-17,11.51079
2022-06-18,3.35731
2022-06-20,3.35731
2022-06-21,2.87769
2022-06-22,4.79616
2022-06-23,4.31654
2022-06-24,4.31654
2022-06-25,4.55635
2022-06-26,1.43884
2022-06-27,2.63788
