date,주식정보
2020-03-20,71.50259
2020-03-21,30.56994
2020-03-22,30.05181
2020-03-23,65.28497
2020-03-24,69.43005
2020-03-25,82.2107
2020-03-26,84.97409
2020-03-27,76.51122
2020-03-28,41.45077
2020-03-29,38.51468
2020-03-30,83.41968
2020-03-31,89.11917
2020-04-01,78.75647
2020-04-02,77.37478
2020-04-03,68.7392
2020-04-04,39.03281
2020-04-05,33.16062
2020-04-06,57.16753
2020-04-07,69.43005
2020-04-08,78.06563
2020-04-09,65.45768
2020-04-10,63.73056
2020-04-11,32.12435
2020-04-12,34.88773
2020-04-13,58.89464
2020-04-14,52.3316
2020-04-15,30.22452
2020-04-16,47.66839
2020-04-17,55.44041
2020-04-18,30.56994
2020-04-19,29.18825
2020-04-20,54.05872
2020-04-21,53.02245
2020-04-22,60.44905
2020-04-23,58.89464
2020-04-24,51.81347
2020-04-25,25.56131
2020-04-26,25.21588
2020-04-27,52.50431
2020-04-28,47.49568
2020-04-29,38.68739
2020-04-30,18.99827
2020-05-01,19.86183
2020-05-02,16.92573
2020-05-03,12.60794
2020-05-04,29.70639
2020-05-05,29.18825
2020-05-06,40.06908
2020-05-07,31.77892
2020-05-08,29.70639
2020-05-09,17.61658
2020-05-10,13.98963
2020-05-11,30.91537
2020-05-12,39.03281
2020-05-13,44.55958
2020-05-14,43.17789
2020-05-15,41.45077
2020-05-16,15.0259
2020-05-17,13.64421
2020-05-18,35.40587
2020-05-19,37.99654
2020-05-20,33.67875
2020-05-21,46.63212
2020-05-22,30.91537
2020-05-23,19.34369
2020-05-24,16.23488
2020-05-25,34.19689
2020-05-26,42.83246
2020-05-27,44.55958
2020-05-28,40.58721
2020-05-29,35.57858
2020-05-30,19.86183
2020-05-31,13.64421
2020-06-01,30.22452
2020-06-02,33.85146
2020-06-03,41.10535
2020-06-04,41.96891
2020-06-05,35.924
2020-06-06,21.24352
2020-06-07,20.03454
2020-06-08,40.75993
2020-06-09,38.34196
2020-06-10,36.96027
2020-06-11,39.03281
2020-06-12,34.3696
2020-06-13,16.75302
2020-06-14,17.962
2020-06-15,36.61485
2020-06-16,36.96027
2020-06-17,39.03281
2020-06-18,34.54231
2020-06-19,26.59758
2020-06-20,12.60794
2020-06-21,13.64421
2020-06-22,34.19689
2020-06-23,32.98791
2020-06-24,37.47841
2020-06-25,28.84283
2020-06-26,27.28842
2020-06-27,10.36269
2020-06-28,13.12607
2020-06-29,26.07944
2020-06-30,35.23316
2020-07-01,31.60621
2020-07-02,38.8601
2020-07-03,35.06044
2020-07-04,17.27115
2020-07-05,18.65284
2020-07-06,39.72366
2020-07-07,48.53195
2020-07-08,37.82383
2020-07-09,40.24179
2020-07-10,30.56994
2020-07-11,14.85319
2020-07-12,21.24352
2020-07-13,39.55094
2020-07-14,46.97754
2020-07-15,42.48704
2020-07-16,30.91537
2020-07-17,39.37823
2020-07-18,12.26252
2020-07-19,16.23488
2020-07-20,38.51468
2020-07-21,41.62348
2020-07-22,41.45077
2020-07-23,58.03108
2020-07-24,40.93264
2020-07-25,18.48013
2020-07-26,20.37996
2020-07-27,41.7962
2020-07-28,46.45941
2020-07-29,43.17789
2020-07-30,52.67702
2020-07-31,37.30569
2020-08-01,18.48013
2020-08-02,17.61658
2020-08-03,38.51468
2020-08-04,43.17789
2020-08-05,43.17789
2020-08-06,49.56822
2020-08-07,48.70466
2020-08-08,24.52504
2020-08-09,23.31606
2020-08-10,49.56822
2020-08-11,53.19516
2020-08-12,41.96891
2020-08-13,42.14162
2020-08-14,36.96027
2020-08-15,18.13471
2020-08-16,15.88946
2020-08-17,21.07081
2020-08-18,31.26079
2020-08-19,34.54231
2020-08-20,36.78756
2020-08-21,34.88773
2020-08-22,16.23488
2020-08-23,13.81692
2020-08-24,36.61485
2020-08-25,46.63212
2020-08-26,46.45941
2020-08-27,46.97754
2020-08-28,44.905
2020-08-29,25.04317
2020-08-30,19.34369
2020-08-31,50.94991
2020-09-01,59.06735
2020-09-02,54.40414
2020-09-03,55.61312
2020-09-04,53.88601
2020-09-05,32.12435
2020-09-06,22.62521
2020-09-07,49.91364
2020-09-08,52.15889
2020-09-09,59.58549
2020-09-10,61.83074
2020-09-11,39.03281
2020-09-12,20.37996
2020-09-13,21.58894
2020-09-14,43.69602
2020-09-15,57.68566
2020-09-16,63.21243
2020-09-17,53.19516
2020-09-18,47.8411
2020-09-19,22.27979
2020-09-20,19.86183
2020-09-21,43.69602
2020-09-22,45.42314
2020-09-23,41.10535
2020-09-24,45.42314
2020-09-25,34.19689
2020-09-26,18.65284
2020-09-27,15.54404
2020-09-28,32.29706
2020-09-29,27.80656
2020-09-30,16.58031
2020-10-01,11.05354
2020-10-02,14.85319
2020-10-03,14.33506
2020-10-04,13.81692
2020-10-05,30.05181
2020-10-06,39.03281
2020-10-07,35.40587
2020-10-08,32.98791
2020-10-09,21.24352
2020-10-10,17.61658
2020-10-11,18.82556
2020-10-12,36.44214
2020-10-13,36.61485
2020-10-14,43.3506
2020-10-15,40.93264
2020-10-16,30.74265
2020-10-17,10.88082
2020-10-18,12.26252
2020-10-19,30.74265
2020-10-20,28.15198
2020-10-21,31.60621
2020-10-22,29.70639
2020-10-23,32.81519
2020-10-24,12.78065
2020-10-25,12.26252
2020-10-26,25.21588
2020-10-27,28.4974
2020-10-28,29.18825
2020-10-29,24.52504
2020-10-30,31.08808
2020-10-31,12.95336
2020-11-01,12.26252
2020-11-02,29.01554
2020-11-03,32.12435
2020-11-04,27.63385
2020-11-05,32.81519
2020-11-06,26.77029
2020-11-07,13.12607
2020-11-08,14.16234
2020-11-09,36.44214
2020-11-10,48.53195
2020-11-11,48.87737
2020-11-12,40.58721
2020-11-13,34.02417
2020-11-14,15.54404
2020-11-15,14.16234
2020-11-16,44.38687
2020-11-17,46.2867
2020-11-18,51.12262
2020-11-19,43.69602
2020-11-20,44.04145
2020-11-21,23.48877
2020-11-22,19.5164
2020-11-23,36.96027
2020-11-24,45.25043
2020-11-25,49.05008
2020-11-26,44.905
2020-11-27,43.17789
2020-11-28,25.3886
2020-11-29,21.76165
2020-11-30,41.96891
2020-12-01,50.7772
2020-12-02,52.15889
2020-12-03,62.17616
2020-12-04,54.92227
