date,증여세율
2020-03-20,17.37567
2020-03-21,11.9233
2020-03-22,10.54523
2020-03-23,19.05332
2020-03-24,18.27441
2020-03-25,21.86938
2020-03-26,19.95206
2020-03-27,14.73936
2020-03-28,12.16297
2020-03-29,12.04313
2020-03-30,19.65248
2020-03-31,15.9976
2020-04-01,17.19592
2020-04-02,19.05332
2020-04-03,16.05751
2020-04-04,11.26423
2020-04-05,11.86339
2020-04-06,20.73097
2020-04-07,18.9934
2020-04-08,24.02636
2020-04-09,19.53265
2020-04-10,17.61533
2020-04-11,12.40263
2020-04-12,11.74355
2020-04-13,17.79508
2020-04-14,19.05332
2020-04-15,11.80347
2020-04-16,17.07609
2020-04-17,17.19592
2020-04-18,13.90053
2020-04-19,14.26003
2020-04-20,23.54703
2020-04-21,23.4272
2020-04-22,25.04493
2020-04-23,21.92929
2020-04-24,18.57399
2020-04-25,12.6423
2020-04-26,12.04313
2020-04-27,23.12762
2020-04-28,23.12762
2020-04-29,18.81366
2020-04-30,15.45835
2020-05-01,13.00179
2020-05-02,12.16297
2020-05-03,13.18154
2020-05-04,22.10904
2020-05-05,13.96045
2020-05-06,19.29298
2020-05-07,19.17315
2020-05-08,12.10305
2020-05-09,9.76632
2020-05-10,8.62792
2020-05-11,12.10305
2020-05-12,13.96045
2020-05-13,11.86339
2020-05-14,13.96045
2020-05-15,11.98322
2020-05-16,9.28699
2020-05-17,8.98741
2020-05-18,16.65668
2020-05-19,14.91911
2020-05-20,14.67944
2020-05-21,13.84062
2020-05-22,19.59257
2020-05-23,15.87777
2020-05-24,15.21869
2020-05-25,28.2804
2020-05-26,23.96644
2020-05-27,24.86518
2020-05-28,22.64829
2020-05-29,19.7124
2020-05-30,15.57819
2020-05-31,13.48112
2020-06-01,25.76393
2020-06-02,22.76812
2020-06-03,24.02636
2020-06-04,25.16476
2020-06-05,24.02636
2020-06-06,16.23726
2020-06-07,17.67525
2020-06-08,29.71839
2020-06-09,26.423
2020-06-10,26.54284
2020-06-11,26.12342
2020-06-12,26.66267
2020-06-13,20.37147
2020-06-14,18.09466
2020-06-15,32.17495
2020-06-16,29.77831
2020-06-17,35.23067
2020-06-18,39.36488
2020-06-19,35.65008
2020-06-20,22.64829
2020-06-21,23.54703
2020-06-22,34.81126
2020-06-23,39.18514
2020-06-24,36.0695
2020-06-25,32.59436
2020-06-26,33.79269
2020-06-27,22.34871
2020-06-28,21.68963
2020-06-29,35.82983
2020-06-30,35.23067
2020-07-01,30.73696
2020-07-02,34.39185
2020-07-03,32.05512
2020-07-04,22.28879
2020-07-05,25.46434
2020-07-06,38.94547
2020-07-07,49.25104
2020-07-08,51.7076
2020-07-09,51.58777
2020-07-10,80.52726
2020-07-11,80.28759
2020-07-12,69.80227
2020-07-13,100.0
2020-07-14,82.86399
2020-07-15,55.66207
2020-07-16,50.08987
2020-07-17,42.72019
2020-07-18,29.23906
2020-07-19,24.5656
2020-07-20,43.25943
2020-07-21,38.10665
2020-07-22,36.96824
2020-07-23,37.44757
2020-07-24,38.04673
2020-07-25,24.32594
2020-07-26,21.62971
2020-07-27,35.05092
2020-07-28,36.54883
2020-07-29,41.46195
2020-07-30,42.72019
2020-07-31,36.66866
2020-08-01,23.4272
2020-08-02,20.13181
2020-08-03,32.53445
2020-08-04,30.37747
2020-08-05,34.69143
2020-08-06,32.53445
2020-08-07,28.40023
2020-08-08,18.69382
2020-08-09,17.07609
2020-08-10,27.74116
2020-08-11,26.7825
2020-08-12,27.02216
2020-08-13,24.5656
2020-08-14,25.52426
2020-08-15,17.136
2020-08-16,14.55961
2020-08-17,18.21449
2020-08-18,24.5656
2020-08-19,23.66686
2020-08-20,25.46434
2020-08-21,26.84242
2020-08-22,17.25584
2020-08-23,17.19592
2020-08-24,28.10065
2020-08-25,28.46015
2020-08-26,28.04074
2020-08-27,28.04074
2020-08-28,31.15638
2020-08-29,18.51408
2020-08-30,15.81785
2020-08-31,27.68124
2020-09-01,22.16896
2020-09-02,25.34451
2020-09-03,25.58418
2020-09-04,22.82804
2020-09-05,15.93768
2020-09-06,15.33852
2020-09-07,28.40023
2020-09-08,29.77831
2020-09-09,26.7825
2020-09-10,27.26183
2020-09-11,24.44577
2020-09-12,15.09886
2020-09-13,15.57819
2020-09-14,27.62133
2020-09-15,31.03654
2020-09-16,26.423
2020-09-17,25.34451
2020-09-18,23.60695
2020-09-19,16.17735
2020-09-20,20.31156
2020-09-21,30.55721
2020-09-22,24.20611
2020-09-23,22.58837
2020-09-24,23.54703
2020-09-25,18.9934
2020-09-26,15.15877
