date,주식선물거래
2020-03-20,75.93785
2020-03-21,54.60401
2020-03-22,46.9496
2020-03-23,100.0
2020-03-24,94.31602
2020-03-25,86.51004
2020-03-26,68.81394
2020-03-27,69.95073
2020-03-28,53.12618
2020-03-29,43.38764
2020-03-30,63.62258
2020-03-31,58.88594
2020-04-01,73.85373
2020-04-02,86.32057
2020-04-03,69.19287
2020-04-04,34.7859
2020-04-05,25.46419
2020-04-06,69.00341
2020-04-07,60.40166
2020-04-08,47.06328
2020-04-09,34.82379
2020-04-10,24.97158
2020-04-11,15.57408
2020-04-12,14.96779
2020-04-13,21.10647
2020-04-14,19.06025
2020-04-15,12.76998
2020-04-16,16.36983
2020-04-17,25.80522
2020-04-18,16.44562
2020-04-19,14.70253
2020-04-20,23.53164
2020-04-21,56.27131
2020-04-22,60.7427
2020-04-23,35.65744
2020-04-24,21.75066
2020-04-25,11.82266
2020-04-26,11.0269
2020-04-27,21.33383
2020-04-28,24.78211
2020-04-29,14.70253
2020-04-30,10.76165
2020-05-01,10.79954
2020-05-02,7.1618
2020-05-03,8.29859
2020-05-04,10.79954
2020-05-05,8.63963
2020-05-06,14.96779
2020-05-07,12.05001
2020-05-08,9.77643
2020-05-09,7.65441
2020-05-10,5.26714
2020-05-11,9.77643
2020-05-12,13.33838
2020-05-13,17.96134
2020-05-14,16.59719
2020-05-15,9.73853
2020-05-16,5.11557
2020-05-17,6.85865
2020-05-18,10.4585
2020-05-19,15.30882
2020-05-20,15.04357
2020-05-21,16.25615
2020-05-22,11.78476
2020-05-23,7.08601
2020-05-24,6.40394
2020-05-25,12.1258
2020-05-26,11.10269
2020-05-27,11.93633
2020-05-28,2.76619
2020-05-29,1.061
2020-05-30,0.49261
2020-05-31,0.56839
2020-06-01,0.87154
2020-06-02,0.94732
2020-06-03,1.74308
2020-06-04,1.70519
2020-06-05,2.80409
2020-06-06,2.34937
2020-06-07,2.23569
2020-06-08,3.48616
2020-06-09,4.964
2020-06-10,6.51762
2020-06-11,7.99545
2020-06-12,4.9261
2020-06-13,2.95566
2020-06-14,1.59151
2020-06-15,3.22091
2020-06-16,4.66085
2020-06-17,4.9261
2020-06-18,4.54717
2020-06-19,3.33459
2020-06-20,1.85676
2020-06-21,1.061
2020-06-22,2.42516
2020-06-23,2.69041
2020-06-24,3.52406
2020-06-25,4.16824
2020-06-26,2.23569
2020-06-27,1.55361
2020-06-28,1.55361
2020-06-29,2.53884
2020-06-30,2.91777
2020-07-01,2.34937
2020-07-02,3.33459
2020-07-03,1.70519
2020-07-04,1.40204
2020-07-05,0.60629
2020-07-06,2.08412
2020-07-07,3.63774
2020-07-08,3.10723
2020-07-09,2.87987
2020-07-10,2.27358
2020-07-11,2.46305
2020-07-12,2.76619
2020-07-13,3.25881
2020-07-14,2.57673
2020-07-15,2.95566
2020-07-16,3.2967
2020-07-17,3.18302
2020-07-18,2.12201
2020-07-19,2.1599
2020-07-20,3.8651
2020-07-21,3.44827
2020-07-22,3.63774
2020-07-23,3.8272
2020-07-24,3.8651
2020-07-25,1.70519
2020-07-26,2.42516
2020-07-27,2.80409
2020-07-28,4.01667
2020-07-29,3.14513
2020-07-30,2.80409
2020-07-31,2.95566
2020-08-01,2.08412
2020-08-02,1.55361
2020-08-03,2.76619
2020-08-04,3.48616
2020-08-05,6.44183
2020-08-06,4.88821
2020-08-07,4.24403
2020-08-08,3.14513
2020-08-09,3.48616
2020-08-10,5.26714
2020-08-11,6.40394
2020-08-12,10.4585
2020-08-13,13.03524
2020-08-14,6.63129
2020-08-15,2.80409
2020-08-16,3.18302
2020-08-17,3.44827
2020-08-18,4.13035
2020-08-19,4.24403
2020-08-20,6.0629
2020-08-21,5.30503
2020-08-22,3.41038
2020-08-23,3.03145
2020-08-24,4.62296
2020-08-25,3.8272
2020-08-26,4.09245
2020-08-27,4.01667
2020-08-28,3.41038
2020-08-29,1.89465
2020-08-30,2.57673
2020-08-31,5.64607
2020-09-01,6.25236
2020-09-02,5.64607
2020-09-03,4.9261
2020-09-04,6.32815
2020-09-05,3.97877
2020-09-06,3.94088
2020-09-07,5.11557
2020-09-08,7.54073
2020-09-09,9.70064
2020-09-10,8.60174
2020-09-11,6.13868
2020-09-12,2.95566
2020-09-13,2.65251
2020-09-14,4.31981
2020-09-15,4.77453
2020-09-16,4.47139
2020-09-17,5.26714
2020-09-18,3.78931
2020-09-19,2.69041
2020-09-20,1.40204
2020-09-21,3.56195
2020-09-22,5.60818
2020-09-23,5.34293
2020-09-24,9.01856
2020-09-25,5.00189
2020-09-26,2.7283
2020-09-27,2.46305
2020-09-28,3.71352
2020-09-29,3.67563
2020-09-30,2.04622
2020-10-01,2.04622
2020-10-02,3.48616
2020-10-03,2.91777
2020-10-04,2.50094
2020-10-05,4.01667
2020-10-06,3.8651
2020-10-07,4.3956
2020-10-08,3.37248
2020-10-09,2.1599
2020-10-10,2.23569
2020-10-11,1.97044
2020-10-12,2.69041
2020-10-13,2.1599
2020-10-14,3.52406
2020-10-15,4.24403
2020-10-16,3.52406
2020-10-17,1.74308
2020-10-18,0.83364
2020-10-19,2.53884
2020-10-20,3.44827
2020-10-21,2.61462
2020-10-22,2.61462
2020-10-23,2.61462
2020-10-24,1.47783
2020-10-25,1.25047
2020-10-26,3.10723
2020-10-27,2.42516
2020-10-28,3.59984
2020-10-29,3.75142
2020-10-30,3.78931
2020-10-31,2.27358
2020-11-01,2.69041
2020-11-02,3.41038
2020-11-03,3.52406
2020-11-04,3.97877
2020-11-05,4.88821
2020-11-06,3.14513
2020-11-07,2.1978
2020-11-08,1.78097
2020-11-09,2.95566
2020-11-10,4.69874
2020-11-11,4.3956
2020-11-12,4.35771
2020-11-13,3.67563
2020-11-14,2.91777
2020-11-15,2.1599
2020-11-16,3.71352
2020-11-17,4.964
2020-11-18,5.41871
2020-11-19,5.19136
2020-11-20,4.13035
2020-11-21,2.87987
2020-11-22,6.5934
2020-11-23,7.54073
2020-11-24,7.12391
2020-11-25,13.48995
2020-11-26,12.46684
2020-11-27,7.6923
2020-11-28,5.83554
2020-11-29,17.35505
2020-11-30,9.54907
2020-12-01,9.17014
2020-12-02,7.23758
2020-12-03,7.50284
2020-12-04,7.12391
2020-12-05,6.10079
2020-12-06,11.97423
2020-12-07,10.34482
2020-12-08,11.29215
2020-12-09,11.93633
2020-12-10,10.53429
2020-12-11,5.4945
2020-12-12,2.95566
2020-12-13,4.54717
2020-12-14,6.85865
2020-12-15,6.17658
2020-12-16,6.51762
2020-12-17,5.64607
2020-12-18,5.34293
2020-12-19,3.71352
2020-12-20,4.50928
2020-12-21,6.40394
2020-12-22,7.35126
2020-12-23,6.5934
2020-12-24,5.60818
