date,QLD주가
2020-06-24,1.0395
2020-09-19,1.0395
2020-11-28,1.2474
2020-12-01,1.2474
2020-12-05,1.0395
2020-12-09,1.2474
2020-12-29,1.4553
2021-01-01,1.2474
2021-01-28,1.2474
2021-02-03,1.2474
2021-02-05,1.2474
2021-02-06,2.079
2021-02-08,1.6632
2021-02-09,1.0395
2021-02-11,1.0395
2021-02-12,1.6632
2021-02-14,1.0395
2021-02-18,1.2474
2021-02-19,1.6632
2021-02-21,1.0395
2021-02-23,1.0395
2021-02-24,1.0395
2021-02-25,2.079
2021-02-26,1.6632
2021-02-28,1.6632
2021-03-02,2.079
2021-03-03,2.7027
2021-03-05,1.0395
2021-03-09,1.2474
2021-03-10,1.0395
2021-03-11,1.0395
2021-03-12,2.079
2021-03-17,1.0395
2021-03-19,2.079
2021-04-11,1.0395
2021-04-12,1.0395
2021-04-13,1.0395
2021-04-15,1.0395
2021-04-19,1.0395
2021-04-20,1.0395
2021-04-21,1.4553
2021-04-22,1.6632
2021-04-23,1.0395
2021-04-24,1.6632
2021-04-25,1.2474
2021-04-26,3.1185
2021-04-27,3.5343
2021-04-28,1.6632
2021-04-29,3.1185
2021-04-30,1.4553
2021-05-01,2.079
2021-05-03,1.0395
2021-05-04,3.7422
2021-05-05,5.8212
2021-05-06,3.1185
2021-05-07,3.9501
2021-05-08,1.2474
2021-05-09,1.4553
2021-05-10,3.1185
2021-05-11,2.7027
2021-05-12,4.3659
2021-05-13,4.9896
2021-05-14,3.9501
2021-05-15,3.5343
2021-05-17,1.4553
2021-05-18,1.4553
2021-05-19,2.079
2021-05-20,5.4054
2021-05-21,4.5738
2021-05-22,4.158
2021-05-23,1.6632
2021-05-25,3.5343
2021-05-26,4.3659
2021-05-27,4.5738
2021-05-28,3.9501
2021-05-29,1.6632
2021-05-31,1.8711
2021-06-01,1.2474
2021-06-02,3.9501
2021-06-03,3.3264
2021-06-04,2.079
2021-06-05,2.9106
2021-06-07,1.0395
2021-06-08,2.2869
2021-06-09,2.079
2021-06-10,2.2869
2021-06-11,1.8711
2021-06-12,1.6632
2021-06-15,3.1185
2021-06-16,2.7027
2021-06-17,2.2869
2021-06-18,3.3264
2021-06-19,3.7422
2021-06-20,1.0395
2021-06-22,3.1185
2021-06-23,1.8711
2021-06-24,3.5343
2021-06-25,3.9501
2021-06-26,4.3659
2021-06-28,4.9896
2021-06-29,3.5343
2021-06-30,5.4054
2021-07-01,4.3659
2021-07-02,3.7422
2021-07-03,2.9106
2021-07-06,1.8711
2021-07-07,4.158
2021-07-08,3.5343
2021-07-09,2.079
2021-07-10,1.6632
2021-07-12,2.4948
