date,탕정푸르지오리버파크
2023-08-07,0.05436
2023-08-10,0.07611
2023-08-11,0.27182
2023-08-12,0.27182
2023-08-13,0.29357
2023-08-14,0.22833
2023-08-15,0.5219
2023-08-16,0.67413
2023-08-17,0.65238
2023-08-18,0.80461
2023-08-19,0.4023
2023-08-20,0.5219
2023-08-21,0.59802
2023-08-22,0.85897
2023-08-23,1.14167
2023-08-24,1.31564
2023-08-25,2.75089
2023-08-26,1.8158
2023-08-27,1.68533
2023-08-28,1.46786
2023-08-29,2.00065
2023-08-30,2.12025
2023-08-31,2.02239
2023-09-01,1.6962
2023-09-02,1.23953
2023-09-03,2.80526
2023-09-04,2.76177
2023-09-05,3.21844
2023-09-06,4.49059
2023-09-07,3.26193
2023-09-08,2.48994
2023-09-09,1.50048
2023-09-10,1.8593
2023-09-11,4.45797
2023-09-12,3.80558
2023-09-13,4.03392
2023-09-14,5.54528
2023-09-15,4.52321
2023-09-16,3.59899
2023-09-17,2.88137
2023-09-18,4.31662
2023-09-19,7.83951
2023-09-20,6.36076
2023-09-21,6.55648
2023-09-22,10.51429
2023-09-23,8.7746
2023-09-24,7.29585
2023-09-25,8.13308
2023-09-26,7.35022
2023-09-27,7.1545
2023-09-28,4.58845
2023-09-29,4.75154
2023-09-30,6.03457
2023-10-01,5.80624
2023-10-02,8.47015
2023-10-03,10.60128
2023-10-04,13.27606
2023-10-05,13.19995
2023-10-06,14.3525
2023-10-07,10.04675
2023-10-08,8.7311
2023-10-09,11.38414
2023-10-10,14.33076
2023-10-11,14.77655
2023-10-12,14.09155
2023-10-13,14.27639
2023-10-14,10.5904
2023-10-15,11.63422
2023-10-16,20.43057
2023-10-17,19.2454
2023-10-18,16.90768
2023-10-19,20.7024
2023-10-20,34.27204
2023-10-21,16.20093
2023-10-22,15.82037
2023-10-23,26.63912
2023-10-24,25.3126
2023-10-25,66.06502
2023-10-26,73.98064
2023-10-27,68.07654
2023-10-28,44.80808
2023-10-29,47.17842
2023-10-30,63.73817
2023-10-31,54.92008
2023-11-01,86.09329
2023-11-02,58.39947
2023-11-03,31.55376
2023-11-04,18.32119
2023-11-05,16.70109
2023-11-06,18.36468
2023-11-07,19.45199
2023-11-08,100.0
2023-11-09,34.01109
2023-11-10,23.35544
2023-11-11,15.02663
2023-11-12,16.46188
2023-11-13,21.08296
2023-11-14,18.53865
2023-11-15,16.14656
2023-11-16,14.36337
2023-11-17,12.34098
2023-11-18,9.4596
2023-11-19,9.52484
2023-11-20,13.46091
2023-11-21,12.59106
2023-11-22,12.24312
2023-11-23,10.3077
2023-11-24,10.14461
2023-11-25,9.68794
2023-11-26,8.35054
2023-11-27,11.26454
2023-11-28,11.482
2023-11-29,9.94889
2023-11-30,9.64444
2023-12-01,7.79602
2023-12-02,10.52517
2023-12-03,8.10046
2023-12-04,10.025
2023-12-05,13.47178
2023-12-06,12.00391
2023-12-07,11.73208
2023-12-08,14.2329
2023-12-09,13.73273
2023-12-10,10.71001
2023-12-11,11.27541
2023-12-12,10.3512
2023-12-13,7.83951
2023-12-14,7.83951
2023-12-15,7.01315
2023-12-16,6.28465
2023-12-17,6.71958
2023-12-18,9.35087
2023-12-19,10.25334
2023-12-20,13.46091
2023-12-21,15.50505
2023-12-22,20.47406
2023-12-23,20.90899
2023-12-24,19.71294
2023-12-25,22.50733
2023-12-26,20.31097
2023-12-27,17.62531
2023-12-28,15.01576
2023-12-29,13.47178
2023-12-30,15.3637
2023-12-31,12.68892
2024-01-01,9.91627
2024-01-02,13.99369
2024-01-03,14.86354
2024-01-04,17.94063
2024-01-05,15.71164
2024-01-06,15.59204
2024-01-07,15.90736
2024-01-08,12.01478
2024-01-09,9.26389
2024-01-10,9.84016
2024-01-11,12.90638
2024-01-12,10.31858
2024-01-13,11.40589
2024-01-14,10.92747
2024-01-15,10.01413
2024-01-16,9.0573
2024-01-17,8.60063
2024-01-18,8.55713
2024-01-19,7.61117
2024-01-20,9.19865
2024-01-21,9.72056
2024-01-22,6.78482
2024-01-23,6.24116
2024-01-24,6.94791
2024-01-25,5.78449
2024-01-26,5.96933
2024-01-27,7.32847
2024-01-28,6.73045
2024-01-29,6.99141
2024-01-30,5.87147
2024-01-31,5.42568
2024-02-01,4.99075
2024-02-02,5.33869
2024-02-03,4.97988
2024-02-04,5.40393
2024-02-05,4.75154
2024-02-06,4.76242
2024-02-07,4.54496
2024-02-08,4.27313
2024-02-09,3.65336
2024-02-10,4.14265
2024-02-11,4.18614
2024-02-12,4.66456
2024-02-13,5.05599
2024-02-14,4.32749
2024-02-15,4.78416
2024-02-16,4.70805
2024-02-17,4.79504
2024-02-18,4.20789
2024-02-19,4.86028
2024-02-20,4.27313
2024-02-21,4.42535
2024-02-22,4.15352
2024-02-23,2.97923
2024-02-24,3.80558
2024-02-25,3.8382
2024-02-26,3.54463
2024-02-27,3.63161
2024-02-28,4.01217
2024-02-29,3.49026
2024-03-01,3.39241
2024-03-02,3.05534
2024-03-03,3.46852
2024-03-04,3.64249
2024-03-05,3.5555
2024-03-06,4.1644
2024-03-07,3.80558
2024-03-08,3.24018
2024-03-09,3.25106
2024-03-10,3.18582
2024-03-11,4.04479
2024-03-12,4.1209
2024-03-13,3.93606
2024-03-14,3.8817
2024-03-15,3.8817
2024-03-16,3.93606
2024-03-17,6.12156
2024-03-18,6.92617
2024-03-19,4.67543
2024-03-20,3.75122
