date,대만달러
2020-03-20,14.73708
2020-03-21,7.93357
2020-03-22,7.08025
2020-03-23,13.33025
2020-03-24,12.20018
2020-03-25,10.77029
2020-03-26,9.91697
2020-03-27,9.36346
2020-03-28,6.18081
2020-03-29,6.01937
2020-03-30,9.91697
2020-03-31,8.69464
2020-04-01,9.61715
2020-04-02,8.18726
2020-04-03,7.77214
2020-04-04,12.6845
2020-04-05,9.54797
2020-04-06,10.7011
2020-04-07,9.84778
2020-04-08,9.5249
2020-04-09,9.08671
2020-04-10,9.54797
2020-04-11,6.8035
2020-04-12,6.8035
2020-04-13,8.48708
2020-04-14,8.39483
2020-04-15,6.29612
2020-04-16,9.06365
2020-04-17,9.10977
2020-04-18,5.71955
2020-04-19,6.22693
2020-04-20,8.94833
2020-04-21,10.72416
2020-04-22,9.31734
2020-04-23,8.94833
2020-04-24,8.80996
2020-04-25,4.75092
2020-04-26,6.91881
2020-04-27,8.80996
2020-04-28,8.76383
2020-04-29,8.37177
2020-04-30,6.52675
2020-05-01,5.88099
2020-05-02,5.60424
2020-05-03,4.95848
2020-05-04,8.37177
2020-05-05,7.21863
2020-05-06,8.83302
2020-05-07,7.72601
2020-05-08,7.47232
2020-05-09,5.0738
2020-05-10,5.41974
2020-05-11,7.40313
2020-05-12,7.67988
2020-05-13,6.66512
2020-05-14,7.1725
2020-05-15,7.33394
2020-05-16,5.4428
2020-05-17,4.54335
2020-05-18,8.3487
2020-05-19,8.48708
2020-05-20,7.03413
2020-05-21,6.38837
2020-05-22,7.35701
2020-05-23,4.93542
2020-05-24,5.85793
2020-05-25,8.04889
2020-05-26,8.02583
2020-05-27,7.6107
2020-05-28,7.44926
2020-05-29,7.40313
2020-05-30,5.11992
2020-05-31,5.83487
2020-06-01,7.93357
2020-06-02,7.86439
2020-06-03,7.6107
2020-06-04,7.58763
2020-06-05,6.41143
2020-06-06,5.4428
2020-06-07,5.41974
2020-06-08,8.92527
2020-06-09,7.67988
2020-06-10,7.56457
2020-06-11,6.78044
2020-06-12,6.619
2020-06-13,7.38007
2020-06-14,7.81826
2020-06-15,7.86439
2020-06-16,7.91051
2020-06-17,7.31088
2020-06-18,7.21863
2020-06-19,7.56457
2020-06-20,5.11992
2020-06-21,4.40498
2020-06-22,5.53505
2020-06-23,6.34225
2020-06-24,8.07195
2020-06-25,6.78044
2020-06-26,8.48708
2020-06-27,6.25
2020-06-28,5.30442
