date,환율우대
2020-03-20,59.77337
2020-03-21,18.41359
2020-03-22,19.54674
2020-03-23,41.92634
2020-03-24,31.86968
2020-03-25,30.02832
2020-03-26,29.17847
2020-03-27,27.19546
2020-03-28,11.61473
2020-03-29,14.58923
2020-03-30,20.53824
2020-03-31,18.27195
2020-04-01,18.41359
2020-04-02,23.22946
2020-04-03,17.13881
2020-04-04,7.08215
2020-04-05,8.92351
2020-04-06,21.10481
2020-04-07,21.67138
2020-04-08,19.68838
2020-04-09,16.85552
2020-04-10,20.25495
2020-04-11,10.33994
2020-04-12,9.77337
2020-04-13,16.57223
2020-04-14,23.93767
2020-04-15,16.57223
2020-04-16,18.27195
2020-04-17,19.40509
2020-04-18,9.91501
2020-04-19,11.75637
2020-04-20,19.26345
2020-04-21,20.53824
2020-04-22,24.22096
2020-04-23,16.57223
2020-04-24,16.85552
2020-04-25,10.48158
2020-04-26,9.34844
2020-04-27,13.88101
2020-04-28,18.13031
2020-04-29,16.71388
2020-04-30,11.04815
2020-05-01,9.06515
2020-05-02,6.65722
2020-05-03,5.38243
2020-05-04,17.28045
2020-05-05,11.1898
2020-05-06,12.74787
2020-05-07,14.1643
2020-05-08,11.47308
2020-05-09,5.66572
2020-05-10,6.23229
2020-05-11,12.60623
2020-05-12,12.60623
2020-05-13,12.46458
2020-05-14,9.91501
2020-05-15,10.33994
2020-05-16,5.66572
2020-05-17,5.24079
2020-05-18,11.33144
2020-05-19,13.88101
2020-05-20,10.90651
2020-05-21,8.92351
2020-05-22,14.44759
2020-05-23,7.50708
2020-05-24,7.79036
2020-05-25,14.02266
2020-05-26,13.59773
2020-05-27,14.1643
2020-05-28,10.48158
2020-05-29,12.88951
2020-05-30,6.51558
2020-05-31,6.65722
2020-06-01,16.85552
2020-06-02,14.87252
2020-06-03,18.69688
2020-06-04,14.73087
2020-06-05,13.45609
2020-06-06,8.64022
2020-06-07,10.62322
2020-06-08,15.1558
2020-06-09,19.26345
2020-06-10,21.10481
2020-06-11,14.73087
2020-06-12,12.03966
2020-06-13,6.9405
2020-06-14,8.07365
2020-06-15,10.90651
2020-06-16,10.76487
2020-06-17,10.62322
2020-06-18,12.1813
2020-06-19,9.34844
2020-06-20,5.949
2020-06-21,6.65722
2020-06-22,9.06515
2020-06-23,11.47308
2020-06-24,11.04815
2020-06-25,12.32294
2020-06-26,13.45609
2020-06-27,9.49008
2020-06-28,5.52407
