date,IR
2020-03-20,21.792
2020-03-21,9.696
2020-03-22,9.952
2020-03-23,21.248
2020-03-24,22.656
2020-03-25,24.224
2020-03-26,23.552
2020-03-27,19.936
2020-03-28,10.048
2020-03-29,10.88
2020-03-30,22.336
2020-03-31,22.112
2020-04-01,21.76
2020-04-02,23.68
2020-04-03,19.68
2020-04-04,8.672
2020-04-05,11.616
2020-04-06,21.024
2020-04-07,21.824
2020-04-08,23.328
2020-04-09,21.792
2020-04-10,23.168
2020-04-11,9.376
2020-04-12,10.176
2020-04-13,23.392
2020-04-14,22.496
2020-04-15,11.104
2020-04-16,20.352
2020-04-17,18.816
2020-04-18,10.208
2020-04-19,11.04
2020-04-20,22.752
2020-04-21,24.992
2020-04-22,26.432
2020-04-23,24.736
2020-04-24,22.752
2020-04-25,9.76
2020-04-26,10.304
2020-04-27,27.872
2020-04-28,28.416
2020-04-29,24.32
2020-04-30,12.736
2020-05-01,10.4
2020-05-02,8.608
2020-05-03,13.344
2020-05-04,18.08
2020-05-05,11.488
2020-05-06,29.21599
2020-05-07,25.216
2020-05-08,18.55999
2020-05-09,8.864
2020-05-10,10.656
2020-05-11,21.984
2020-05-12,26.752
2020-05-13,25.376
2020-05-14,26.784
2020-05-15,24.8
2020-05-16,9.568
2020-05-17,11.072
2020-05-18,22.912
2020-05-19,26.944
2020-05-20,24.768
2020-05-21,25.40799
2020-05-22,21.76
2020-05-23,10.496
2020-05-24,10.688
2020-05-25,23.52
2020-05-26,24.384
2020-05-27,25.312
2020-05-28,22.528
2020-05-29,20.48
2020-05-30,10.016
2020-05-31,11.04
2020-06-01,23.968
2020-06-02,28.8
2020-06-03,28.768
2020-06-04,28.67199
2020-06-05,27.808
2020-06-06,11.584
2020-06-07,11.872
2020-06-08,24.448
2020-06-09,28.768
2020-06-10,27.36
2020-06-11,24.608
2020-06-12,22.336
2020-06-13,10.4
2020-06-14,11.456
2020-06-15,22.88
2020-06-16,22.912
2020-06-17,23.392
2020-06-18,26.272
2020-06-19,23.936
2020-06-20,17.76
2020-06-21,11.68
2020-06-22,24.736
2020-06-23,26.816
2020-06-24,26.62399
2020-06-25,26.016
2020-06-26,20.64
2020-06-27,10.112
2020-06-28,14.4
2020-06-29,22.784
