date,카드혜택비교
2020-03-20,13.15789
2020-03-22,13.15789
2020-03-30,18.42105
2020-03-31,15.78947
2020-04-02,21.05263
2020-04-07,13.15789
2020-04-10,13.15789
2020-04-12,15.78947
2020-04-14,15.78947
2020-04-15,15.78947
2020-04-16,13.15789
2020-04-17,18.42105
2020-04-21,13.15789
2020-04-24,15.78947
2020-04-25,13.15789
2020-04-27,13.15789
2020-04-28,18.42105
2020-04-29,13.15789
2020-05-07,15.78947
2020-05-10,13.15789
2020-05-11,39.47368
2020-05-13,31.57894
2020-05-14,31.57894
2020-05-15,15.78947
2020-05-19,15.78947
2020-05-20,42.10526
2020-05-25,15.78947
2020-05-26,18.42105
2020-05-28,13.15789
2020-05-29,13.15789
2020-06-01,15.78947
2020-06-02,15.78947
2020-06-09,13.15789
2020-06-11,26.31578
2020-06-13,18.42105
2020-06-15,13.15789
2020-06-16,15.78947
2020-07-01,13.15789
2020-07-05,13.15789
2020-07-06,26.31578
2020-07-08,13.15789
2020-07-10,15.78947
2020-07-21,28.94736
2020-07-23,15.78947
2020-07-28,13.15789
2020-08-09,13.15789
2020-08-11,15.78947
2020-08-21,15.78947
2020-08-25,28.94736
2020-08-28,23.68421
2020-09-01,15.78947
2020-09-03,13.15789
2020-09-07,28.94736
2020-09-08,28.94736
2020-09-09,18.42105
2020-09-10,44.73684
2020-09-11,13.15789
2020-09-12,23.68421
2020-09-14,13.15789
2020-09-15,28.94736
2020-09-18,13.15789
2020-09-19,15.78947
2020-09-21,13.15789
2020-09-22,13.15789
2020-09-23,15.78947
2020-09-27,21.05263
2020-09-28,15.78947
2020-10-05,13.15789
2020-10-13,15.78947
2020-10-14,15.78947
2020-10-15,44.73684
2020-10-16,15.78947
2020-10-18,13.15789
2020-10-20,15.78947
2020-10-21,26.31578
2020-10-23,15.78947
2020-10-25,26.31578
2020-10-26,13.15789
2020-10-28,18.42105
2020-11-02,13.15789
2020-11-03,13.15789
2020-11-05,13.15789
2020-11-06,15.78947
2020-11-09,21.05263
2020-11-10,26.31578
2020-11-11,28.94736
2020-11-16,13.15789
2020-11-18,18.42105
2020-11-19,31.57894
2020-11-22,18.42105
2020-11-24,36.8421
2020-11-25,13.15789
2020-11-26,28.94736
2020-11-28,15.78947
2020-12-01,31.57894
2020-12-03,13.15789
2020-12-04,13.15789
2020-12-06,15.78947
2020-12-09,28.94736
2020-12-10,23.68421
2020-12-14,42.10526
2020-12-16,31.57894
2020-12-17,28.94736
2020-12-20,13.15789
2020-12-22,18.42105
2020-12-24,34.21052
2020-12-27,47.36842
2020-12-29,39.47368
2020-12-30,13.15789
2021-01-02,15.78947
2021-01-04,44.73684
2021-01-05,26.31578
2021-01-06,28.94736
2021-01-07,44.73684
2021-01-08,26.31578
2021-01-09,36.8421
2021-01-10,36.8421
2021-01-11,15.78947
2021-01-12,57.89473
2021-01-13,39.47368
2021-01-14,15.78947
2021-01-15,36.8421
2021-01-16,36.8421
2021-01-17,31.57894
2021-01-18,89.47368
2021-01-19,52.63157
2021-01-20,42.10526
2021-01-21,50.0
2021-01-22,65.78947
2021-01-23,63.15789
2021-01-24,15.78947
2021-01-25,13.15789
2021-01-26,65.78947
2021-01-27,44.73684
2021-01-28,31.57894
2021-01-30,15.78947
2021-02-01,52.63157
2021-02-02,15.78947
2021-02-03,31.57894
2021-02-04,13.15789
2021-02-05,52.63157
2021-02-06,36.8421
2021-02-07,28.94736
2021-02-08,21.05263
2021-02-09,44.73684
2021-02-10,26.31578
2021-02-12,13.15789
2021-02-14,13.15789
2021-02-15,13.15789
2021-02-16,28.94736
2021-02-18,18.42105
2021-02-19,13.15789
2021-02-20,34.21052
2021-02-21,31.57894
2021-02-22,13.15789
2021-02-23,28.94736
2021-02-25,36.8421
2021-02-26,26.31578
2021-02-28,13.15789
2021-03-02,42.10526
2021-03-03,13.15789
2021-03-04,13.15789
2021-03-05,23.68421
2021-03-06,13.15789
2021-03-08,13.15789
2021-03-09,21.05263
2021-03-10,13.15789
2021-03-11,28.94736
2021-03-12,15.78947
2021-03-14,18.42105
2021-03-16,13.15789
2021-03-21,18.42105
2021-03-22,15.78947
2021-03-23,26.31578
2021-03-25,34.21052
2021-03-29,15.78947
2021-03-30,21.05263
