date,김현준
2020-03-20,1.51586
2020-03-21,1.98137
2020-03-22,1.59539
2020-03-23,1.20239
2020-03-24,2.66445
2020-03-25,3.83877
2020-03-26,1.97903
2020-03-27,1.441
2020-03-28,2.5545
2020-03-29,1.34275
2020-03-30,1.12519
2020-03-31,2.00009
2020-04-01,5.54879
2020-04-02,1.67259
2020-04-03,1.40591
2020-04-04,2.02348
2020-04-05,1.31702
2020-04-06,1.31
2020-04-07,1.99775
2020-04-08,2.54514
2020-04-09,1.71703
2020-04-10,1.98371
2020-04-11,1.43398
2020-04-12,1.52287
2020-04-13,1.69364
2020-04-14,1.43866
2020-04-15,1.45503
2020-04-16,0.9053
2020-04-17,0.98951
2020-04-18,1.51352
2020-04-19,1.41527
2020-04-20,1.1135
2020-04-21,1.52053
2020-04-22,2.91475
2020-04-23,5.07158
2020-04-24,1.49714
2020-04-25,1.68662
2020-04-26,2.0422
2020-04-27,1.85271
2020-04-28,1.26789
2020-04-29,5.03649
2020-04-30,1.8457
2020-05-01,1.41059
2020-05-02,1.54627
2020-05-03,1.7685
2020-05-04,1.47609
2020-05-05,100.0
2020-05-06,1.91821
2020-05-07,1.80593
2020-05-08,3.144
2020-05-09,3.55104
2020-05-10,2.12407
2020-05-11,1.41527
2020-05-12,1.38018
2020-05-13,1.41761
2020-05-14,3.97211
2020-05-15,1.21409
2020-05-16,4.73004
2020-05-17,1.51819
2020-05-18,1.23748
2020-05-19,3.59782
2020-05-20,3.28436
2020-05-21,2.42116
2020-05-22,1.5603
2020-05-23,1.80827
2020-05-24,2.34864
2020-05-25,1.15794
2020-05-26,1.17432
2020-05-27,1.61177
2020-05-28,1.19771
2020-05-29,1.0901
2020-05-30,5.21193
2020-05-31,2.32525
2020-06-01,1.17198
2020-06-02,1.28193
2020-06-03,1.1556
2020-06-04,1.13689
2020-06-05,1.04332
2020-06-06,1.14625
2020-06-07,1.13923
2020-06-08,1.07841
2020-06-09,1.51819
2020-06-10,1.00121
2020-06-11,0.83044
2020-06-12,0.98718
2020-06-13,2.40713
2020-06-14,1.06203
2020-06-15,0.80471
2020-06-16,0.97782
2020-06-17,0.97782
2020-06-18,1.19069
2020-06-19,1.1018
2020-06-20,1.15327
2020-06-21,2.02114
2020-06-22,1.77552
2020-06-23,1.87845
2020-06-24,1.3755
2020-06-25,1.14157
2020-06-26,1.1556
2020-06-27,1.06203
2020-06-28,0.99185
2020-06-29,1.00823
2020-06-30,0.91232
2020-07-01,1.03162
2020-07-02,1.05502
2020-07-03,0.93805
2020-07-04,0.88893
2020-07-05,0.87489
2020-07-06,0.87723
2020-07-07,1.0363
2020-07-08,0.89594
2020-07-09,1.69598
2020-07-10,1.26087
2020-07-11,1.11584
2020-07-12,1.13221
2020-07-13,1.30064
2020-07-14,1.18368
2020-07-15,1.06203
2020-07-16,0.89594
2020-07-17,0.89126
2020-07-18,1.1018
2020-07-19,0.87957
2020-07-20,1.30064
2020-07-21,1.41059
2020-07-22,1.25619
2020-07-23,1.08075
2020-07-24,1.03864
2020-07-25,1.12753
2020-07-26,1.50884
2020-07-27,1.00355
2020-07-28,1.02227
2020-07-29,1.58837
2020-07-30,3.25629
2020-07-31,1.61411
2020-08-01,1.23748
2020-08-02,0.99419
2020-08-03,1.18602
2020-08-04,0.84214
2020-08-05,0.86085
2020-08-06,1.048
2020-08-07,1.13221
2020-08-08,1.02227
2020-08-09,1.05034
2020-08-10,0.91934
2020-08-11,0.97782
2020-08-12,1.09478
2020-08-13,1.01057
2020-08-14,1.07841
2020-08-15,1.26087
2020-08-16,1.16262
2020-08-17,1.50182
2020-08-18,1.30298
2020-08-19,1.65153
2020-08-20,1.5603
2020-08-21,3.33348
2020-08-22,1.60007
2020-08-23,1.12285
2020-08-24,1.56264
2020-08-25,1.15794
2020-08-26,0.92401
2020-08-27,1.05969
2020-08-28,1.15794
2020-08-29,1.59539
2020-08-30,1.14625
2020-08-31,1.81528
2020-09-01,1.54861
2020-09-02,1.05502
2020-09-03,1.1673
2020-09-04,1.20473
2020-09-05,1.30532
2020-09-06,1.12285
2020-09-07,0.96846
2020-09-08,1.1556
2020-09-09,0.95443
2020-09-10,1.01057
2020-09-11,0.9591
2020-09-12,1.36614
2020-09-13,1.13221
2020-09-14,1.0246
2020-09-15,1.01057
2020-09-16,1.21409
2020-09-17,1.12519
2020-09-18,0.93103
2020-09-19,1.00823
2020-09-20,1.12519
2020-09-21,1.45971
2020-09-22,1.03162
2020-09-23,0.86787
2020-09-24,0.84916
2020-09-25,1.0363
2020-09-26,1.26321
2020-09-27,0.93571
2020-09-28,0.83044
2020-09-29,0.97782
2020-09-30,0.92401
2020-10-01,1.05969
2020-10-02,1.17198
2020-10-03,1.34275
2020-10-04,1.07607
2020-10-05,0.67605
2020-10-06,0.74155
2020-10-07,0.78834
2020-10-08,0.74389
2020-10-09,1.10882
2020-10-10,1.1673
2020-10-11,1.11584
2020-10-12,0.76962
2020-10-13,0.77664
2020-10-14,0.69009
2020-10-15,0.67839
2020-10-16,1.01057
2020-10-17,1.72639
2020-10-18,0.99419
2020-10-19,0.76728
2020-10-20,0.70178
2020-10-21,0.66435
2020-10-22,0.71816
2020-10-23,2.1732
2020-10-24,0.84916
2020-10-25,1.96968
2020-10-26,0.86319
2020-10-27,0.81641
2020-10-28,2.77205
2020-10-29,1.68428
2020-10-30,1.04566
2020-10-31,1.09244
2020-11-01,1.01993
2020-11-02,0.80003
2020-11-03,0.93337
2020-11-04,0.83278
2020-11-05,0.87957
2020-11-06,0.88893
2020-11-07,0.98951
2020-11-08,0.90062
2020-11-09,0.91934
2020-11-10,0.86553
2020-11-11,0.95676
2020-11-12,1.34275
2020-11-13,1.18835
2020-11-14,1.32169
2020-11-15,0.99185
2020-11-16,0.90998
2020-11-17,1.00355
2020-11-18,0.97314
2020-11-19,0.87957
2020-11-20,0.80237
2020-11-21,1.23514
2020-11-22,0.90296
2020-11-23,0.75091
2020-11-24,0.88659
2020-11-25,0.81173
2020-11-26,0.79769
2020-11-27,0.93571
2020-11-28,1.2328
2020-11-29,0.93571
2020-11-30,0.82343
2020-12-01,0.81875
2020-12-02,0.93103
2020-12-03,0.80705
2020-12-04,0.98951
2020-12-05,0.92635
2020-12-06,1.05034
2020-12-07,0.74623
2020-12-08,0.82576
2020-12-09,1.10648
2020-12-10,0.94741
2020-12-11,0.91232
2020-12-12,1.21877
2020-12-13,1.02694
2020-12-14,0.87957
2020-12-15,0.99887
2020-12-16,0.917
2020-12-17,0.96612
2020-12-18,0.78834
2020-12-19,0.96846
2020-12-20,0.98484
2020-12-21,1.02928
2020-12-22,0.78132
2020-12-23,1.00355
2020-12-24,1.07373
2020-12-25,1.1135
2020-12-26,1.2983
2020-12-27,1.26087
2020-12-28,1.10414
2020-12-29,1.37316
2020-12-30,1.1018
2020-12-31,1.08777
2021-01-01,1.14391
2021-01-02,1.24684
