date,유류분청구소송
2020-03-20,30.61516
2020-03-21,24.46351
2020-03-22,28.75536
2020-03-23,41.77396
2020-03-24,37.62517
2020-03-25,31.90271
2020-03-26,34.04864
2020-03-27,32.04577
2020-03-28,29.89985
2020-03-29,35.05007
2020-03-30,48.35479
2020-03-31,32.90414
2020-04-01,28.89842
2020-04-02,39.7711
2020-04-03,30.18597
2020-04-04,26.89556
2020-04-05,23.89127
2020-04-06,33.04721
2020-04-07,38.48354
2020-04-08,36.62374
2020-04-09,39.91416
2020-04-10,41.48783
2020-04-11,34.47782
2020-04-12,36.0515
2020-04-13,52.50357
2020-04-14,36.48068
2020-04-15,28.46924
2020-04-16,30.18597
2020-04-17,35.05007
2020-04-18,25.60801
2020-04-19,32.76108
2020-04-20,38.34048
2020-04-21,35.33619
2020-04-22,40.4864
2020-04-23,35.05007
2020-04-24,32.90414
2020-04-25,34.90701
2020-04-26,33.04721
2020-04-27,43.77682
2020-04-28,31.18741
2020-04-29,39.7711
2020-04-30,28.75536
2020-05-01,28.32618
2020-05-02,29.47067
2020-05-03,28.75536
2020-05-04,33.47639
2020-05-05,30.75822
2020-05-06,39.62804
2020-05-07,48.78397
2020-05-08,45.3505
2020-05-09,46.20886
2020-05-10,35.62231
2020-05-11,45.3505
2020-05-12,45.92274
2020-05-13,43.77682
2020-05-14,43.91988
2020-05-15,40.20028
2020-05-16,30.18597
2020-05-17,34.76394
2020-05-18,45.92274
2020-05-19,48.92703
2020-05-20,45.77968
2020-05-21,64.37768
2020-05-22,63.66237
2020-05-23,42.06008
2020-05-24,41.05865
2020-05-25,45.20743
2020-05-26,47.9256
2020-05-27,42.06008
2020-05-28,42.77539
2020-05-29,38.48354
2020-05-30,37.76824
2020-05-31,29.32761
2020-06-01,34.76394
2020-06-02,38.91273
2020-06-03,42.91845
2020-06-04,46.0658
2020-06-05,37.76824
2020-06-06,32.61802
2020-06-07,30.4721
2020-06-08,42.3462
2020-06-09,40.62947
2020-06-10,38.48354
2020-06-11,36.90987
2020-06-12,29.61373
2020-06-13,25.46494
2020-06-14,32.18884
2020-06-15,54.64949
2020-06-16,44.49213
2020-06-17,38.76967
2020-06-18,36.7668
2020-06-19,27.46781
2020-06-20,26.18025
2020-06-21,27.03862
2020-06-22,41.77396
2020-06-23,46.35193
2020-06-24,37.19599
2020-06-25,39.34191
2020-06-26,35.33619
2020-06-27,23.74821
2020-06-28,38.05436
2020-06-29,45.06437
2020-06-30,41.05865
2020-07-01,37.76824
2020-07-02,34.90701
2020-07-03,42.48927
2020-07-04,29.61373
2020-07-05,34.90701
2020-07-06,42.91845
2020-07-07,43.91988
2020-07-08,39.34191
2020-07-09,45.77968
2020-07-10,35.90844
2020-07-11,35.47925
2020-07-12,36.0515
2020-07-13,46.35193
2020-07-14,37.62517
2020-07-15,41.6309
2020-07-16,37.33905
2020-07-17,42.3462
2020-07-18,32.76108
2020-07-19,36.0515
2020-07-20,44.92131
2020-07-21,40.20028
2020-07-22,46.49499
2020-07-23,43.06151
2020-07-24,34.76394
2020-07-25,39.34191
2020-07-26,35.90844
2020-07-27,44.34907
2020-07-28,44.49213
2020-07-29,43.63376
2020-07-30,37.19599
2020-07-31,46.63805
2020-08-01,29.04148
2020-08-02,28.6123
2020-08-03,56.08011
2020-08-04,44.77825
2020-08-05,46.49499
2020-08-06,41.34477
2020-08-07,37.9113
2020-08-08,33.04721
