date,예금금리비교
2020-11-07,0.53847
2020-11-08,0.33003
2020-11-09,1.23328
2020-11-10,1.0422
2020-11-11,1.02483
2020-11-12,1.02483
2020-11-13,0.88587
2020-11-14,0.26055
2020-11-15,0.5211
2020-11-16,0.93798
2020-11-17,1.23328
2020-11-18,1.07694
2020-11-19,0.97272
2020-11-20,1.26802
2020-11-21,0.64269
2020-11-22,0.50373
2020-11-23,1.32013
2020-11-24,0.99009
2020-11-25,0.92061
2020-11-26,1.1638
2020-11-27,1.30276
2020-11-28,0.48636
2020-11-29,0.59058
2020-11-30,1.35487
2020-12-01,1.49383
2020-12-02,1.12906
2020-12-03,1.07694
2020-12-04,0.95535
2020-12-05,0.38214
2020-12-06,0.46899
2020-12-07,0.97272
2020-12-08,1.02483
2020-12-09,1.19854
2020-12-10,1.23328
2020-12-11,1.0422
2020-12-12,0.53847
2020-12-13,0.38214
2020-12-14,0.88587
2020-12-15,0.76428
2020-12-16,1.28539
2020-12-17,1.21591
2020-12-18,0.93798
2020-12-19,0.3474
2020-12-20,0.38214
2020-12-21,1.63279
2020-12-22,1.37224
2020-12-23,1.32013
2020-12-24,0.99009
2020-12-25,0.79902
2020-12-26,0.64269
2020-12-27,0.59058
2020-12-28,1.45909
2020-12-29,1.18117
2020-12-30,1.61542
2020-12-31,1.05957
2021-01-01,0.79902
2021-01-02,0.78165
2021-01-03,1.40698
2021-01-04,1.89334
2021-01-05,1.21591
2021-01-06,1.94545
2021-01-07,1.25065
2021-01-08,1.0422
2021-01-09,0.6948
2021-01-10,0.53847
2021-01-11,1.25065
2021-01-12,1.59805
2021-01-13,1.38961
2021-01-14,1.37224
2021-01-15,1.32013
2021-01-16,0.83376
2021-01-17,0.57321
2021-01-18,1.35487
2021-01-19,1.26802
2021-01-20,1.71964
2021-01-21,1.28539
2021-01-22,1.23328
2021-01-23,0.57321
2021-01-24,0.67743
2021-01-25,1.71964
2021-01-26,1.52857
2021-01-27,1.5112
2021-01-28,1.3375
2021-01-29,1.52857
2021-01-30,0.57321
2021-01-31,0.85113
2021-02-01,1.84123
2021-02-02,1.5112
2021-02-03,1.44172
2021-02-04,1.56331
2021-02-05,1.70227
2021-02-06,0.67743
2021-02-07,0.8685
2021-02-08,1.42435
2021-02-09,1.54594
2021-02-10,1.09431
2021-02-11,0.67743
2021-02-12,0.66006
2021-02-13,0.46899
2021-02-14,1.3375
2021-02-15,2.10178
2021-02-16,1.56331
2021-02-17,1.37224
2021-02-18,1.21591
2021-02-19,1.59805
2021-02-20,0.46899
2021-02-21,0.6948
2021-02-22,1.23328
2021-02-23,1.94545
2021-02-24,1.25065
2021-02-25,1.52857
2021-02-26,1.80649
2021-02-27,0.93798
2021-02-28,0.67743
2021-03-01,1.40698
2021-03-02,1.37224
2021-03-03,1.59805
2021-03-04,1.71964
2021-03-05,0.88587
2021-03-06,0.36477
