date,실손보험가입
2020-03-20,2.25321
2020-03-21,0.96566
2020-03-22,1.07296
2020-03-23,2.03862
2020-03-24,3.86266
2020-03-25,2.46781
2020-03-26,3.21888
2020-03-27,1.93133
2020-03-28,0.53648
2020-03-29,0.96566
2020-03-30,3.64806
2020-03-31,2.03862
2020-04-01,1.28755
2020-04-02,0.64377
2020-04-03,1.07296
2020-04-04,0.85836
2020-04-05,0.75107
2020-04-06,2.6824
2020-04-07,2.46781
2020-04-08,1.50214
2020-04-09,1.07296
2020-04-10,1.93133
2020-04-12,0.96566
2020-04-13,1.39484
2020-04-14,1.39484
2020-04-15,1.39484
2020-04-17,1.07296
2020-04-18,0.53648
2020-04-19,0.75107
2020-04-20,1.60944
2020-04-21,2.14592
2020-04-22,2.14592
2020-04-23,2.5751
2020-04-24,2.25321
2020-04-25,0.64377
2020-04-26,0.64377
2020-04-27,1.82403
2020-04-28,1.60944
2020-04-29,2.78969
2020-04-30,1.28755
2020-05-01,0.53648
2020-05-02,1.18025
2020-05-03,0.85836
2020-05-04,2.46781
2020-05-05,1.93133
2020-05-06,2.78969
2020-05-07,2.5751
2020-05-08,1.28755
2020-05-09,0.85836
2020-05-10,0.75107
2020-05-11,1.82403
2020-05-12,4.07725
2020-05-13,2.36051
2020-05-14,2.78969
2020-05-15,2.5751
2020-05-16,0.75107
2020-05-18,2.5751
2020-05-19,3.21888
2020-05-20,2.46781
2020-05-21,2.78969
2020-05-22,2.5751
2020-05-23,0.75107
2020-05-24,0.96566
2020-05-25,2.89699
2020-05-26,3.43347
2020-05-27,3.11158
2020-05-28,3.75536
2020-05-29,2.14592
2020-05-30,0.75107
2020-05-31,1.18025
2020-06-01,2.78969
2020-06-02,2.5751
2020-06-03,2.25321
2020-06-04,1.18025
2020-06-05,1.50214
2020-06-06,1.07296
2020-06-07,0.96566
2020-06-08,2.46781
2020-06-09,0.75107
2020-06-10,2.78969
2020-06-11,1.50214
2020-06-12,1.18025
2020-06-13,1.18025
2020-06-14,1.50214
2020-06-15,3.32618
2020-06-16,1.93133
2020-06-17,2.25321
2020-06-18,2.03862
2020-06-19,1.18025
2020-06-20,1.07296
2020-06-21,0.53648
2020-06-22,2.89699
2020-06-23,2.14592
2020-06-24,2.25321
2020-06-25,3.00429
2020-06-26,1.82403
2020-06-27,1.39484
2020-06-28,1.50214
2020-06-29,3.11158
2020-06-30,3.00429
2020-07-01,3.54077
2020-07-02,1.71673
2020-07-03,1.60944
2020-07-06,1.93133
2020-07-07,2.03862
2020-07-08,1.28755
2020-07-09,1.71673
2020-07-10,0.75107
2020-07-11,0.64377
2020-07-12,0.75107
2020-07-13,2.03862
2020-07-14,2.6824
2020-07-15,1.28755
2020-07-16,1.18025
2020-07-17,2.25321
2020-07-19,1.18025
2020-07-20,2.78969
2020-07-21,2.14592
2020-07-22,2.03862
2020-07-23,2.46781
2020-07-24,1.50214
2020-07-25,0.53648
