date,벤처캐피탈
2020-03-20,37.2549
2020-03-21,21.84873
2020-03-22,27.73109
2020-03-23,46.49859
2020-03-24,47.33893
2020-03-25,44.81792
2020-03-26,50.42016
2020-03-27,43.97759
2020-03-28,25.21008
2020-03-29,27.45098
2020-03-30,49.29971
2020-03-31,37.53501
2020-04-01,40.89635
2020-04-02,43.69747
2020-04-03,40.89635
2020-04-04,24.08963
2020-04-05,19.88795
2020-04-06,43.13725
2020-04-07,52.66106
2020-04-08,42.0168
2020-04-09,49.85994
2020-04-10,45.65826
2020-04-11,29.13165
2020-04-12,29.41176
2020-04-13,38.65546
2020-04-14,36.69467
2020-04-15,28.85154
2020-04-16,49.0196
2020-04-17,42.29691
2020-04-18,20.44817
2020-04-19,19.88795
2020-04-20,43.13725
2020-04-21,43.69747
2020-04-22,46.21848
2020-04-23,40.33613
2020-04-24,29.41176
2020-04-25,18.48739
2020-04-26,20.72829
2020-04-27,45.65826
2020-04-28,37.53501
2020-04-29,48.17927
2020-04-30,23.80952
2020-05-01,29.97198
2020-05-02,22.96918
2020-05-03,25.49019
2020-05-04,45.37815
2020-05-05,27.17086
2020-05-06,47.89915
2020-05-07,45.93837
2020-05-08,42.29691
2020-05-09,25.21008
2020-05-10,32.49299
2020-05-11,47.33893
2020-05-12,74.22969
2020-05-13,80.11204
2020-05-14,54.90196
2020-05-15,42.29691
2020-05-16,26.05042
2020-05-17,24.08963
2020-05-18,45.09803
2020-05-19,47.61904
2020-05-20,50.14005
2020-05-21,47.05882
2020-05-22,38.93557
2020-05-23,21.84873
2020-05-24,21.56862
2020-05-25,44.81792
2020-05-26,41.17647
2020-05-27,41.45658
2020-05-28,47.33893
2020-05-29,38.09523
2020-05-30,25.21008
2020-05-31,32.7731
2020-06-01,50.98039
2020-06-02,87.95518
2020-06-03,64.70588
2020-06-04,57.98319
2020-06-05,49.85994
2020-06-06,26.89075
2020-06-07,31.93277
2020-06-08,48.73949
2020-06-09,52.66106
2020-06-10,49.57983
2020-06-11,61.34453
2020-06-12,54.06162
2020-06-13,35.85434
2020-06-14,41.17647
2020-06-15,61.06442
2020-06-16,49.57983
2020-06-17,59.94397
2020-06-18,54.34173
2020-06-19,60.5042
2020-06-20,28.57142
2020-06-21,33.33333
2020-06-22,64.42577
2020-06-23,50.14005
