date,울산다운2지구우미린모델하우스
2022-03-18,1.35135
2023-10-18,0.96525
2023-10-20,0.96525
2023-10-29,1.35135
2023-11-02,0.96525
2023-11-09,1.1583
2023-11-28,0.96525
2023-12-02,12.54826
2023-12-03,9.45945
2023-12-04,9.6525
2023-12-05,11.58301
2023-12-06,18.14671
2023-12-07,9.2664
2023-12-08,6.9498
2023-12-09,6.37065
2023-12-10,5.4054
2023-12-11,2.3166
2023-12-12,4.05405
2023-12-13,5.21235
2023-12-14,2.89575
2023-12-15,3.861
2023-12-16,2.7027
2023-12-17,2.89575
2023-12-18,1.35135
2023-12-19,3.861
2023-12-20,5.98455
2023-12-21,4.05405
2023-12-22,3.0888
2023-12-23,2.3166
2023-12-24,2.50965
2023-12-25,3.66795
2023-12-26,4.44015
2023-12-27,4.44015
2023-12-28,3.66795
2023-12-29,2.12355
2023-12-30,1.5444
2023-12-31,1.35135
2024-01-01,3.861
2024-01-02,4.44015
2024-01-04,1.35135
2024-01-05,1.35135
2024-01-06,1.35135
2024-01-07,0.96525
2024-01-09,0.96525
2024-01-13,1.1583
2024-01-19,0.96525
2024-01-20,6.75675
2024-01-21,20.27027
2024-01-22,23.74517
2024-01-23,21.62162
2024-01-24,2.3166
2024-01-25,19.69111
2024-01-26,40.15444
2024-01-27,51.9305
2024-01-28,37.64478
2024-01-29,80.30888
2024-01-30,80.50193
2024-01-31,84.16988
2024-02-01,83.01158
2024-02-02,77.22007
2024-02-03,46.33204
2024-02-04,49.42084
2024-02-05,85.13513
2024-02-06,93.24324
2024-02-07,91.69884
2024-02-08,80.50193
2024-02-09,76.64092
2024-02-10,26.44787
2024-02-11,68.72586
2024-02-12,72.00772
2024-02-13,79.92277
2024-02-14,77.22007
2024-02-15,82.62548
2024-02-16,78.76447
2024-02-17,80.69498
2024-02-18,83.20463
2024-02-19,82.62548
2024-02-20,87.83783
2024-02-21,90.34749
2024-02-22,88.61003
2024-02-23,91.50579
2024-02-24,97.49034
2024-02-25,100.0
2024-02-26,94.20849
2024-02-27,98.64864
2024-02-28,94.20849
2024-02-29,98.06949
2024-03-01,83.39768
2024-03-02,67.37451
2024-03-03,62.54826
2024-03-04,67.18146
2024-03-05,66.40926
2024-03-06,69.11196
2024-03-07,63.89961
2024-03-08,84.55598
2024-03-09,82.43243
2024-03-10,92.66409
2024-03-11,81.66023
2024-03-12,89.76833
2024-03-13,94.59459
2024-03-14,93.05019
2024-03-15,65.63706
2024-03-16,50.19305
2024-03-17,49.22779
2024-03-18,49.42084
2024-03-19,51.73745
2024-03-20,47.10424
