date,돈벌기
2020-03-20,74.46043
2020-03-21,63.66906
2020-03-22,69.78417
2020-03-23,83.09352
2020-03-24,77.33812
2020-03-25,80.93525
2020-03-26,80.93525
2020-03-27,75.89928
2020-03-28,62.58992
2020-03-29,76.6187
2020-03-30,88.84892
2020-03-31,80.21582
2020-04-01,76.6187
2020-04-02,74.10071
2020-04-03,77.33812
2020-04-04,78.41726
2020-04-05,72.66187
2020-04-06,93.52517
2020-04-07,87.41007
2020-04-08,66.18705
2020-04-09,80.57553
2020-04-10,76.97841
2020-04-11,69.42446
2020-04-12,88.4892
2020-04-13,83.09352
2020-04-14,73.38129
2020-04-15,73.741
2020-04-16,70.50359
2020-04-17,86.33093
2020-04-18,61.51079
2020-04-19,79.4964
2020-04-20,88.4892
2020-04-21,74.82014
2020-04-22,62.94964
2020-04-23,65.10791
2020-04-24,70.50359
2020-04-25,68.34532
2020-04-26,88.12949
2020-04-27,100.0
2020-04-28,75.17985
2020-04-29,70.14388
2020-04-30,83.09352
2020-05-01,73.02158
2020-05-02,66.90647
2020-05-03,74.46043
2020-05-04,65.10791
2020-05-05,72.66187
2020-05-06,73.02158
2020-05-07,67.98561
2020-05-08,58.63309
2020-05-09,68.70503
2020-05-10,70.14388
2020-05-11,66.18705
2020-05-12,69.42446
2020-05-13,74.82014
2020-05-14,61.51079
2020-05-15,65.46762
2020-05-16,63.66906
2020-05-17,61.8705
2020-05-18,80.57553
2020-05-19,67.62589
2020-05-20,69.06474
2020-05-21,61.51079
2020-05-22,53.95683
2020-05-23,57.19424
2020-05-24,70.50359
2020-05-25,77.69784
2020-05-26,65.10791
2020-05-27,64.02877
2020-05-28,52.15827
2020-05-29,50.71942
2020-05-30,50.0
2020-05-31,66.90647
2020-06-01,62.23021
2020-06-02,61.51079
2020-06-03,60.07194
2020-06-04,58.63309
2020-06-05,57.91366
2020-06-06,48.56115
2020-06-07,60.07194
2020-06-08,69.42446
2020-06-09,72.30215
2020-06-10,60.07194
2020-06-11,54.31654
2020-06-12,51.79856
2020-06-13,48.92086
2020-06-14,61.51079
2020-06-15,73.02158
2020-06-16,60.07194
2020-06-17,53.95683
2020-06-18,56.47482
2020-06-19,51.79856
2020-06-20,45.68345
2020-06-21,51.43884
2020-06-22,70.50359
2020-06-23,52.87769
2020-06-24,56.47482
2020-06-25,60.07194
2020-06-26,57.19424
2020-06-27,54.31654
2020-06-28,65.82733
2020-06-29,63.30935
2020-06-30,56.1151
2020-07-01,56.47482
2020-07-02,58.9928
2020-07-03,58.9928
2020-07-04,55.39568
2020-07-05,56.47482
2020-07-06,72.66187
2020-07-07,59.71223
2020-07-08,63.66906
2020-07-09,56.47482
2020-07-10,52.87769
2020-07-11,47.1223
2020-07-12,73.38129
2020-07-13,76.25899
2020-07-14,69.06474
2020-07-15,69.06474
2020-07-16,63.30935
2020-07-17,43.16546
2020-07-18,46.40287
2020-07-19,55.39568
2020-07-20,68.34532
2020-07-21,59.71223
2020-07-22,75.17985
2020-07-23,66.90647
2020-07-24,52.51798
2020-07-25,48.56115
2020-07-26,71.58273
2020-07-27,80.57553
2020-07-28,72.66187
2020-07-29,64.02877
2020-07-30,62.58992
2020-07-31,54.31654
2020-08-01,53.59712
2020-08-02,63.66906
2020-08-03,65.46762
2020-08-04,69.06474
2020-08-05,64.38848
2020-08-06,58.63309
2020-08-07,55.75539
2020-08-08,51.43884
2020-08-09,63.30935
2020-08-10,69.42446
2020-08-11,71.94244
2020-08-12,58.63309
2020-08-13,55.39568
2020-08-14,48.92086
2020-08-15,52.51798
2020-08-16,57.19424
2020-08-17,64.7482
2020-08-18,70.8633
2020-08-19,72.66187
2020-08-20,60.07194
2020-08-21,57.19424
2020-08-22,54.67625
2020-08-23,73.02158
2020-08-24,75.89928
2020-08-25,70.50359
2020-08-26,71.94244
2020-08-27,76.6187
2020-08-28,47.84172
2020-08-29,55.75539
2020-08-30,61.15107
2020-08-31,70.50359
2020-09-01,74.46043
2020-09-02,67.26618
2020-09-03,53.95683
2020-09-04,49.28057
2020-09-05,60.43165
2020-09-06,86.69064
2020-09-07,74.82014
2020-09-08,71.94244
2020-09-09,60.79136
2020-09-10,58.9928
2020-09-11,62.58992
2020-09-12,47.48201
2020-09-13,56.1151
2020-09-14,77.69784
2020-09-15,56.83453
2020-09-16,58.9928
2020-09-17,47.84172
2020-09-18,47.1223
2020-09-19,34.89208
2020-09-20,57.19424
2020-09-21,52.15827
2020-09-22,56.83453
2020-09-23,52.87769
2020-09-24,40.64748
2020-09-25,42.80575
2020-09-26,46.04316
2020-09-27,46.04316
2020-09-28,47.48201
2020-09-29,36.69064
2020-09-30,43.16546
2020-10-01,42.80575
2020-10-02,50.0
2020-10-03,46.40287
2020-10-04,68.34532
2020-10-05,64.7482
2020-10-06,51.07913
2020-10-07,52.87769
2020-10-08,53.59712
2020-10-09,54.31654
2020-10-10,57.19424
2020-10-11,62.23021
2020-10-12,71.22302
2020-10-13,62.58992
2020-10-14,51.43884
2020-10-15,55.39568
2020-10-16,43.88489
2020-10-17,44.60431
2020-10-18,61.15107
2020-10-19,61.8705
2020-10-20,49.28057
2020-10-21,58.27338
2020-10-22,57.55395
2020-10-23,45.68345
2020-10-24,52.15827
2020-10-25,64.02877
2020-10-26,58.27338
2020-10-27,62.58992
2020-10-28,60.07194
2020-10-29,53.95683
2020-10-30,50.71942
2020-10-31,42.44604
2020-11-01,53.95683
2020-11-02,64.38848
2020-11-03,44.96402
2020-11-04,46.40287
2020-11-05,43.16546
2020-11-06,44.96402
2020-11-07,44.96402
2020-11-08,61.15107
2020-11-09,55.75539
2020-11-10,50.0
2020-11-11,56.1151
2020-11-12,58.63309
2020-11-13,56.1151
2020-11-14,48.92086
2020-11-15,52.15827
2020-11-16,59.71223
2020-11-17,60.79136
2020-11-18,49.64028
2020-11-19,51.79856
2020-11-20,44.2446
2020-11-21,50.71942
2020-11-22,49.64028
2020-11-23,58.27338
2020-11-24,58.27338
2020-11-25,48.92086
2020-11-26,44.60431
2020-11-27,53.59712
2020-11-28,52.51798
2020-11-29,55.39568
2020-11-30,60.07194
2020-12-01,61.51079
2020-12-02,59.71223
2020-12-03,53.23741
2020-12-04,61.8705
2020-12-05,52.87769
2020-12-06,63.66906
2020-12-07,68.34532
2020-12-08,69.78417
2020-12-09,58.63309
2020-12-10,65.82733
2020-12-11,55.03597
2020-12-12,45.32374
2020-12-13,61.15107
2020-12-14,66.54676
2020-12-15,66.18705
2020-12-16,67.98561
2020-12-17,55.39568
2020-12-18,60.43165
2020-12-19,58.63309
2020-12-20,66.18705
2020-12-21,71.94244
2020-12-22,60.43165
2020-12-23,60.43165
2020-12-24,55.75539
2020-12-25,52.87769
2020-12-26,57.55395
2020-12-27,71.22302
2020-12-28,65.46762
2020-12-29,68.34532
2020-12-30,62.94964
2020-12-31,51.79856
2021-01-01,43.16546
2021-01-02,54.67625
2021-01-03,66.54676
