date,SK바이오사이언스주가
2020-03-20,0.09576
2020-03-21,0.06976
2020-03-22,0.21168
2020-03-23,0.66475
2020-03-24,0.38914
2020-03-25,0.26579
2020-03-26,0.62788
2020-03-27,0.88837
2020-03-28,0.35439
2020-03-29,0.37455
2020-03-30,0.46368
2020-03-31,0.36818
2020-04-01,0.44564
2020-04-02,0.19868
2020-04-03,0.14907
2020-04-04,0.10106
2020-04-05,0.08753
2020-04-06,0.12547
2020-04-07,0.14403
2020-04-08,0.11883
2020-04-09,0.47137
2020-04-10,0.31593
2020-04-11,0.32388
2020-04-12,0.30346
2020-04-13,0.27508
2020-04-14,0.26924
2020-04-15,0.20982
2020-04-16,0.09363
2020-04-17,0.09814
2020-04-18,0.05623
2020-04-19,0.04748
2020-04-20,0.06021
2020-04-21,0.07984
2020-04-22,0.09416
2020-04-23,0.06764
2020-04-24,0.05225
2020-04-25,0.02997
2020-04-26,0.02626
2020-04-27,0.0435
2020-04-28,0.27216
2020-04-29,0.27508
2020-04-30,0.07825
2020-05-01,0.04562
2020-05-02,0.04801
2020-05-03,0.05437
2020-05-04,0.0809
2020-05-05,0.03554
2020-05-06,0.08382
2020-05-07,0.06949
2020-05-08,0.08408
2020-05-09,0.04933
2020-05-10,0.0297
2020-05-11,0.04933
2020-05-12,0.02732
2020-05-13,0.03925
2020-05-14,0.0687
2020-05-15,0.06048
2020-05-16,0.02466
2020-05-17,0.02864
2020-05-18,0.69871
2020-05-19,0.96954
2020-05-20,0.61886
2020-05-21,0.2902
2020-05-22,0.09151
2020-05-23,0.0435
2020-05-24,0.04509
2020-05-25,0.07268
2020-05-26,0.05119
2020-05-27,0.06578
2020-05-28,0.05835
2020-05-29,0.10053
2020-05-30,0.08568
2020-05-31,0.03342
2020-06-01,0.04429
2020-06-02,0.04429
2020-06-03,0.14006
2020-06-04,0.22123
2020-06-05,0.12016
2020-06-06,0.0565
2020-06-07,0.06154
2020-06-08,0.05968
2020-06-09,0.07294
2020-06-10,0.07453
2020-06-11,0.06525
2020-06-12,0.04933
2020-06-13,0.05862
2020-06-14,0.07613
2020-06-15,0.10822
2020-06-16,0.05809
2020-06-17,0.04244
2020-06-18,0.03554
2020-06-19,0.05225
2020-06-20,0.02944
2020-06-21,0.03209
2020-06-22,0.04801
2020-06-23,0.0679
2020-06-24,0.06233
2020-06-25,0.08276
2020-06-26,0.05597
2020-06-27,0.03183
2020-06-28,0.02705
2020-06-29,0.07507
2020-06-30,0.04297
2020-07-01,0.03554
2020-07-02,0.04217
2020-07-03,0.05278
2020-07-04,0.02307
2020-07-05,0.07241
2020-07-06,0.04668
2020-07-07,0.02599
2020-07-08,0.01644
2020-07-09,0.01405
2020-07-10,0.01114
2020-07-11,0.01008
2020-07-12,0.00928
2020-07-13,0.02281
2020-07-14,0.02785
2020-07-15,0.0244
2020-07-16,0.03024
2020-07-17,0.03103
2020-07-18,0.01909
2020-07-19,0.01034
2020-07-20,0.07215
2020-07-21,8.82327
2020-07-22,5.12255
2020-07-23,1.49557
2020-07-24,1.00933
2020-07-25,0.40718
2020-07-26,100.0
2020-07-27,38.2686
2020-07-28,3.90922
2020-07-29,2.45079
2020-07-30,1.07644
2020-07-31,0.71011
2020-08-01,0.40506
2020-08-02,0.57191
2020-08-03,0.79845
2020-08-04,0.60958
2020-08-05,0.5674
2020-08-06,0.4467
2020-08-07,0.36474
2020-08-08,0.18886
2020-08-09,0.19576
2020-08-10,0.53159
2020-08-11,0.6499
2020-08-12,0.57085
2020-08-13,1.22208
2020-08-14,13.28213
2020-08-15,0.55254
2020-08-16,0.37906
2020-08-17,0.59844
2020-08-18,0.6178
2020-08-19,0.42416
2020-08-20,0.57297
2020-08-21,0.70348
2020-08-22,0.44405
2020-08-23,0.50586
2020-08-24,1.08971
2020-08-25,1.07857
2020-08-26,0.82763
2020-08-27,0.67934
2020-08-28,0.54644
2020-08-29,0.37561
2020-08-30,0.27826
2020-08-31,0.39524
2020-09-01,0.30744
2020-09-02,0.26659
2020-09-03,0.27057
2020-09-04,0.18833
2020-09-05,0.12202
2020-09-06,0.15332
2020-09-07,0.14961
2020-09-08,0.17746
2020-09-09,0.28224
2020-09-10,0.28356
2020-09-11,0.26102
2020-09-12,0.12228
2020-09-13,0.15862
2020-09-14,0.17772
2020-09-15,0.57562
2020-09-16,1.20881
2020-09-17,0.74035
2020-09-18,1.30378
2020-09-19,0.17958
2020-09-20,0.13236
2020-09-21,0.35386
2020-09-22,0.23608
2020-09-23,0.14589
2020-09-24,0.1443
2020-09-25,0.3406
2020-09-26,0.12944
2020-09-27,0.12838
2020-09-28,0.16738
2020-09-29,0.08965
2020-09-30,0.0679
2020-10-01,0.04774
2020-10-02,0.05517
2020-10-03,0.04774
2020-10-04,0.05013
2020-10-05,0.09655
2020-10-06,0.19523
2020-10-07,0.20796
2020-10-08,0.21645
2020-10-09,0.08594
2020-10-10,0.06392
2020-10-11,0.06339
2020-10-12,0.0992
2020-10-13,0.12865
2020-10-14,0.0878
2020-10-15,2.57785
2020-10-16,1.86243
2020-10-17,0.17852
2020-10-18,0.10345
2020-10-19,0.10584
2020-10-20,0.09178
2020-10-21,0.07798
2020-10-22,0.09337
2020-10-23,0.09125
2020-10-24,0.04111
2020-10-25,0.03262
2020-10-26,0.06101
2020-10-27,0.08037
2020-10-28,0.087
2020-10-29,0.10451
2020-10-30,0.08727
2020-10-31,0.05093
2020-11-01,0.05437
2020-11-02,0.10982
2020-11-03,1.90938
2020-11-04,0.39657
2020-11-05,0.21035
2020-11-06,0.17825
2020-11-07,0.09894
2020-11-08,0.08541
2020-11-09,0.21274
2020-11-10,0.65175
2020-11-11,0.36155
2020-11-12,0.23555
2020-11-13,0.10743
2020-11-14,0.07851
2020-11-15,0.05968
2020-11-16,0.0878
2020-11-17,0.31301
2020-11-18,1.38017
2020-11-19,0.64433
2020-11-20,0.74619
2020-11-21,0.24563
2020-11-22,0.2581
2020-11-23,2.47493
2020-11-24,11.57329
2020-11-25,3.98217
2020-11-26,1.39317
2020-11-27,1.28786
2020-11-28,0.62151
2020-11-29,0.44697
2020-11-30,0.5796
2020-12-01,0.44644
2020-12-02,0.56554
2020-12-03,1.06955
2020-12-04,0.50533
2020-12-05,1.44065
2020-12-06,0.77086
2020-12-07,0.57085
2020-12-08,0.56422
2020-12-09,2.00992
2020-12-10,1.76799
2020-12-11,0.43636
2020-12-12,0.34537
2020-12-13,0.57111
2020-12-14,0.40161
2020-12-15,0.31354
2020-12-16,0.31566
2020-12-17,0.36659
2020-12-18,1.96164
2020-12-19,0.85283
2020-12-20,0.92339
2020-12-21,0.57244
2020-12-22,0.47429
2020-12-23,0.55626
2020-12-24,0.29444
2020-12-25,0.18568
2020-12-26,0.13926
2020-12-27,0.23635
2020-12-28,0.74725
2020-12-29,0.67563
2020-12-30,0.66369
2020-12-31,1.25232
2021-01-01,1.29874
2021-01-02,0.34723
2021-01-03,0.47535
2021-01-04,1.7221
2021-01-05,0.95442
2021-01-06,0.68677
2021-01-07,0.56342
2021-01-08,0.53159
2021-01-09,0.53026
2021-01-10,0.29364
2021-01-11,0.5032
2021-01-12,0.94646
2021-01-13,0.8515
2021-01-14,0.37429
2021-01-15,0.2138
2021-01-16,0.12812
2021-01-17,0.10796
2021-01-18,0.33078
2021-01-19,0.29391
2021-01-20,32.12186
2021-01-21,34.50527
2021-01-22,5.69075
2021-01-23,2.21231
2021-01-24,1.49769
2021-01-25,1.59637
2021-01-26,1.31625
2021-01-27,0.89129
2021-01-28,0.73186
2021-01-29,0.85919
2021-01-30,0.36633
2021-01-31,0.35147
2021-02-01,0.63186
2021-02-02,0.53132
2021-02-03,0.42575
2021-02-04,0.76237
2021-02-05,0.73001
2021-02-06,0.32415
2021-02-07,0.29656
2021-02-08,0.50427
2021-02-09,0.60082
2021-02-10,0.64804
2021-02-11,0.25624
2021-02-12,0.24881
2021-02-13,0.19099
2021-02-14,0.28648
2021-02-15,0.44087
2021-02-16,3.17762
2021-02-17,1.49875
2021-02-18,0.58093
2021-02-19,0.58066
2021-02-20,0.28012
2021-02-21,0.27189
2021-02-22,0.41116
2021-02-23,0.67483
2021-02-24,2.34097
2021-02-25,0.72656
2021-02-26,0.5552
2021-02-27,0.2825
2021-02-28,0.21566
2021-03-01,0.35863
2021-03-02,0.40028
2021-03-03,0.38569
2021-03-04,0.43821
2021-03-05,0.60082
2021-03-06,0.27083
2021-03-07,0.26579
2021-03-08,0.75786
2021-03-09,1.38362
2021-03-10,1.46824
2021-03-11,1.44729
2021-03-12,1.56692
2021-03-13,0.64194
2021-03-14,0.56103
2021-03-15,1.09634
2021-03-16,0.80057
2021-03-17,1.09687
2021-03-18,16.06026
2021-03-19,34.21083
2021-03-20,1.91309
2021-03-21,1.08414
2021-03-22,16.27646
2021-03-23,12.02053
2021-03-24,9.21534
2021-03-25,8.52777
2021-03-26,7.23911
2021-03-27,0.85468
2021-03-28,0.56501
2021-03-29,6.96747
2021-03-30,7.12318
2021-03-31,6.3433
2021-04-01,6.50724
2021-04-02,5.85309
2021-04-03,0.68093
2021-04-04,0.48411
2021-04-05,5.11857
2021-04-06,4.72969
2021-04-07,4.49944
2021-04-08,5.85999
2021-04-09,6.47249
2021-04-10,0.58438
2021-04-11,0.4796
2021-04-12,5.88307
2021-04-13,6.94625
2021-04-14,5.70215
2021-04-15,5.30876
2021-04-16,5.31646
2021-04-17,0.54591
2021-04-18,0.47031
2021-04-19,6.53933
2021-04-20,5.62072
2021-04-21,6.26425
2021-04-22,5.38039
2021-04-23,5.56873
2021-04-24,0.63319
2021-04-25,0.53902
2021-04-26,6.56772
2021-04-27,6.31571
2021-04-28,7.41312
2021-04-29,6.87463
2021-04-30,5.75123
2021-05-01,0.62947
2021-05-02,0.47562
2021-05-03,5.17056
2021-05-04,5.29046
2021-05-05,0.71462
2021-05-06,5.06949
2021-05-07,4.54108
2021-05-08,0.47137
2021-05-09,0.48888
2021-05-10,4.87081
2021-05-11,4.7846
2021-05-12,4.59175
2021-05-13,4.50023
2021-05-14,4.2095
2021-05-15,0.49737
2021-05-16,0.46474
2021-05-17,5.77829
2021-05-18,5.32919
2021-05-19,0.63186
2021-05-20,4.63923
2021-05-21,3.98721
2021-05-22,0.87696
2021-05-23,1.41227
2021-05-24,6.53535
2021-05-25,4.78327
2021-05-26,3.9262
2021-05-27,3.78189
2021-05-28,3.56597
2021-05-29,0.352
2021-05-30,0.25094
2021-05-31,3.24553
2021-06-01,3.08398
2021-06-02,2.95824
2021-06-03,3.67154
2021-06-04,3.05347
2021-06-05,0.34511
2021-06-06,0.30505
2021-06-07,2.98238
2021-06-08,3.02058
2021-06-09,2.61446
2021-06-10,3.00122
2021-06-11,2.77998
2021-06-12,0.32999
2021-06-13,0.26765
2021-06-14,3.16515
2021-06-15,3.41874
2021-06-16,3.03782
2021-06-17,2.66831
2021-06-18,3.20229
2021-06-19,0.28091
2021-06-20,0.23422
2021-06-21,2.96859
2021-06-22,2.71658
2021-06-23,2.92323
2021-06-24,2.92164
2021-06-25,2.78051
2021-06-26,0.32229
2021-06-27,0.21751
2021-06-28,3.2877
2021-06-29,3.16939
2021-06-30,2.8081
2021-07-01,2.50331
2021-07-02,3.23094
2021-07-03,0.37269
2021-07-04,0.31911
2021-07-05,3.53122
2021-07-06,3.15613
2021-07-07,2.84285
2021-07-08,2.97999
2021-07-09,2.98079
2021-07-10,0.28622
2021-07-11,0.22096
2021-07-12,2.69802
2021-07-13,2.53594
2021-07-14,2.44495
2021-07-15,2.31842
2021-07-16,2.39455
2021-07-17,0.27481
2021-07-18,0.23104
2021-07-19,2.38527
2021-07-20,2.50119
2021-07-21,2.28951
2021-07-22,2.28924
2021-07-23,2.16881
2021-07-24,0.252
2021-07-25,0.19258
2021-07-26,2.1712
2021-07-27,2.62719
2021-07-28,2.54071
2021-07-29,2.86699
2021-07-30,2.941
2021-07-31,0.28409
2021-08-01,0.23131
2021-08-02,5.06976
2021-08-03,4.99575
2021-08-04,4.54825
2021-08-05,6.99506
2021-08-06,8.10467
2021-08-07,1.05681
2021-08-08,0.74751
2021-08-09,6.2876
2021-08-10,24.14292
2021-08-11,24.14584
2021-08-12,15.8194
2021-08-13,12.74497
2021-08-14,1.4258
2021-08-15,1.14382
2021-08-16,1.7542
2021-08-17,18.53971
2021-08-18,14.10074
2021-08-19,13.62326
2021-08-20,12.5118
2021-08-21,1.35789
2021-08-22,1.08095
2021-08-23,10.90004
2021-08-24,10.74247
2021-08-25,11.18494
