date,종합보험
2020-03-20,37.27544
2020-03-21,22.45508
2020-03-22,23.65269
2020-03-23,39.52095
2020-03-24,51.9461
2020-03-25,45.20958
2020-03-26,47.15568
2020-03-27,43.56287
2020-03-28,29.49101
2020-03-29,26.3473
2020-03-30,54.19161
2020-03-31,48.20359
2020-04-01,32.78443
2020-04-02,34.58083
2020-04-03,32.18562
2020-04-04,19.46107
2020-04-05,14.22155
2020-04-06,35.62874
2020-04-07,31.13772
2020-04-08,32.48502
2020-04-09,33.68263
2020-04-10,33.38323
2020-04-11,16.61676
2020-04-12,19.61077
2020-04-13,36.22754
2020-04-14,34.13173
2020-04-15,21.70658
2020-04-16,36.37724
2020-04-17,27.0958
2020-04-18,20.80838
2020-04-19,21.55688
2020-04-20,37.42514
2020-04-21,41.61676
2020-04-22,34.73053
2020-04-23,41.76646
2020-04-24,31.88622
2020-04-25,19.46107
2020-04-26,20.80838
2020-04-27,79.34131
2020-04-28,39.37125
2020-04-29,36.07784
2020-04-30,18.11377
2020-05-01,48.35329
2020-05-02,54.94011
2020-05-03,29.49101
2020-05-04,35.92814
2020-05-05,28.74251
2020-05-06,35.17964
2020-05-07,33.23353
2020-05-08,32.03592
2020-05-09,29.04191
2020-05-10,15.41916
2020-05-11,46.55688
2020-05-12,39.67065
2020-05-13,36.67664
2020-05-14,35.62874
2020-05-15,40.26946
2020-05-16,21.10778
2020-05-17,21.55688
2020-05-18,47.75449
2020-05-19,43.86227
2020-05-20,36.97604
2020-05-21,33.38323
2020-05-22,34.73053
2020-05-23,20.95808
2020-05-24,15.56886
2020-05-25,41.01796
2020-05-26,35.92814
2020-05-27,37.42514
2020-05-28,30.23952
2020-05-29,29.79041
2020-05-30,17.66467
2020-05-31,14.97005
2020-06-01,26.6467
2020-06-02,35.47904
2020-06-03,29.34131
2020-06-04,31.13772
2020-06-05,28.14371
2020-06-06,19.16167
2020-06-07,17.21556
2020-06-08,33.53293
2020-06-09,33.53293
2020-06-10,29.94011
2020-06-11,35.17964
2020-06-12,36.97604
2020-06-13,26.1976
2020-06-14,18.11377
2020-06-15,35.77844
2020-06-16,36.37724
2020-06-17,39.97005
2020-06-18,33.68263
2020-06-19,36.37724
2020-06-20,17.81437
2020-06-21,17.96407
2020-06-22,30.08982
2020-06-23,32.63473
2020-06-24,30.98802
2020-06-25,31.88622
2020-06-26,28.14371
2020-06-27,19.61077
2020-06-28,20.05988
