date,용산푸르지오써밋
2020-03-20,10.85043
2020-03-21,13.29423
2020-03-22,14.02737
2020-03-23,15.9824
2020-03-24,14.32062
2020-03-25,13.68523
2020-03-26,12.60997
2020-03-27,13.63636
2020-03-28,14.02737
2020-03-29,13.97849
2020-03-30,15.68914
2020-03-31,14.565
2020-04-01,14.32062
2020-04-02,11.82795
2020-04-03,14.32062
2020-04-04,13.63636
2020-04-05,15.00488
2020-04-06,17.25317
2020-04-07,16.32453
2020-04-08,16.47116
2020-04-09,13.04985
2020-04-10,14.46725
2020-04-11,12.90322
2020-04-12,13.39198
2020-04-13,13.78299
2020-04-14,14.565
2020-04-15,12.65884
2020-04-16,14.90713
2020-04-17,15.00488
2020-04-18,11.77908
2020-04-19,15.15151
2020-04-20,13.92961
2020-04-21,13.97849
2020-04-22,13.53861
2020-04-23,14.61388
2020-04-24,13.88074
2020-04-25,12.31671
2020-04-26,13.44086
2020-04-27,15.44477
2020-04-28,16.22678
2020-04-29,12.80547
2020-04-30,13.09872
2020-05-01,10.60606
2020-05-02,12.41446
2020-05-03,10.75268
2020-05-04,12.60997
2020-05-05,15.64027
2020-05-06,17.35092
2020-05-07,13.97849
2020-05-08,12.41446
2020-05-09,13.1476
2020-05-10,13.19648
2020-05-11,15.05376
2020-05-12,13.00097
2020-05-13,16.27565
2020-05-14,13.29423
2020-05-15,14.71163
2020-05-16,10.85043
2020-05-17,10.21505
2020-05-18,14.22287
2020-05-19,14.80938
2020-05-20,13.83186
2020-05-21,11.14369
2020-05-22,11.77908
2020-05-23,13.09872
2020-05-24,12.36559
2020-05-25,15.73802
2020-05-26,12.31671
2020-05-27,13.04985
2020-05-28,12.60997
2020-05-29,11.24144
2020-05-30,11.19257
2020-05-31,11.33919
2020-06-01,15.05376
2020-06-02,14.85826
2020-06-03,11.58357
2020-06-04,11.68132
2020-06-05,11.48582
2020-06-06,12.70772
2020-06-07,12.75659
2020-06-08,15.05376
2020-06-09,12.75659
2020-06-10,15.05376
2020-06-11,11.87683
2020-06-12,11.5347
2020-06-13,10.41055
2020-06-14,10.94819
2020-06-15,12.75659
2020-06-16,12.02346
2020-06-17,11.97458
2020-06-18,13.44086
2020-06-19,13.19648
2020-06-20,12.85434
2020-06-21,11.77908
2020-06-22,14.32062
2020-06-23,14.17399
2020-06-24,10.70381
2020-06-25,11.77908
2020-06-26,12.17008
2020-06-27,12.07233
2020-06-28,11.87683
2020-06-29,13.63636
2020-06-30,12.60997
2020-07-01,13.48973
2020-07-02,14.46725
2020-07-03,12.41446
2020-07-04,12.75659
2020-07-05,12.46334
2020-07-06,14.66275
2020-07-07,12.90322
2020-07-08,15.15151
2020-07-09,13.44086
2020-07-10,12.9521
2020-07-11,13.97849
2020-07-12,12.07233
2020-07-13,13.78299
2020-07-14,15.29814
2020-07-15,14.32062
2020-07-16,13.04985
2020-07-17,14.32062
2020-07-18,14.3695
2020-07-19,13.78299
2020-07-20,13.88074
2020-07-21,14.7605
2020-07-22,16.71554
