date,금1돈
2020-03-20,14.4583
2020-03-21,9.52755
2020-03-22,9.00697
2020-03-23,10.79461
2020-03-24,11.55092
2020-03-25,11.59021
2020-03-26,11.11875
2020-03-27,9.87132
2020-03-28,8.25066
2020-03-29,7.70061
2020-03-30,9.55701
2020-03-31,10.41155
2020-04-01,9.93026
2020-04-02,9.40968
2020-04-03,7.90688
2020-04-04,7.59257
2020-04-05,6.91484
2020-04-06,9.34092
2020-04-07,9.22306
2020-04-08,9.84186
2020-04-09,8.64355
2020-04-10,11.47235
2020-04-11,8.38817
2020-04-12,16.61919
2020-04-13,18.05323
2020-04-14,15.27354
2020-04-15,9.35075
2020-04-16,11.66879
2020-04-17,12.35635
2020-04-18,10.45083
2020-04-19,10.49012
2020-04-20,10.85355
2020-04-21,11.12857
2020-04-22,11.72772
2020-04-23,11.66879
2020-04-24,12.92603
2020-04-25,9.81239
2020-04-26,10.06777
2020-04-27,17.24781
2020-04-28,10.93212
2020-04-29,10.70621
2020-04-30,9.55701
2020-05-01,8.39799
2020-05-02,7.61221
2020-05-03,8.55515
2020-05-04,9.92044
2020-05-05,9.32128
2020-05-06,11.11875
2020-05-07,9.98919
2020-05-08,10.53923
2020-05-09,8.68284
2020-05-10,7.57292
2020-05-11,9.23288
2020-05-12,8.72212
2020-05-13,8.36852
2020-05-14,8.7123
2020-05-15,9.31146
2020-05-16,7.36666
2020-05-17,7.02288
2020-05-18,11.85541
2020-05-19,12.53314
2020-05-20,10.23475
2020-05-21,9.30164
2020-05-22,9.55701
2020-05-23,7.76937
2020-05-24,8.03457
2020-05-25,9.62577
2020-05-26,11.10892
2020-05-27,10.93212
2020-05-28,9.48826
2020-05-29,9.71417
2020-05-30,8.05421
2020-05-31,8.69266
2020-06-01,9.8615
2020-06-02,9.43915
2020-06-03,8.43728
2020-06-04,8.08368
2020-06-05,8.99715
2020-06-06,8.11315
2020-06-07,6.80679
2020-06-08,8.60426
2020-06-09,9.74364
2020-06-10,8.5355
2020-06-11,8.65337
2020-06-12,8.56497
2020-06-13,7.16039
2020-06-14,9.05608
2020-06-15,11.79648
2020-06-16,9.93026
2020-06-17,9.84186
2020-06-18,8.85964
2020-06-19,8.65337
2020-06-20,7.8283
2020-06-21,6.37461
2020-06-22,11.0107
2020-06-23,10.80443
2020-06-24,9.31146
2020-06-25,9.94008
2020-06-26,9.73381
2020-06-27,8.70248
2020-06-28,7.13093
2020-06-29,8.93821
2020-06-30,9.20341
2020-07-01,11.38395
2020-07-02,10.79461
2020-07-03,8.95786
2020-07-04,8.98732
2020-07-05,10.20528
2020-07-06,14.0163
2020-07-07,10.61781
2020-07-08,11.37412
2020-07-09,10.85355
2020-07-10,12.03221
2020-07-11,8.77124
2020-07-12,9.07572
2020-07-13,13.51537
2020-07-14,24.54572
2020-07-15,16.11825
2020-07-16,12.3367
2020-07-17,12.14026
2020-07-18,10.75532
2020-07-19,9.29181
2020-07-20,10.90266
2020-07-21,10.58835
2020-07-22,16.59954
2020-07-23,17.12994
2020-07-24,23.2099
2020-07-25,30.49798
2020-07-26,13.89843
2020-07-27,24.9779
2020-07-28,30.14438
2020-07-29,29.52558
2020-07-30,15.57803
2020-07-31,15.30301
2020-08-01,12.02239
2020-08-02,11.04999
