date,삼성중공업주가
2020-03-20,22.15137
2020-03-21,2.63939
2020-03-22,1.68291
2020-03-23,18.85438
2020-03-24,19.46396
2020-03-25,24.63135
2020-03-26,22.3769
2020-03-27,21.10702
2020-03-28,2.39121
2020-03-29,1.57512
2020-03-30,17.6778
2020-03-31,17.41784
2020-04-01,19.32629
2020-04-02,18.05641
2020-04-03,18.32089
2020-04-04,1.96913
2020-04-05,1.37585
2020-04-06,18.9975
2020-04-07,19.66867
2020-04-08,16.85355
2020-04-09,18.12796
2020-04-10,21.55084
2020-04-11,2.33053
2020-04-12,1.78344
2020-04-13,17.56458
2020-04-14,17.99391
2020-04-15,2.70642
2020-04-16,15.75939
2020-04-17,17.36803
2020-04-18,2.01079
2020-04-19,1.47458
2020-04-20,16.11173
2020-04-21,16.11535
2020-04-22,15.8092
2020-04-23,18.21763
2020-04-24,14.92065
2020-04-25,1.63762
2020-04-26,1.27893
2020-04-27,15.55469
2020-04-28,14.89801
2020-04-29,16.2956
2020-04-30,2.21097
2020-05-01,2.6403
2020-05-02,1.16481
2020-05-03,1.1159
2020-05-04,12.30209
2020-05-05,1.68925
2020-05-06,14.29748
2020-05-07,12.55661
2020-05-08,11.96876
2020-05-09,1.40484
2020-05-10,0.9284
2020-05-11,11.80482
2020-05-12,10.83112
2020-05-13,10.89181
2020-05-14,10.61646
2020-05-15,10.63276
2020-05-16,1.06336
2020-05-17,0.81971
2020-05-18,10.33929
2020-05-19,14.38625
2020-05-20,12.78576
2020-05-21,13.08285
2020-05-22,11.1889
2020-05-23,1.16662
2020-05-24,1.00358
2020-05-25,14.99402
2020-05-26,15.64888
2020-05-27,23.76272
2020-05-28,19.77464
2020-05-29,16.98398
2020-05-30,1.83507
2020-05-31,1.37132
2020-06-01,19.00565
2020-06-02,58.83482
2020-06-03,73.39045
2020-06-04,65.5728
2020-06-05,47.65859
2020-06-06,4.74892
2020-06-07,3.87214
2020-06-08,47.44302
2020-06-09,37.6191
2020-06-10,37.47237
2020-06-11,34.6808
2020-06-12,29.17738
2020-06-13,2.9075
2020-06-14,2.19466
2020-06-15,28.23267
2020-06-16,32.46983
2020-06-17,33.26419
2020-06-18,29.14206
2020-06-19,26.41027
2020-06-20,2.95098
2020-06-21,1.97275
2020-06-22,21.81623
2020-06-23,20.96663
2020-06-24,21.67131
2020-06-25,18.86344
2020-06-26,18.59805
2020-06-27,1.83688
2020-06-28,1.31335
2020-06-29,17.01659
2020-06-30,18.99931
2020-07-01,17.13796
2020-07-02,16.0755
2020-07-03,14.96956
2020-07-04,1.45465
2020-07-05,1.2264
2020-07-06,16.67059
2020-07-07,15.4623
2020-07-08,15.04383
2020-07-09,15.05199
2020-07-10,12.99409
2020-07-11,1.30158
2020-07-12,1.03075
2020-07-13,16.38889
2020-07-14,13.27669
2020-07-15,15.84725
2020-07-16,14.63805
2020-07-17,13.33737
2020-07-18,1.32603
2020-07-19,0.98547
2020-07-20,13.24408
2020-07-21,19.55363
2020-07-22,16.58001
2020-07-23,13.47143
2020-07-24,12.57925
2020-07-25,1.23274
2020-07-26,1.00539
2020-07-27,14.48769
2020-07-28,15.17789
2020-07-29,14.52211
2020-07-30,13.80203
2020-07-31,15.1009
2020-08-01,1.47911
2020-08-02,1.05702
2020-08-03,14.29748
2020-08-04,13.96507
2020-08-05,13.19336
2020-08-06,13.83102
2020-08-07,12.68613
2020-08-08,1.40574
2020-08-09,1.08238
2020-08-10,14.0647
2020-08-11,18.0718
2020-08-12,15.32643
2020-08-13,15.29926
2020-08-14,15.46954
2020-08-15,1.41208
2020-08-16,1.12495
2020-08-17,3.11764
2020-08-18,13.69334
2020-08-19,13.44697
2020-08-20,13.55385
2020-08-21,13.44788
2020-08-22,1.19289
2020-08-23,0.92931
2020-08-24,13.32379
2020-08-25,17.6633
2020-08-26,16.05376
2020-08-27,13.07017
2020-08-28,15.60541
2020-08-29,1.46733
2020-08-30,1.2889
2020-08-31,15.86083
2020-09-01,15.71682
2020-09-02,14.48588
2020-09-03,15.04021
2020-09-04,13.09825
2020-09-05,1.36136
2020-09-06,1.03528
2020-09-07,18.84533
2020-09-08,17.65968
2020-09-09,14.51396
2020-09-10,16.14162
2020-09-11,15.35723
2020-09-12,1.7771
2020-09-13,1.37585
2020-09-14,16.50211
2020-09-15,15.03478
2020-09-16,15.43422
2020-09-17,13.69515
2020-09-18,12.75678
2020-09-19,1.36679
2020-09-20,0.97913
2020-09-21,12.73414
2020-09-22,11.6753
2020-09-23,11.71153
2020-09-24,11.5974
2020-09-25,12.66167
2020-09-26,1.2735
2020-09-27,0.90848
2020-09-28,11.7387
2020-09-29,10.97514
2020-09-30,1.27893
2020-10-01,0.90485
2020-10-02,0.89398
2020-10-03,0.76989
2020-10-04,0.80975
2020-10-05,11.97692
2020-10-06,11.49596
2020-10-07,11.59468
2020-10-08,11.6282
2020-10-09,1.61407
2020-10-10,0.85051
2020-10-11,0.97822
2020-10-12,11.56208
2020-10-13,10.36103
2020-10-14,9.80399
2020-10-15,9.24423
2020-10-16,9.39639
2020-10-17,1.0072
2020-10-18,0.74725
2020-10-19,10.71428
2020-10-20,9.6174
2020-10-21,9.79674
2020-10-22,8.93717
2020-10-23,8.97974
2020-10-24,1.00902
2020-10-25,0.8804
2020-10-26,9.86196
2020-10-27,9.10564
2020-10-28,9.17901
2020-10-29,9.02775
2020-10-30,10.08568
2020-10-31,1.01989
2020-11-01,0.8496
2020-11-02,9.92627
2020-11-03,9.89638
2020-11-04,10.67896
2020-11-05,11.46244
2020-11-06,10.51139
2020-11-07,1.15213
2020-11-08,0.85051
2020-11-09,19.68135
