date,2월상장주식
2024-03-01,2.72479
2024-03-02,2.04359
2024-03-03,1.63487
2024-03-04,5.17711
2024-03-05,4.49591
2024-03-06,3.40599
2024-03-07,3.95095
2024-03-08,1.90735
2024-03-09,1.22615
2024-03-11,2.86103
2024-03-12,1.77111
2024-03-13,2.04359
2024-03-14,20.5722
2024-03-15,3.40599
2024-03-16,9.12806
2024-03-17,1.36239
2024-03-18,8.85558
2024-03-19,10.21798
2024-03-20,1.22615
