date,AMD주가
2020-03-20,6.78451
2020-03-21,4.2881
2020-03-22,2.10224
2020-03-23,4.20449
2020-03-24,7.1548
2020-03-25,7.91925
2020-03-26,6.91591
2020-03-27,6.76063
2020-03-28,4.56282
2020-03-29,2.77114
2020-03-30,3.59531
2020-03-31,5.30339
2020-04-01,5.10033
2020-04-02,4.38365
2020-04-03,4.45532
2020-04-04,2.90253
2020-04-05,2.07835
2020-04-06,3.85809
2020-04-07,5.53033
2020-04-08,4.95699
2020-04-09,4.98088
2020-04-10,4.34782
2020-04-11,2.31724
2020-04-12,1.93502
2020-04-13,2.56808
2020-04-14,5.68561
2020-04-15,5.88867
2020-04-16,7.01146
2020-04-17,8.94648
2020-04-18,5.4945
2020-04-19,1.97085
2020-04-20,4.16865
2020-04-21,6.23506
2020-04-22,6.39034
2020-04-23,5.80506
2020-04-24,4.92116
2020-04-25,3.22503
2020-04-26,1.79168
2020-04-27,4.20449
2020-04-28,4.95699
2020-04-29,6.46201
2020-04-30,6.92785
2020-05-01,5.07644
2020-05-02,4.21643
2020-05-03,1.7439
2020-05-04,3.36837
2020-05-05,5.33922
2020-05-06,4.70616
2020-05-07,4.19254
2020-05-08,4.57477
2020-05-09,3.48781
2020-05-10,1.70807
2020-05-11,3.22503
2020-05-12,6.10367
2020-05-13,5.33922
2020-05-14,4.87338
2020-05-15,5.23172
2020-05-16,2.7353
2020-05-17,1.75585
2020-05-18,3.65504
2020-05-19,5.88867
2020-05-20,4.78977
2020-05-21,5.24366
2020-05-22,4.68227
2020-05-23,3.01003
2020-05-24,1.72001
2020-05-25,2.50836
2020-05-26,3.7267
2020-05-27,6.03201
2020-05-28,6.82035
2020-05-29,5.02866
2020-05-30,3.05781
2020-05-31,2.28141
2020-06-01,3.52365
2020-06-02,4.81366
2020-06-03,5.387
2020-06-04,5.63784
2020-06-05,5.16005
2020-06-06,5.36311
2020-06-07,3.15336
2020-06-08,4.34782
2020-06-09,6.60535
2020-06-10,9.11371
2020-06-11,6.3784
2020-06-12,6.34257
2020-06-13,3.48781
2020-06-14,1.87529
2020-06-15,3.8342
2020-06-16,5.45867
2020-06-17,5.11227
2020-06-18,4.62255
2020-06-19,4.0731
2020-06-20,2.60391
2020-06-21,1.32584
2020-06-22,2.8428
2020-06-23,4.81366
2020-06-24,4.90922
2020-06-25,4.74199
2020-06-26,4.90922
2020-06-27,3.09364
2020-06-28,1.46918
2020-06-29,3.49976
2020-06-30,5.67367
2020-07-01,4.25226
2020-07-02,4.49116
2020-07-03,3.64309
2020-07-04,2.35308
2020-07-05,1.64835
2020-07-06,2.78308
