date,마이너스통장
2020-03-20,40.92133
2020-03-21,19.47901
2020-03-22,18.73476
2020-03-23,36.86641
2020-03-24,33.11946
2020-03-25,30.86102
2020-03-26,28.26895
2020-03-27,23.57243
2020-03-28,14.24355
2020-03-29,14.05107
2020-03-30,26.203
2020-03-31,25.68972
2020-04-01,23.73925
2020-04-02,23.35429
2020-04-03,20.41575
2020-04-04,11.97228
2020-04-05,12.52406
2020-04-06,25.38175
2020-04-07,23.48261
2020-04-08,24.77864
2020-04-09,22.76401
2020-04-10,19.3122
2020-04-11,12.65238
2020-04-12,13.17849
2020-04-13,24.72731
2020-04-14,22.81534
2020-04-15,15.3856
2020-04-16,23.04632
2020-04-17,20.36442
2020-04-18,11.17669
2020-04-19,13.90991
2020-04-20,23.61093
2020-04-21,24.77864
2020-04-22,22.13524
2020-04-23,22.43038
2020-04-24,19.51751
2020-04-25,11.34351
2020-04-26,13.3453
2020-04-27,23.85474
2020-04-28,22.12241
2020-04-29,21.68612
2020-04-30,11.93378
2020-05-01,11.54882
2020-05-02,9.25189
2020-05-03,11.382
2020-05-04,22.08392
2020-05-05,14.08956
2020-05-06,22.89233
2020-05-07,20.74939
2020-05-08,20.03079
2020-05-09,12.89618
2020-05-10,13.69177
2020-05-11,23.5981
2020-05-12,24.94546
2020-05-13,25.21493
2020-05-14,24.59899
2020-05-15,21.41665
2020-05-16,13.24265
2020-05-17,13.93558
2020-05-18,26.04901
2020-05-19,24.90696
2020-05-20,26.71628
2020-05-21,24.16271
2020-05-22,21.16001
2020-05-23,13.3838
2020-05-24,15.75773
2020-05-25,29.86013
2020-05-26,28.29462
2020-05-27,24.8813
2020-05-28,23.03349
2020-05-29,19.88964
2020-05-30,12.39573
2020-05-31,14.43603
2020-06-01,24.82997
2020-06-02,24.58616
2020-06-03,24.72731
2020-06-04,24.59899
2020-06-05,23.21313
2020-06-06,13.93558
2020-06-07,14.20505
2020-06-08,28.47427
2020-06-09,26.26716
2020-06-10,25.79237
2020-06-11,26.54946
2020-06-12,23.68792
2020-06-13,14.3847
2020-06-14,15.56525
2020-06-15,31.28448
2020-06-16,30.05261
2020-06-17,30.69421
2020-06-18,28.73091
2020-06-19,25.34325
2020-06-20,17.14359
2020-06-21,18.17015
2020-06-22,32.50352
2020-06-23,30.4119
2020-06-24,32.99114
2020-06-25,31.33581
2020-06-26,28.56409
2020-06-27,16.05286
2020-06-28,17.3104
2020-06-29,32.61901
2020-06-30,28.58976
2020-07-01,28.41011
2020-07-02,26.78044
2020-07-03,26.04901
2020-07-04,15.16745
2020-07-05,17.07943
2020-07-06,30.50173
2020-07-07,29.23136
2020-07-08,29.7703
2020-07-09,27.78134
2020-07-10,24.32952
2020-07-11,15.61657
2020-07-12,15.48825
2020-07-13,33.02964
2020-07-14,28.93622
2020-07-15,29.23136
2020-07-16,28.43577
2020-07-17,23.8804
2020-07-18,16.18118
2020-07-19,16.7073
2020-07-20,30.8097
2020-07-21,28.55126
2020-07-22,34.87745
2020-07-23,28.30745
2020-07-24,25.2021
2020-07-25,15.39843
2020-07-26,17.32323
2020-07-27,32.696
2020-07-28,32.47786
2020-07-29,29.11587
2020-07-30,25.03528
2020-07-31,24.77864
2020-08-01,13.64044
2020-08-02,13.57628
2020-08-03,26.1645
2020-08-04,27.71718
2020-08-05,26.90876
2020-08-06,25.8822
2020-08-07,23.98306
2020-08-08,15.3856
2020-08-09,16.33517
2020-08-10,32.00307
2020-08-11,30.47606
2020-08-12,28.1663
2020-08-13,27.2039
2020-08-14,25.04812
2020-08-15,14.07673
2020-08-16,13.85859
2020-08-17,24.80431
2020-08-18,36.18632
2020-08-19,34.80046
2020-08-20,35.57038
2020-08-21,30.18093
2020-08-22,16.50198
2020-08-23,17.22058
2020-08-24,33.28628
2020-08-25,33.82522
2020-08-26,33.70973
2020-08-27,34.58231
2020-08-28,30.66854
2020-08-29,18.00333
2020-08-30,19.22237
2020-08-31,42.44835
2020-09-01,42.64083
2020-09-02,36.60977
2020-09-03,29.43667
2020-09-04,28.35878
2020-09-05,17.49005
2020-09-06,22.69985
2020-09-07,55.57551
2020-09-08,33.49159
2020-09-09,33.06813
2020-09-10,34.17169
2020-09-11,29.46233
2020-09-12,17.13075
2020-09-13,19.96663
2020-09-14,46.75991
2020-09-15,56.9742
2020-09-16,51.58475
2020-09-17,48.86436
2020-09-18,36.54561
2020-09-19,21.50648
2020-09-20,21.82728
2020-09-21,37.95714
2020-09-22,35.49339
2020-09-23,30.10393
2020-09-24,41.34479
2020-09-25,36.91774
2020-09-26,19.9153
2020-09-27,20.87771
2020-09-28,34.0562
2020-09-29,24.07288
2020-09-30,11.21519
2020-10-01,10.8174
2020-10-02,11.39484
2020-10-03,13.30681
2020-10-04,65.90529
2020-10-05,48.81303
2020-10-06,34.06903
2020-10-07,30.56589
2020-10-08,30.10393
2020-10-09,17.54138
2020-10-10,23.46978
2020-10-11,18.43962
2020-10-12,33.44026
2020-10-13,30.92518
2020-10-14,29.69331
2020-10-15,29.47517
2020-10-16,24.62466
2020-10-17,14.88515
2020-10-18,15.56525
2020-10-19,30.15526
2020-10-20,29.59065
2020-10-21,27.73001
2020-10-22,26.83177
2020-10-23,29.7703
2020-10-24,13.08866
2020-10-25,15.62941
2020-10-26,35.59604
2020-10-27,30.00128
2020-10-28,27.807
2020-10-29,26.11317
2020-10-30,22.96933
2020-10-31,13.43513
2020-11-01,15.43693
2020-11-02,27.07558
2020-11-03,25.72821
2020-11-04,26.34415
2020-11-05,23.29013
2020-11-06,24.17554
2020-11-07,15.21878
2020-11-08,15.28294
2020-11-09,28.4871
2020-11-10,27.24239
2020-11-11,24.77864
2020-11-12,24.57333
2020-11-13,35.90401
2020-11-14,20.86487
2020-11-15,25.65122
2020-11-16,45.39971
2020-11-17,65.04555
2020-11-18,60.32336
2020-11-19,46.72141
2020-11-20,47.69665
2020-11-21,24.21403
2020-11-22,39.33016
2020-11-23,67.21416
2020-11-24,57.41049
2020-11-25,50.09624
2020-11-26,46.5161
2020-11-27,42.89747
2020-11-28,21.46798
2020-11-29,68.25356
2020-11-30,70.62748
2020-12-01,35.7372
2020-12-02,31.92608
2020-12-03,31.07917
2020-12-04,25.97202
2020-12-05,16.50198
2020-12-06,18.85025
2020-12-07,29.70614
2020-12-08,27.35788
2020-12-09,29.50083
2020-12-10,31.38714
2020-12-11,24.03438
2020-12-12,15.05196
2020-12-13,20.10778
2020-12-14,34.55665
2020-12-15,27.8455
2020-12-16,29.75747
2020-12-17,39.84344
2020-12-18,28.30745
2020-12-19,16.47632
2020-12-20,18.11882
2020-12-21,32.3752
2020-12-22,38.85538
2020-12-23,34.60798
2020-12-24,25.83087
2020-12-25,17.10509
2020-12-26,20.87771
2020-12-27,23.99589
2020-12-28,38.54741
2020-12-29,36.0195
2020-12-30,34.64647
2020-12-31,25.5229
2021-01-01,19.88964
2021-01-02,20.14628
2021-01-03,23.58526
2021-01-04,37.7005
2021-01-05,35.68587
2021-01-06,32.08007
2021-01-07,29.28268
2021-01-08,32.88848
2021-01-09,19.24804
2021-01-10,47.88913
2021-01-11,54.75426
2021-01-12,38.27794
2021-01-13,31.87475
2021-01-14,29.18003
2021-01-15,29.64198
2021-01-16,19.02989
2021-01-17,21.64763
2021-01-18,32.28538
2021-01-19,38.13678
2021-01-20,39.03503
2021-01-21,36.86641
2021-01-22,35.13409
2021-01-23,27.22956
2021-01-24,48.1586
2021-01-25,53.03477
2021-01-26,40.34389
2021-01-27,33.95354
2021-01-28,36.67393
2021-01-29,31.092
2021-01-30,18.85025
2021-01-31,32.06723
2021-02-01,66.39291
2021-02-02,64.32696
2021-02-03,39.41999
2021-02-04,30.50173
2021-02-05,27.07558
2021-02-06,16.92544
2021-02-07,19.3122
2021-02-08,29.23136
2021-02-09,26.1645
2021-02-10,23.12331
2021-02-11,15.01347
2021-02-12,13.15282
2021-02-13,13.61478
2021-02-14,19.5945
2021-02-15,37.53368
2021-02-16,36.27614
2021-02-17,29.93712
2021-02-18,29.75747
2021-02-19,26.03618
2021-02-20,16.68163
2021-02-21,23.48261
2021-02-22,34.82612
2021-02-23,34.71063
2021-02-24,30.65571
2021-02-25,28.73091
2021-02-26,26.02335
2021-02-27,14.41036
2021-02-28,16.12986
2021-03-01,18.65776
2021-03-02,28.96188
2021-03-03,26.93442
2021-03-04,25.4844
2021-03-05,24.49634
2021-03-06,14.75683
2021-03-07,15.74489
2021-03-08,42.44835
2021-03-09,34.0947
2021-03-10,31.16899
2021-03-11,28.53843
2021-03-12,24.04722
2021-03-13,15.9887
2021-03-14,18.20864
2021-03-15,29.97561
2021-03-16,27.75567
2021-03-17,25.4844
2021-03-18,25.21493
2021-03-19,22.2379
2021-03-20,14.43603
2021-03-21,14.91081
2021-03-22,27.79417
2021-03-23,24.27819
2021-03-24,23.5596
2021-03-25,23.68792
2021-03-26,19.88964
2021-03-27,13.31964
2021-03-28,15.23161
2021-03-29,29.30835
2021-03-30,26.04901
2021-03-31,25.44591
2021-04-01,28.47427
2021-04-02,25.81804
2021-04-03,24.36802
2021-04-04,19.11972
2021-04-05,27.43487
2021-04-06,24.14987
2021-04-07,23.40562
2021-04-08,22.2379
2021-04-09,20.2361
2021-04-10,12.84486
2021-04-11,13.96124
