date,TIGER헬스케어
2020-03-20,14.45603
2020-03-21,3.12965
2020-03-22,3.42771
2020-03-23,20.41728
2020-03-24,23.69597
2020-03-25,20.86438
2020-03-26,19.82116
2020-03-27,21.16244
2020-03-28,4.3219
2020-03-29,4.91803
2020-03-30,21.9076
2020-03-31,59.16542
2020-04-01,40.23845
2020-04-02,22.95081
2020-04-03,25.03725
2020-04-04,7.45156
2020-04-05,6.7064
2020-04-06,26.08047
2020-04-07,26.97466
2020-04-08,20.56631
2020-04-09,19.37406
2020-04-10,24.14307
2020-04-11,4.61997
2020-04-12,8.04769
2020-04-13,28.91207
2020-04-14,25.63338
2020-04-15,8.19672
2020-04-16,17.88375
2020-04-17,28.01788
2020-04-18,4.47093
2020-04-19,4.91803
2020-04-20,19.076
2020-04-21,20.41728
2020-04-22,17.43666
2020-04-23,27.71982
2020-04-24,21.4605
2020-04-25,6.7064
2020-04-26,10.73025
2020-04-27,20.26825
2020-04-28,16.24441
2020-04-29,16.84053
2020-04-30,5.96125
2020-05-01,7.30253
2020-05-02,5.81222
2020-05-03,5.96125
2020-05-04,18.47988
2020-05-05,8.94187
2020-05-06,17.58569
2020-05-07,13.26378
2020-05-08,16.54247
2020-05-09,5.06706
2020-05-10,5.06706
2020-05-11,19.82116
2020-05-12,22.35469
2020-05-13,22.05663
2020-05-14,25.18628
2020-05-15,19.82116
2020-05-16,4.61997
2020-05-17,5.81222
2020-05-18,20.11922
2020-05-19,29.65722
2020-05-20,21.01341
2020-05-21,24.14307
2020-05-22,20.11922
2020-05-23,3.57675
2020-05-24,5.06706
2020-05-25,25.48435
2020-05-26,25.78241
2020-05-27,23.09985
2020-05-28,18.18181
2020-05-29,18.03278
2020-05-30,6.11028
2020-05-31,4.47093
2020-06-01,29.35916
2020-06-02,31.14754
2020-06-03,26.82563
2020-06-04,25.33532
2020-06-05,38.89716
2020-06-06,5.96125
2020-06-07,7.60059
2020-06-08,33.97913
2020-06-09,31.14754
2020-06-10,37.85394
2020-06-11,55.88673
2020-06-12,57.07898
2020-06-13,9.23994
2020-06-14,12.81669
2020-06-15,48.1371
2020-06-16,41.4307
2020-06-17,38.89716
2020-06-18,36.81073
2020-06-19,32.48882
2020-06-20,6.7064
2020-06-21,6.55737
2020-06-22,36.81073
2020-06-23,46.05067
2020-06-24,38.74813
2020-06-25,36.95976
2020-06-26,34.27719
2020-06-27,2.83159
2020-06-28,5.81222
2020-06-29,29.95529
2020-06-30,31.74366
2020-07-01,36.51266
2020-07-02,33.38301
2020-07-03,33.53204
2020-07-04,6.11028
2020-07-05,5.66318
2020-07-06,33.53204
2020-07-07,32.78688
2020-07-08,32.78688
2020-07-09,35.61847
2020-07-10,31.89269
2020-07-11,8.94187
2020-07-12,8.34575
2020-07-13,42.92101
2020-07-14,39.04619
2020-07-15,37.25782
2020-07-16,28.614
2020-07-17,34.27719
2020-07-18,4.61997
2020-07-19,5.06706
2020-07-20,40.83457
2020-07-21,56.78092
2020-07-22,52.90611
2020-07-23,63.04023
2020-07-24,64.97764
2020-07-25,11.4754
2020-07-26,11.9225
2020-07-27,58.27123
2020-07-28,59.46348
2020-07-29,47.69001
2020-07-30,46.1997
2020-07-31,42.77198
2020-08-01,9.98509
2020-08-02,8.79284
2020-08-03,49.62742
2020-08-04,57.97317
