date,엔비디아주가
2020-03-20,0.29523
2020-03-21,0.22901
2020-03-22,0.09657
2020-03-23,0.1821
2020-03-24,0.33661
2020-03-25,0.40743
2020-03-26,0.38352
2020-03-27,0.31362
2020-03-28,0.17566
2020-03-29,0.12232
2020-03-30,0.20142
2020-03-31,0.52792
2020-04-01,0.44698
2020-04-02,0.30902
2020-04-03,0.28235
2020-04-04,0.20417
2020-04-05,0.1168
2020-04-06,0.20142
2020-04-07,0.3918
2020-04-08,0.30167
2020-04-09,0.31178
2020-04-10,0.19682
2020-04-11,0.12508
2020-04-12,0.1168
2020-04-13,0.1729
2020-04-14,0.29063
2020-04-15,0.24372
2020-04-16,0.28235
2020-04-17,0.46538
2020-04-18,0.22717
2020-04-19,0.11956
2020-04-20,0.19682
2020-04-21,0.2658
2020-04-22,0.28327
2020-04-23,0.27591
2020-04-24,0.27131
2020-04-25,0.16463
2020-04-26,0.07633
2020-04-27,0.17014
2020-04-28,0.25752
2020-04-29,0.27683
2020-04-30,0.24004
2020-05-01,0.2005
2020-05-02,0.11956
2020-05-03,0.06622
2020-05-04,0.13611
2020-05-05,0.21061
2020-05-06,0.25384
2020-05-07,0.31546
2020-05-08,0.29339
2020-05-09,0.23544
2020-05-10,0.12692
2020-05-11,0.22809
2020-05-12,0.41479
2020-05-13,0.31914
2020-05-14,0.27223
2020-05-15,0.35041
2020-05-16,0.37708
2020-05-17,0.17106
2020-05-18,0.36421
2020-05-19,0.56747
2020-05-20,0.54447
2020-05-21,0.48193
2020-05-22,0.60977
2020-05-23,0.25752
2020-05-24,0.22073
2020-05-25,0.27407
2020-05-26,0.39456
2020-05-27,0.62541
2020-05-28,0.54723
2020-05-29,0.34029
2020-05-30,0.24924
2020-05-31,0.15635
2020-06-01,0.30075
2020-06-02,0.55275
2020-06-03,0.55459
2020-06-04,0.4617
2020-06-05,0.41387
2020-06-06,0.31546
2020-06-07,0.15819
2020-06-08,0.33478
2020-06-09,0.47365
2020-06-10,0.54263
2020-06-11,0.52792
2020-06-12,0.48009
2020-06-13,0.2474
2020-06-14,0.13887
2020-06-15,0.32926
2020-06-16,0.49849
2020-06-17,0.40192
2020-06-18,0.34305
2020-06-19,0.34949
2020-06-20,0.1959
2020-06-21,0.1122
2020-06-22,0.24924
2020-06-23,0.42675
2020-06-24,0.40651
2020-06-25,0.30994
2020-06-26,0.3311
2020-06-27,0.19682
2020-06-28,0.11404
2020-06-29,0.29155
2020-06-30,0.39916
2020-07-01,0.43503
2020-07-02,0.42399
2020-07-03,0.3035
2020-07-04,0.15083
2020-07-05,0.1168
2020-07-06,0.28051
2020-07-07,0.39548
2020-07-08,0.44606
2020-07-09,0.79096
2020-07-10,0.78084
2020-07-11,0.96755
2020-07-12,0.75049
2020-07-13,1.23059
2020-07-14,1.74472
2020-07-15,1.27841
2020-07-16,1.10918
2020-07-17,0.90501
2020-07-18,0.72474
2020-07-19,0.72198
2020-07-20,1.01169
2020-07-21,1.20576
2020-07-22,1.69137
2020-07-23,2.29931
2020-07-24,1.9866
2020-07-25,1.14597
2020-07-26,0.73486
2020-07-27,1.1377
2020-07-28,1.40074
2020-07-29,1.29497
2020-07-30,1.14965
2020-07-31,1.29773
2020-08-01,1.12482
2020-08-02,0.77257
2020-08-03,1.33728
2020-08-04,1.67206
2020-08-05,1.67114
2020-08-06,1.42373
2020-08-07,1.57457
2020-08-08,1.10551
2020-08-09,0.65208
2020-08-10,1.35843
2020-08-11,1.75115
2020-08-12,1.48351
2020-08-13,1.604
2020-08-14,1.43661
2020-08-15,0.82683
2020-08-16,0.48561
2020-08-17,1.26002
2020-08-18,2.66168
2020-08-19,2.31495
2020-08-20,2.35265
2020-08-21,2.17055
2020-08-22,2.36093
2020-08-23,1.3428
2020-08-24,2.89529
2020-08-25,3.22915
2020-08-26,2.92748
2020-08-27,3.2172
2020-08-28,3.07648
2020-08-29,2.71503
2020-08-30,1.3244
2020-08-31,3.05073
2020-09-01,5.44018
2020-09-02,10.71021
2020-09-03,8.63347
2020-09-04,8.89467
2020-09-05,5.00239
2020-09-06,1.9489
2020-09-07,2.70675
2020-09-08,4.58207
2020-09-09,6.41049
2020-09-10,5.41994
2020-09-11,4.39445
2020-09-12,2.97439
2020-09-13,1.40626
2020-09-14,8.48079
2020-09-15,8.60036
2020-09-16,5.47421
2020-09-17,4.68232
2020-09-18,4.0753
2020-09-19,3.17213
2020-09-20,1.2499
2020-09-21,2.44003
2020-09-22,3.86652
2020-09-23,3.53174
2020-09-24,3.83801
2020-09-25,3.20432
2020-09-26,2.34714
2020-09-27,1.09999
2020-09-28,2.18526
2020-09-29,2.98267
2020-09-30,2.78952
2020-10-01,3.11419
2020-10-02,3.19053
2020-10-03,2.61478
2020-10-04,0.95651
2020-10-05,1.90199
2020-10-06,3.57497
2020-10-07,3.43977
2020-10-08,3.15834
2020-10-09,2.61662
2020-10-10,1.93878
2020-10-11,0.72658
2020-10-12,1.70149
2020-10-13,3.21812
2020-10-14,2.8162
2020-10-15,2.51269
2020-10-16,2.17975
2020-10-17,1.42465
2020-10-18,0.58494
2020-10-19,1.39982
2020-10-20,2.27632
2020-10-21,2.4106
2020-10-22,2.32506
2020-10-23,2.06294
2020-10-24,1.35383
2020-10-25,0.50125
2020-10-26,1.2499
2020-10-27,2.14756
2020-10-28,2.06478
2020-10-29,2.52832
2020-10-30,2.15951
2020-10-31,1.54697
2020-11-01,0.54355
2020-11-02,1.2453
2020-11-03,2.16779
2020-11-04,2.37657
2020-11-05,2.99186
2020-11-06,2.62857
2020-11-07,2.13652
2020-11-08,0.71186
2020-11-09,1.69505
2020-11-10,4.00356
2020-11-11,3.65039
2020-11-12,2.70307
2020-11-13,2.40232
2020-11-14,1.72908
2020-11-15,0.57574
2020-11-16,1.42557
2020-11-17,2.42439
2020-11-18,2.42439
2020-11-19,2.82631
2020-11-20,2.38209
2020-11-21,1.71161
2020-11-22,0.80476
2020-11-23,1.40718
2020-11-24,2.94128
2020-11-25,3.35516
2020-11-26,2.84379
2020-11-27,1.82013
2020-11-28,1.9397
2020-11-29,0.81211
2020-11-30,1.43937
2020-12-01,2.56327
2020-12-02,2.60282
2020-12-03,2.70215
2020-12-04,2.62673
2020-12-05,2.06754
2020-12-06,0.84706
2020-12-07,1.47708
2020-12-08,2.88886
2020-12-09,2.83459
2020-12-10,3.07464
2020-12-11,2.5504
2020-12-12,1.94522
2020-12-13,0.74589
2020-12-14,1.21863
2020-12-15,2.35541
2020-12-16,2.33058
2020-12-17,2.23217
2020-12-18,2.40968
2020-12-19,1.9866
2020-12-20,0.96295
2020-12-21,1.47616
2020-12-22,2.42439
2020-12-23,2.50625
2020-12-24,2.35725
2020-12-25,1.85968
2020-12-26,0.83603
2020-12-27,0.72934
2020-12-28,1.36027
2020-12-29,2.85391
2020-12-30,2.36737
2020-12-31,2.10249
2021-01-01,1.5994
2021-01-02,0.88661
2021-01-03,0.78544
2021-01-04,1.5902
2021-01-05,2.94772
2021-01-06,2.71503
2021-01-07,4.23441
2021-01-08,4.2758
2021-01-09,2.83091
2021-01-10,1.37866
2021-01-11,2.15399
2021-01-12,3.54922
2021-01-13,3.03785
2021-01-14,3.51059
2021-01-15,3.45725
2021-01-16,2.40784
2021-01-17,1.10735
2021-01-18,1.3244
2021-01-19,1.83853
2021-01-20,2.67272
2021-01-21,3.11327
2021-01-22,3.16201
