date,내보험찾기
2020-03-20,22.34762
2020-03-21,15.40632
2020-03-22,14.39051
2020-03-23,26.63656
2020-03-24,23.58916
2020-03-25,29.17607
2020-03-26,26.693
2020-03-27,23.30699
2020-03-28,15.06772
2020-03-29,14.05191
2020-03-30,20.48532
2020-03-31,19.63882
2020-04-01,18.05869
2020-04-02,18.96162
2020-04-03,19.18735
2020-04-04,13.43115
2020-04-05,12.97968
2020-04-06,20.76749
2020-04-07,21.04966
2020-04-08,22.23476
2020-04-09,23.02483
2020-04-10,23.92776
2020-04-11,12.64108
2020-04-12,14.05191
2020-04-13,28.32957
2020-04-14,24.04063
2020-04-15,15.63205
2020-04-16,27.2009
2020-04-17,20.76749
2020-04-18,13.20541
2020-04-19,14.55981
2020-04-20,30.81264
2020-04-21,30.079
2020-04-22,28.2167
2020-04-23,24.15349
2020-04-24,20.20316
2020-04-25,11.96388
2020-04-26,10.60948
2020-04-27,22.46049
2020-04-28,19.97742
2020-04-29,21.44469
2020-04-30,13.60045
2020-05-01,16.19638
2020-05-02,15.34988
2020-05-03,14.22121
2020-05-04,25.73363
2020-05-05,16.81715
2020-05-06,26.91873
2020-05-07,22.79909
2020-05-08,16.76072
2020-05-09,11.51241
2020-05-10,9.65011
2020-05-11,19.86455
2020-05-12,21.21896
2020-05-13,18.22799
2020-05-14,17.83295
2020-05-15,17.83295
2020-05-16,10.27088
2020-05-17,11.17381
2020-05-18,18.22799
2020-05-19,21.67042
2020-05-20,17.66365
2020-05-21,18.45372
2020-05-22,18.51015
2020-05-23,10.83521
2020-05-24,10.38374
2020-05-25,47.34762
2020-05-26,30.5869
2020-05-27,30.02257
2020-05-28,23.02483
2020-05-29,45.25959
2020-05-30,55.30474
2020-05-31,24.54853
2020-06-01,20.37246
2020-06-02,13.20541
2020-06-03,16.19638
2020-06-04,15.06772
2020-06-05,15.34988
2020-06-06,10.83521
2020-06-07,9.31151
2020-06-08,15.91422
2020-06-09,14.78555
2020-06-10,14.55981
2020-06-11,12.86681
2020-06-12,14.10835
2020-06-13,9.87584
2020-06-14,9.19864
2020-06-15,16.59142
2020-06-16,13.99548
2020-06-17,12.92325
2020-06-18,12.92325
2020-06-19,13.88261
2020-06-20,8.69074
2020-06-21,7.95711
2020-06-22,14.33408
2020-06-23,13.65688
2020-06-24,14.16478
2020-06-25,14.50338
2020-06-26,18.45372
2020-06-27,10.89164
2020-06-28,11.39954
2020-06-29,23.58916
2020-06-30,21.83972
2020-07-01,14.95485
2020-07-02,15.74492
2020-07-03,12.47178
2020-07-04,7.56207
2020-07-05,6.99774
2020-07-06,19.18735
2020-07-07,17.43792
2020-07-08,19.75169
2020-07-09,21.04966
2020-07-10,17.32505
2020-07-11,9.65011
2020-07-12,7.39277
2020-07-13,16.59142
2020-07-14,15.40632
2020-07-15,14.55981
2020-07-16,13.14898
2020-07-17,13.09255
2020-07-18,8.57787
2020-07-19,7.67494
2020-07-20,16.25282
2020-07-21,14.67268
2020-07-22,12.69751
2020-07-23,12.47178
2020-07-24,12.92325
2020-07-25,7.4492
2020-07-26,7.33634
2020-07-27,14.39051
2020-07-28,13.99548
2020-07-29,14.95485
2020-07-30,12.97968
2020-07-31,9.65011
2020-08-01,11.68171
2020-08-02,5.69977
2020-08-03,14.10835
