date,가치투자
2020-03-20,64.13793
2020-03-21,68.27586
2020-03-22,70.0
2020-03-23,68.27586
2020-03-24,67.5862
2020-03-25,65.86206
2020-03-26,61.03448
2020-03-27,77.5862
2020-03-28,48.27586
2020-03-29,50.34482
2020-03-30,40.68965
2020-03-31,62.41379
2020-04-01,65.17241
2020-04-02,72.41379
2020-04-03,67.24137
2020-04-04,41.37931
2020-04-05,51.37931
2020-04-06,58.62068
2020-04-07,73.10344
2020-04-08,61.72413
2020-04-09,66.89655
2020-04-10,56.89655
2020-04-11,44.48275
2020-04-12,54.13793
2020-04-13,51.72413
2020-04-14,46.89655
2020-04-15,49.65517
2020-04-16,39.65517
2020-04-17,60.0
2020-04-18,45.86206
2020-04-19,49.31034
2020-04-20,55.17241
2020-04-21,72.41379
2020-04-22,64.48275
2020-04-23,53.10344
2020-04-24,45.86206
2020-04-25,37.93103
2020-04-26,38.27586
2020-04-27,51.37931
2020-04-28,47.5862
2020-04-29,35.17241
2020-04-30,26.89655
2020-05-01,25.51724
2020-05-02,30.68965
2020-05-03,30.34482
2020-05-04,35.86206
2020-05-05,24.48275
2020-05-06,38.96551
2020-05-07,41.37931
2020-05-08,43.44827
2020-05-09,44.82758
2020-05-10,33.10344
2020-05-11,47.93103
2020-05-12,39.65517
2020-05-13,38.62068
2020-05-14,48.96551
2020-05-15,45.86206
2020-05-16,35.51724
2020-05-17,31.03448
2020-05-18,45.51724
2020-05-19,44.48275
2020-05-20,45.51724
2020-05-21,42.75862
2020-05-22,37.24137
2020-05-23,38.62068
2020-05-24,36.20689
2020-05-25,53.44827
2020-05-26,70.0
2020-05-27,58.62068
2020-05-28,38.62068
2020-05-29,36.89655
2020-05-30,33.7931
2020-05-31,45.86206
2020-06-01,47.93103
2020-06-02,52.06896
2020-06-03,51.37931
2020-06-04,44.48275
2020-06-05,40.68965
2020-06-06,33.44827
2020-06-07,38.27586
2020-06-08,52.41379
2020-06-09,35.86206
2020-06-10,55.51724
2020-06-11,49.65517
2020-06-12,36.55172
2020-06-13,25.17241
2020-06-14,27.24137
2020-06-15,36.20689
2020-06-16,35.17241
2020-06-17,40.0
2020-06-18,36.20689
2020-06-19,42.41379
2020-06-20,25.86206
2020-06-21,41.03448
2020-06-22,45.51724
2020-06-23,45.17241
2020-06-24,49.65517
2020-06-25,43.44827
2020-06-26,44.82758
2020-06-27,28.62068
2020-06-28,29.31034
2020-06-29,30.34482
2020-06-30,30.68965
2020-07-01,32.75862
2020-07-02,41.37931
2020-07-03,32.75862
2020-07-04,24.48275
2020-07-05,39.31034
2020-07-06,49.31034
2020-07-07,52.75862
2020-07-08,40.68965
2020-07-09,38.62068
2020-07-10,33.10344
2020-07-11,31.03448
2020-07-12,25.51724
2020-07-13,42.41379
2020-07-14,42.06896
2020-07-15,43.44827
2020-07-16,33.7931
2020-07-17,38.96551
2020-07-18,24.13793
2020-07-19,24.82758
2020-07-20,34.48275
2020-07-21,40.0
2020-07-22,35.51724
2020-07-23,38.96551
2020-07-24,34.13793
2020-07-25,32.75862
2020-07-26,40.68965
2020-07-27,46.55172
2020-07-28,48.27586
2020-07-29,49.65517
