date,저축
2020-03-20,44.19087
2020-03-21,30.70539
2020-03-22,35.06224
2020-03-23,55.18672
2020-03-24,48.96265
2020-03-25,49.17012
2020-03-26,47.51037
2020-03-27,44.19087
2020-03-28,36.92946
2020-03-29,33.19502
2020-03-30,57.88381
2020-03-31,50.41493
2020-04-01,46.47302
2020-04-02,42.53112
2020-04-03,38.17427
2020-04-04,36.92946
2020-04-05,34.85477
2020-04-06,49.37759
2020-04-07,50.82987
2020-04-08,43.56846
2020-04-09,43.9834
2020-04-10,52.07468
2020-04-11,36.09958
2020-04-12,38.38174
2020-04-13,52.28215
2020-04-14,45.43568
2020-04-15,34.6473
2020-04-16,45.43568
2020-04-17,39.41908
2020-04-18,32.78008
2020-04-19,35.89211
2020-04-20,51.45228
2020-04-21,42.11618
2020-04-22,44.6058
2020-04-23,41.2863
2020-04-24,41.2863
2020-04-25,25.51867
2020-04-26,32.36514
2020-04-27,42.73858
2020-04-28,45.85062
2020-04-29,37.13692
2020-04-30,24.68879
2020-05-01,29.87551
2020-05-02,30.08298
2020-05-03,30.70539
2020-05-04,46.88796
2020-05-05,37.13692
2020-05-06,48.75518
2020-05-07,45.85062
2020-05-08,35.47717
2020-05-09,30.08298
2020-05-10,42.94605
2020-05-11,43.9834
2020-05-12,45.64315
2020-05-13,41.07883
2020-05-14,41.90871
2020-05-15,35.68464
2020-05-16,25.10373
2020-05-17,28.83817
2020-05-18,42.73858
2020-05-19,48.13278
2020-05-20,44.81327
2020-05-21,46.26556
2020-05-22,35.68464
2020-05-23,27.17842
2020-05-24,32.57261
2020-05-25,42.73858
2020-05-26,47.92531
2020-05-27,35.06224
2020-05-28,28.83817
2020-05-29,39.41908
2020-05-30,25.72614
2020-05-31,30.91286
2020-06-01,52.69709
2020-06-02,42.73858
2020-06-03,41.90871
2020-06-04,35.06224
2020-06-05,38.79668
2020-06-06,26.55601
2020-06-07,28.21576
2020-06-08,47.3029
2020-06-09,39.62655
2020-06-10,44.6058
2020-06-11,32.15767
2020-06-12,35.89211
2020-06-13,29.25311
2020-06-14,32.57261
2020-06-15,42.94605
2020-06-16,35.47717
2020-06-17,35.2697
2020-06-18,36.51452
2020-06-19,30.70539
2020-06-20,20.12448
2020-06-21,27.80082
2020-06-22,41.70124
2020-06-23,37.13692
2020-06-24,40.24896
2020-06-25,38.38174
2020-06-26,36.30705
2020-06-27,26.76348
2020-06-28,26.97095
2020-06-29,47.51037
2020-06-30,41.49377
2020-07-01,32.98755
2020-07-02,44.39834
2020-07-03,53.73443
2020-07-04,29.87551
2020-07-05,33.81742
2020-07-06,41.49377
2020-07-07,38.79668
2020-07-08,44.81327
2020-07-09,44.6058
2020-07-10,36.72199
2020-07-11,26.97095
2020-07-12,30.70539
2020-07-13,33.40248
2020-07-14,43.36099
2020-07-15,40.87136
2020-07-16,35.68464
2020-07-17,30.29045
2020-07-18,25.3112
2020-07-19,29.66804
2020-07-20,34.85477
2020-07-21,38.58921
2020-07-22,36.51452
2020-07-23,33.81742
2020-07-24,32.78008
2020-07-25,27.80082
2020-07-26,21.16182
2020-07-27,43.36099
2020-07-28,42.11618
2020-07-29,40.24896
2020-07-30,34.85477
2020-07-31,33.40248
2020-08-01,24.89626
2020-08-02,27.17842
2020-08-03,36.51452
2020-08-04,40.45643
2020-08-05,43.77593
2020-08-06,37.9668
2020-08-07,32.98755
2020-08-08,26.76348
2020-08-09,27.80082
2020-08-10,46.05809
2020-08-11,35.89211
2020-08-12,34.43983
2020-08-13,33.19502
2020-08-14,25.3112
2020-08-15,19.70954
2020-08-16,24.68879
2020-08-17,22.19917
2020-08-18,31.53526
2020-08-19,30.70539
2020-08-20,33.81742
2020-08-21,33.81742
2020-08-22,21.78423
2020-08-23,25.72614
2020-08-24,39.83402
2020-08-25,40.45643
2020-08-26,41.49377
2020-08-27,40.04149
2020-08-28,40.45643
2020-08-29,25.51867
2020-08-30,24.48132
