date,리워드
2020-03-20,46.54205
2020-03-21,34.95327
2020-03-22,28.22429
2020-03-23,87.85046
2020-03-24,61.30841
2020-03-25,57.757
2020-03-26,62.61682
2020-03-27,49.71962
2020-03-28,34.57943
2020-03-29,37.19626
2020-03-30,53.27102
2020-03-31,56.82242
2020-04-01,62.4299
2020-04-02,75.88785
2020-04-03,59.43925
2020-04-04,40.37383
2020-04-05,33.27102
2020-04-06,66.72897
2020-04-07,63.92523
2020-04-08,57.19626
2020-04-09,54.95327
2020-04-10,51.58878
2020-04-11,34.39252
2020-04-12,34.57943
2020-04-13,54.76635
2020-04-14,53.83177
2020-04-15,36.07476
2020-04-16,51.21495
2020-04-17,51.02803
2020-04-18,34.57943
2020-04-19,35.70093
2020-04-20,56.44859
2020-04-21,57.94392
2020-04-22,66.35514
2020-04-23,58.31775
2020-04-24,51.96261
2020-04-25,34.95327
2020-04-26,29.53271
2020-04-27,57.19626
2020-04-28,58.8785
2020-04-29,48.22429
2020-04-30,34.01869
2020-05-01,38.13084
2020-05-02,46.35514
2020-05-03,26.16822
2020-05-04,48.97196
2020-05-05,35.70093
2020-05-06,56.07476
2020-05-07,49.34579
2020-05-08,48.41121
2020-05-09,31.96261
2020-05-10,29.90654
2020-05-11,46.91588
2020-05-12,48.59813
2020-05-13,42.61682
2020-05-14,55.3271
2020-05-15,59.81308
2020-05-16,34.2056
2020-05-17,34.76635
2020-05-18,58.50467
2020-05-19,47.66355
2020-05-20,52.33644
2020-05-21,56.82242
2020-05-22,50.6542
2020-05-23,25.23364
2020-05-24,31.7757
2020-05-25,55.88785
2020-05-26,50.46728
2020-05-27,61.86915
2020-05-28,56.44859
2020-05-29,52.52336
2020-05-30,32.89719
2020-05-31,32.71028
2020-06-01,68.97196
2020-06-02,84.29906
2020-06-03,71.02803
2020-06-04,76.82242
2020-06-05,72.33644
2020-06-06,44.85981
2020-06-07,49.34579
2020-06-08,63.5514
2020-06-09,66.35514
2020-06-10,68.78504
2020-06-11,70.46728
2020-06-12,66.16822
2020-06-13,37.57009
2020-06-14,38.13084
2020-06-15,60.56074
2020-06-16,64.29906
2020-06-17,69.53271
2020-06-18,66.35514
2020-06-19,60.74766
2020-06-20,42.61682
2020-06-21,39.81308
2020-06-22,67.85046
2020-06-23,63.73831
2020-06-24,62.80373
2020-06-25,62.61682
2020-06-26,63.92523
2020-06-27,40.56074
2020-06-28,41.68224
2020-06-29,66.35514
2020-06-30,59.81308
2020-07-01,66.72897
2020-07-02,62.61682
2020-07-03,57.94392
2020-07-04,33.27102
2020-07-05,33.08411
2020-07-06,59.25233
2020-07-07,61.30841
2020-07-08,67.66355
2020-07-09,69.34579
2020-07-10,56.26168
2020-07-11,36.82242
2020-07-12,34.57943
2020-07-13,54.39252
2020-07-14,62.80373
2020-07-15,70.09345
2020-07-16,64.67289
2020-07-17,57.757
2020-07-18,31.7757
2020-07-19,34.39252
2020-07-20,57.94392
2020-07-21,58.50467
2020-07-22,62.4299
2020-07-23,67.47663
2020-07-24,57.00934
2020-07-25,32.52336
2020-07-26,34.95327
2020-07-27,56.07476
2020-07-28,61.49532
2020-07-29,63.5514
2020-07-30,59.43925
2020-07-31,57.94392
2020-08-01,36.26168
2020-08-02,40.18691
2020-08-03,57.94392
2020-08-04,70.09345
2020-08-05,57.94392
2020-08-06,59.81308
2020-08-07,61.12149
2020-08-08,40.18691
2020-08-09,35.70093
2020-08-10,64.29906
2020-08-11,72.71028
2020-08-12,78.13084
2020-08-13,64.48598
2020-08-14,54.01869
2020-08-15,37.19626
2020-08-16,36.44859
2020-08-17,39.06542
2020-08-18,50.84112
2020-08-19,55.3271
2020-08-20,49.15887
2020-08-21,47.66355
2020-08-22,33.08411
2020-08-23,51.7757
2020-08-24,58.50467
2020-08-25,65.42056
2020-08-26,58.13084
2020-08-27,61.30841
2020-08-28,59.81308
2020-08-29,40.37383
2020-08-30,42.61682
2020-08-31,59.06542
2020-09-01,63.17757
2020-09-02,63.73831
2020-09-03,47.66355
2020-09-04,56.63551
2020-09-05,36.82242
2020-09-06,36.26168
2020-09-07,59.62616
2020-09-08,54.95327
2020-09-09,61.30841
2020-09-10,63.73831
2020-09-11,55.51401
2020-09-12,37.00934
2020-09-13,35.70093
2020-09-14,67.28971
2020-09-15,61.86915
2020-09-16,64.67289
2020-09-17,61.86915
2020-09-18,57.94392
2020-09-19,33.83177
2020-09-20,35.3271
2020-09-21,57.38317
2020-09-22,58.8785
2020-09-23,61.12149
2020-09-24,59.06542
2020-09-25,55.70093
2020-09-26,45.23364
2020-09-27,36.44859
2020-09-28,63.92523
2020-09-29,53.27102
2020-09-30,30.84112
2020-10-01,30.28037
2020-10-02,34.76635
2020-10-03,35.70093
2020-10-04,38.50467
2020-10-05,54.76635
2020-10-06,61.68224
2020-10-07,61.68224
2020-10-08,65.9813
2020-10-09,54.57943
2020-10-10,42.61682
2020-10-11,39.81308
2020-10-12,69.34579
2020-10-13,62.05607
2020-10-14,73.64485
2020-10-15,66.16822
2020-10-16,49.15887
2020-10-17,40.56074
2020-10-18,34.95327
2020-10-19,51.58878
2020-10-20,54.39252
2020-10-21,69.90654
2020-10-22,65.60747
2020-10-23,57.57009
2020-10-24,43.17757
2020-10-25,40.74766
2020-10-26,57.94392
2020-10-27,65.79439
2020-10-28,62.61682
2020-10-29,56.44859
2020-10-30,51.02803
2020-10-31,34.01869
2020-11-01,36.63551
2020-11-02,49.71962
2020-11-03,57.757
2020-11-04,54.57943
2020-11-05,54.01869
2020-11-06,64.48598
2020-11-07,40.37383
2020-11-08,31.7757
