date,해외주식
2020-03-20,33.69543
2020-03-21,21.92376
2020-03-22,15.08986
2020-03-23,28.7774
2020-03-24,37.68516
2020-03-25,37.58641
2020-03-26,37.74442
2020-03-27,32.92514
2020-03-28,19.83014
2020-03-29,15.01086
2020-03-30,24.59016
2020-03-31,28.57989
2020-04-01,26.72328
2020-04-02,27.69109
2020-04-03,22.6743
2020-04-04,14.00355
2020-04-05,11.33715
2020-04-06,26.50602
2020-04-07,31.06853
2020-04-08,30.96978
2020-04-09,27.15781
2020-04-10,25.93324
2020-04-11,15.60339
2020-04-12,12.34445
2020-04-13,20.50167
2020-04-14,23.08907
2020-04-15,21.94351
2020-04-16,21.42998
2020-04-17,25.36045
2020-04-18,16.13667
2020-04-19,12.95674
2020-04-20,23.83962
2020-04-21,26.48627
2020-04-22,27.86885
2020-04-23,25.18269
2020-04-24,20.1659
2020-04-25,14.22081
2020-04-26,10.94212
2020-04-27,19.07959
2020-04-28,21.15346
2020-04-29,21.48923
2020-04-30,18.90183
2020-05-01,16.11692
2020-05-02,11.94943
2020-05-03,10.40884
2020-05-04,17.04523
2020-05-05,17.91428
2020-05-06,18.11179
2020-05-07,19.33636
2020-05-08,15.48489
2020-05-09,11.49516
2020-05-10,8.29547
2020-05-11,14.35907
2020-05-12,16.43294
2020-05-13,16.6502
2020-05-14,16.27493
2020-05-15,13.74679
2020-05-16,7.78194
2020-05-17,7.1104
2020-05-18,14.26031
2020-05-19,21.09421
2020-05-20,16.96622
2020-05-21,17.75627
2020-05-22,15.07011
2020-05-23,9.6978
2020-05-24,8.47323
2020-05-25,19.02034
2020-05-26,22.47679
2020-05-27,18.70432
2020-05-28,18.32905
2020-05-29,15.99841
2020-05-30,9.71755
2020-05-31,9.36203
2020-06-01,17.24274
2020-06-02,19.59312
2020-06-03,20.95595
2020-06-04,21.76575
2020-06-05,22.04226
2020-06-06,17.22299
2020-06-07,12.60122
2020-06-08,23.74086
2020-06-09,33.04365
2020-06-10,27.61208
2020-06-11,25.47896
2020-06-12,29.21192
2020-06-13,14.31957
2020-06-14,9.6978
2020-06-15,21.68674
2020-06-16,23.76061
2020-06-17,19.45486
2020-06-18,17.81552
2020-06-19,16.51194
2020-06-20,11.69267
2020-06-21,9.34228
2020-06-22,15.58364
2020-06-23,18.76357
2020-06-24,19.17835
2020-06-25,24.25439
2020-06-26,18.21054
2020-06-27,12.89749
2020-06-28,9.40154
2020-06-29,18.03278
2020-06-30,20.18566
2020-07-01,18.96109
2020-07-02,19.45486
2020-07-03,19.98814
2020-07-04,10.90262
2020-07-05,10.60635
2020-07-06,24.21489
2020-07-07,31.81907
2020-07-08,24.98518
2020-07-09,25.06419
2020-07-10,19.51412
2020-07-11,15.54414
2020-07-12,14.29982
