date,아파트시세
2020-03-20,71.03594
2020-03-21,61.45172
2020-03-22,62.93164
2020-03-23,73.36152
2020-03-24,74.77096
2020-03-25,72.02255
2020-03-26,78.29457
2020-03-27,66.59619
2020-03-28,61.73361
2020-03-29,63.00211
2020-03-30,68.92177
2020-03-31,64.41155
2020-04-01,84.14376
2020-04-02,68.63988
2020-04-03,56.09584
2020-04-04,54.96828
2020-04-05,55.1797
2020-04-06,60.46511
2020-04-07,58.28047
2020-04-08,65.11627
2020-04-09,57.7167
2020-04-10,54.61592
2020-04-11,54.05214
2020-04-12,55.60253
2020-04-13,61.09936
2020-04-14,55.673
2020-04-15,51.58562
2020-04-16,57.01198
2020-04-17,60.25369
2020-04-18,50.66948
2020-04-19,51.02184
2020-04-20,65.75052
2020-04-21,62.22692
2020-04-22,57.57575
2020-04-23,59.54897
2020-04-24,47.56871
2020-04-25,50.59901
2020-04-26,56.51867
2020-04-27,65.75052
2020-04-28,68.14658
2020-04-29,57.78717
2020-04-30,53.27695
2020-05-01,53.98167
2020-05-02,48.41437
2020-05-03,52.43128
2020-05-04,53.62931
2020-05-05,54.12262
2020-05-06,55.46159
2020-05-07,51.09231
2020-05-08,46.93446
2020-05-09,49.54193
2020-05-10,44.89076
2020-05-11,54.61592
2020-05-12,53.48837
2020-05-13,57.43481
2020-05-14,56.16631
2020-05-15,57.36434
2020-05-16,49.18957
2020-05-17,49.96476
2020-05-18,57.08245
2020-05-19,56.09584
2020-05-20,54.89781
2020-05-21,53.62931
2020-05-22,52.43128
2020-05-23,50.59901
2020-05-24,52.50176
2020-05-25,59.26708
2020-05-26,54.68639
2020-05-27,56.65961
2020-05-28,53.48837
2020-05-29,50.52854
2020-05-30,41.22621
2020-05-31,45.52501
2020-06-01,64.90486
2020-06-02,54.05214
2020-06-03,58.13953
2020-06-04,56.37773
2020-06-05,54.12262
2020-06-06,49.54193
2020-06-07,51.44467
2020-06-08,61.45172
2020-06-09,63.21353
2020-06-10,57.64622
2020-06-11,68.71035
2020-06-12,65.96194
2020-06-13,57.22339
2020-06-14,52.21987
2020-06-15,67.79422
2020-06-16,68.21705
2020-06-17,83.65045
2020-06-18,78.7174
2020-06-19,64.41155
2020-06-20,55.10923
2020-06-21,54.68639
2020-06-22,65.0458
2020-06-23,66.66666
2020-06-24,68.49894
2020-06-25,63.98872
2020-06-26,61.80408
2020-06-27,54.54545
2020-06-28,66.3143
2020-06-29,80.19732
2020-06-30,57.15292
2020-07-01,67.23044
2020-07-02,78.15362
2020-07-03,69.76744
2020-07-04,57.50528
2020-07-05,62.08597
2020-07-06,79.42212
2020-07-07,81.11346
2020-07-08,74.27766
2020-07-09,92.81183
2020-07-10,76.67371
2020-07-11,62.79069
2020-07-12,55.1797
2020-07-13,59.4785
2020-07-14,60.88794
2020-07-15,68.14658
2020-07-16,72.79774
2020-07-17,71.8816
2020-07-18,60.747
2020-07-19,58.56236
2020-07-20,74.34813
2020-07-21,76.03946
2020-07-22,76.67371
2020-07-23,73.99577
2020-07-24,66.87808
2020-07-25,63.98872
2020-07-26,62.79069
2020-07-27,69.06272
2020-07-28,69.62649
2020-07-29,76.32135
2020-07-30,78.08315
2020-07-31,64.34108
2020-08-01,48.97815
2020-08-02,49.82381
2020-08-03,74.98238
2020-08-04,69.76744
2020-08-05,62.86116
2020-08-06,61.45172
2020-08-07,59.19661
2020-08-08,52.07892
2020-08-09,52.71317
2020-08-10,59.05567
2020-08-11,65.89147
2020-08-12,76.03946
2020-08-13,71.17688
2020-08-14,59.4785
2020-08-15,47.49823
2020-08-16,54.05214
2020-08-17,51.72656
2020-08-18,56.16631
2020-08-19,58.77378
2020-08-20,59.19661
2020-08-21,55.673
2020-08-22,54.19309
