date,ETF배당금
2020-03-20,6.42722
2020-03-21,12.85444
2020-03-22,9.45179
2020-03-23,10.58601
2020-03-24,11.53119
2020-03-25,15.12287
2020-03-26,15.3119
2020-03-27,13.04347
2020-03-28,10.0189
2020-03-29,10.77504
2020-03-30,11.34215
2020-03-31,10.77504
2020-04-01,13.04347
2020-04-02,14.17769
2020-04-03,17.3913
2020-04-04,11.90926
2020-04-05,9.45179
2020-04-06,12.28733
2020-04-07,14.93383
2020-04-08,12.6654
2020-04-09,14.93383
2020-04-10,15.68998
2020-04-11,10.20793
2020-04-12,11.34215
2020-04-13,10.77504
2020-04-14,13.61058
2020-04-15,8.88468
2020-04-16,15.3119
2020-04-17,17.58034
2020-04-18,13.98865
2020-04-19,16.44612
2020-04-20,14.36672
2020-04-21,11.72022
2020-04-22,13.23251
2020-04-23,11.90926
2020-04-24,14.93383
2020-04-25,12.47637
2020-04-26,13.98865
2020-04-27,16.63516
2020-04-28,20.22684
2020-04-29,17.3913
2020-04-30,10.0189
2020-05-01,8.88468
2020-05-02,6.42722
2020-05-03,6.80529
2020-05-04,9.82986
2020-05-05,9.64083
2020-05-06,30.62381
2020-05-07,20.79395
2020-05-08,11.34215
2020-05-09,5.293
2020-05-10,5.48204
2020-05-11,8.50661
2020-05-12,8.88468
2020-05-13,8.88468
2020-05-14,7.3724
2020-05-15,7.75047
2020-05-16,5.48204
2020-05-17,5.293
2020-05-18,4.91493
2020-05-19,9.07372
2020-05-20,6.80529
2020-05-21,10.96408
2020-05-22,5.293
2020-05-23,5.67107
2020-05-24,4.53686
2020-05-25,9.07372
2020-05-26,10.0189
2020-05-27,9.64083
2020-05-28,6.61625
2020-05-29,4.15879
2020-05-30,3.78071
2020-05-31,1.51228
2020-06-01,3.96975
2020-06-02,4.91493
2020-06-03,5.293
2020-06-04,5.48204
2020-06-05,6.80529
2020-06-06,4.72589
2020-06-07,3.02457
2020-06-08,4.91493
2020-06-09,4.53686
2020-06-10,7.18336
2020-06-11,9.82986
2020-06-12,8.50661
2020-06-13,3.21361
2020-06-14,3.21361
2020-06-15,3.59168
2020-06-16,2.83553
2020-06-17,5.10396
2020-06-18,5.293
2020-06-19,1.70132
2020-06-20,2.83553
2020-06-21,2.6465
2020-06-22,3.78071
2020-06-23,6.23818
2020-06-24,3.78071
2020-06-25,3.59168
2020-06-26,5.67107
2020-06-27,1.51228
2020-06-28,4.15879
2020-06-29,4.15879
2020-06-30,4.34782
2020-07-01,3.59168
2020-07-02,3.59168
2020-07-03,2.83553
2020-07-04,3.02457
2020-07-05,3.02457
2020-07-06,5.293
2020-07-07,7.9395
2020-07-08,7.75047
2020-07-09,7.3724
2020-07-10,5.48204
2020-07-11,4.34782
2020-07-12,4.91493
2020-07-13,4.53686
2020-07-14,9.07372
2020-07-15,8.50661
2020-07-16,8.12854
2020-07-17,5.86011
2020-07-18,3.96975
2020-07-19,4.72589
2020-07-20,6.61625
2020-07-21,10.39697
2020-07-22,10.20793
2020-07-23,8.88468
2020-07-24,6.80529
2020-07-25,6.42722
2020-07-26,4.53686
2020-07-27,4.53686
2020-07-28,5.10396
2020-07-29,5.86011
2020-07-30,6.04914
2020-07-31,5.293
2020-08-01,5.67107
2020-08-02,6.61625
2020-08-03,7.18336
2020-08-04,11.72022
2020-08-05,13.42155
2020-08-06,15.50094
2020-08-07,11.90926
2020-08-08,9.07372
2020-08-09,10.77504
2020-08-10,11.90926
2020-08-11,12.6654
2020-08-12,10.77504
2020-08-13,11.15311
2020-08-14,11.15311
2020-08-15,5.48204
2020-08-16,6.42722
2020-08-17,6.42722
2020-08-18,8.31758
2020-08-19,7.56143
2020-08-20,4.91493
2020-08-21,5.48204
2020-08-22,6.80529
2020-08-23,6.42722
2020-08-24,11.15311
2020-08-25,12.6654
2020-08-26,9.82986
2020-08-27,10.20793
2020-08-28,9.45179
2020-08-29,4.34782
2020-08-30,7.9395
2020-08-31,8.69565
2020-09-01,9.07372
2020-09-02,12.09829
2020-09-03,10.0189
2020-09-04,7.9395
2020-09-05,3.59168
2020-09-06,5.293
2020-09-07,8.69565
2020-09-08,8.12854
2020-09-09,5.293
2020-09-10,10.39697
2020-09-11,6.61625
2020-09-12,5.293
2020-09-13,5.10396
2020-09-14,6.99432
2020-09-15,9.26275
2020-09-16,6.04914
2020-09-17,3.40264
2020-09-18,6.23818
2020-09-19,3.96975
2020-09-20,5.67107
2020-09-21,4.15879
2020-09-22,5.10396
2020-09-23,6.99432
2020-09-24,4.15879
2020-09-25,7.18336
2020-09-26,6.99432
2020-09-27,6.04914
2020-09-28,5.293
2020-09-29,5.293
2020-09-30,2.07939
2020-10-01,3.59168
2020-10-02,1.70132
2020-10-03,1.89035
2020-10-04,2.6465
2020-10-05,2.6465
2020-10-06,5.293
2020-10-07,5.10396
2020-10-08,5.86011
2020-10-09,4.91493
2020-10-10,3.40264
2020-10-11,4.53686
2020-10-12,7.56143
2020-10-13,6.04914
2020-10-14,8.69565
2020-10-15,5.293
2020-10-16,4.53686
2020-10-17,4.72589
2020-10-18,4.34782
2020-10-19,3.02457
2020-10-20,5.86011
2020-10-21,3.78071
2020-10-22,5.86011
2020-10-23,4.34782
2020-10-24,1.51228
2020-10-25,1.89035
2020-10-26,0.94517
2020-10-27,3.21361
2020-10-28,3.78071
2020-10-29,3.59168
2020-10-30,4.34782
2020-10-31,1.13421
2020-11-01,2.6465
2020-11-02,4.34782
2020-11-03,9.07372
2020-11-04,6.80529
2020-11-05,10.96408
2020-11-06,9.45179
2020-11-07,5.48204
2020-11-08,8.31758
2020-11-09,10.0189
2020-11-10,8.50661
2020-11-11,7.9395
2020-11-12,8.69565
2020-11-13,9.64083
2020-11-14,7.3724
2020-11-15,8.69565
2020-11-16,9.82986
2020-11-17,9.82986
2020-11-18,10.96408
2020-11-19,9.07372
2020-11-20,9.07372
2020-11-21,6.04914
2020-11-22,6.99432
2020-11-23,11.34215
2020-11-24,13.61058
2020-11-25,14.17769
2020-11-26,14.93383
2020-11-27,12.47637
2020-11-28,9.26275
2020-11-29,6.80529
2020-11-30,10.58601
2020-12-01,16.63516
2020-12-02,17.01323
2020-12-03,17.76937
2020-12-04,15.12287
2020-12-05,8.88468
2020-12-06,10.0189
2020-12-07,14.7448
2020-12-08,15.3119
2020-12-09,14.93383
2020-12-10,15.68998
2020-12-11,12.09829
2020-12-12,10.58601
2020-12-13,10.39697
2020-12-14,14.7448
2020-12-15,12.09829
2020-12-16,18.33648
2020-12-17,15.68998
2020-12-18,18.14744
2020-12-19,11.53119
2020-12-20,14.55576
2020-12-21,18.71455
2020-12-22,20.79395
2020-12-23,37.24007
2020-12-24,50.47258
2020-12-25,28.92249
2020-12-26,39.5085
2020-12-27,40.07561
2020-12-28,71.45557
2020-12-29,63.32703
2020-12-30,46.31379
2020-12-31,30.81285
2021-01-01,21.73913
2021-01-02,20.79395
2021-01-03,25.14177
