date,로봇관련주
2020-03-20,0.90466
2020-03-21,1.07167
2020-03-22,0.69589
2020-03-23,0.87682
2020-03-24,1.30828
2020-03-25,2.61656
2020-03-26,2.11551
2020-03-27,2.26861
2020-03-28,2.28253
2020-03-29,1.51704
2020-03-30,2.90883
2020-03-31,2.81141
2020-04-01,3.00626
2020-04-02,3.72999
2020-04-03,2.67223
2020-04-04,4.16144
2020-04-05,3.18719
2020-04-06,3.13152
2020-04-07,3.28462
2020-04-08,2.64439
2020-04-09,2.36604
2020-04-10,2.11551
2020-04-11,1.67014
2020-04-12,1.29436
2020-04-13,1.51704
2020-04-14,1.48921
2020-04-15,2.04592
2020-04-16,2.31036
2020-04-17,3.04801
2020-04-18,4.34237
2020-04-19,3.79958
2020-04-20,3.25678
2020-04-21,2.54697
2020-04-22,3.64648
2020-04-23,8.43423
2020-04-24,4.56506
2020-04-25,5.5254
2020-04-26,6.59707
2020-04-27,5.28879
2020-04-28,6.95894
2020-04-29,6.23521
2020-04-30,3.24286
2020-05-01,7.39039
2020-05-02,4.84342
2020-05-03,7.25121
2020-05-04,5.48364
2020-05-05,3.32637
2020-05-06,3.49338
2020-05-07,3.46555
2020-05-08,2.97842
2020-05-09,9.88169
2020-05-10,6.75017
2020-05-11,4.73208
2020-05-12,4.99652
2020-05-13,4.07794
2020-05-14,5.05219
2020-05-15,4.03618
2020-05-16,2.46346
2020-05-17,2.68615
2020-05-18,5.24704
2020-05-19,7.40431
2020-05-20,8.43423
2020-05-21,23.71607
2020-05-22,13.22199
2020-05-23,7.58524
2020-05-24,5.98469
2020-05-25,9.24147
2020-05-26,17.77313
2020-05-27,11.17606
2020-05-28,7.43215
2020-05-29,4.8295
2020-05-30,5.51148
2020-05-31,10.03479
2020-06-01,8.03061
2020-06-02,5.9986
2020-06-03,4.8295
2020-06-04,10.38274
2020-06-05,6.63883
2020-06-06,4.2867
2020-06-07,2.79749
2020-06-08,4.17536
2020-06-09,3.25678
2020-06-10,4.91301
2020-06-11,3.78566
2020-06-12,3.31245
2020-06-13,3.06193
2020-06-14,2.56089
2020-06-15,3.03409
2020-06-16,3.82741
2020-06-17,3.10368
2020-06-18,3.18719
2020-06-19,2.50521
2020-06-20,2.24077
2020-06-21,3.43771
2020-06-22,6.05427
2020-06-23,6.13778
2020-06-24,4.18928
2020-06-25,2.42171
2020-06-26,2.01809
2020-06-27,2.40779
2020-06-28,1.51704
2020-06-29,2.26861
2020-06-30,3.04801
2020-07-01,2.35212
2020-07-02,1.68406
2020-07-03,1.78148
2020-07-04,1.57272
2020-07-05,1.50313
2020-07-06,2.03201
2020-07-07,1.96242
2020-07-08,1.48921
2020-07-09,2.76965
2020-07-10,2.14335
2020-07-11,1.44745
2020-07-12,8.32289
2020-07-13,4.38413
2020-07-14,3.92484
2020-07-15,3.93876
2020-07-16,2.1016
2020-07-17,3.47947
2020-07-18,2.35212
2020-07-19,2.25469
2020-07-20,2.63048
2020-07-21,3.20111
2020-07-22,3.8135
2020-07-23,5.67849
2020-07-24,2.19902
2020-07-25,1.53096
2020-07-26,2.56089
2020-07-27,4.32846
2020-07-28,4.11969
2020-07-29,3.39596
2020-07-30,3.06193
2020-07-31,2.03201
2020-08-01,2.54697
2020-08-02,2.37995
2020-08-03,2.36604
2020-08-04,3.897
2020-08-05,3.98051
2020-08-06,3.47947
2020-08-07,3.71607
2020-08-08,2.64439
2020-08-09,2.76965
2020-08-10,5.05219
2020-08-11,5.73416
2020-08-12,3.06193
2020-08-13,3.22894
2020-08-14,2.61656
2020-08-15,1.96242
2020-08-16,1.46137
2020-08-17,2.1016
2020-08-18,1.73973
2020-08-19,1.9485
2020-08-20,2.04592
2020-08-21,1.73973
2020-08-22,1.51704
2020-08-23,1.11343
2020-08-24,1.76757
2020-08-25,2.50521
2020-08-26,2.3382
2020-08-27,2.9645
2020-08-28,2.70006
2020-08-29,2.40779
2020-08-30,2.21294
2020-08-31,2.25469
2020-09-01,2.54697
2020-09-02,2.82533
2020-09-03,3.07585
2020-09-04,2.36604
2020-09-05,1.89283
2020-09-06,4.00835
2020-09-07,2.99234
2020-09-08,3.31245
2020-09-09,3.8135
2020-09-10,2.43562
2020-09-11,2.22686
2020-09-12,2.12943
2020-09-13,2.65831
2020-09-14,2.11551
2020-09-15,3.85525
2020-09-16,4.74599
2020-09-17,5.53931
2020-09-18,2.64439
2020-09-19,1.78148
2020-09-20,2.05984
2020-09-21,2.37995
2020-09-22,1.78148
2020-09-23,2.35212
2020-09-24,2.68615
2020-09-25,1.90675
2020-09-26,1.50313
2020-09-27,1.62839
2020-09-28,3.93876
2020-09-29,2.881
2020-09-30,1.47529
2020-10-01,1.4057
2020-10-02,1.9485
2020-10-03,3.17327
2020-10-04,5.28879
2020-10-05,4.21711
2020-10-06,3.39596
2020-10-07,2.86708
2020-10-08,2.37995
2020-10-09,1.96242
2020-10-10,1.9485
2020-10-11,2.56089
2020-10-12,2.82533
2020-10-13,3.39596
2020-10-14,5.41405
2020-10-15,3.2707
2020-10-16,3.22894
2020-10-17,2.19902
2020-10-18,2.44954
2020-10-19,2.17118
2020-10-20,2.14335
2020-10-21,2.56089
2020-10-22,2.21294
2020-10-23,5.53931
2020-10-24,3.20111
2020-10-25,3.71607
2020-10-26,4.87125
2020-10-27,10.17397
2020-10-28,54.61377
2020-10-29,30.7446
2020-10-30,8.50382
2020-10-31,2.85316
2020-11-01,2.46346
2020-11-02,2.82533
2020-11-03,3.52122
2020-11-04,3.07585
2020-11-05,2.29645
2020-11-06,3.2707
2020-11-07,1.83716
2020-11-08,2.08768
2020-11-09,2.5748
2020-11-10,6.66666
2020-11-11,6.52748
2020-11-12,4.30062
2020-11-13,3.84133
2020-11-14,2.99234
2020-11-15,2.56089
2020-11-16,5.73416
2020-11-17,4.24495
2020-11-18,4.56506
2020-11-19,4.49547
2020-11-20,3.68823
2020-11-21,4.14752
2020-11-22,3.46555
2020-11-23,3.34029
2020-11-24,3.74391
2020-11-25,5.01043
2020-11-26,5.16353
2020-11-27,3.88308
2020-11-28,4.16144
2020-11-29,3.22894
2020-11-30,8.81002
2020-12-01,8.39248
2020-12-02,5.78983
2020-12-03,5.3723
2020-12-04,4.35629
2020-12-05,4.27279
2020-12-06,3.61864
2020-12-07,3.36812
2020-12-08,3.88308
2020-12-09,6.36047
2020-12-10,5.42797
2020-12-11,54.97564
2020-12-12,75.92205
2020-12-13,57.18858
2020-12-14,79.6938
2020-12-15,36.46485
2020-12-16,23.45163
2020-12-17,15.22616
2020-12-18,16.18649
2020-12-19,16.67362
2020-12-20,20.3897
2020-12-21,13.37508
2020-12-22,8.33681
2020-12-23,13.72303
2020-12-24,8.44815
2020-12-25,8.07237
2020-12-26,10.92553
2020-12-27,8.96311
2020-12-28,11.14822
2020-12-29,9.24147
2020-12-30,9.90953
2020-12-31,9.10229
2021-01-01,8.32289
2021-01-02,7.50173
2021-01-03,7.64091
2021-01-04,9.97912
2021-01-05,10.64718
2021-01-06,9.61725
2021-01-07,10.38274
2021-01-08,10.42449
2021-01-09,9.83994
2021-01-10,11.10647
2021-01-11,9.39457
2021-01-12,14.64161
2021-01-13,15.90814
2021-01-14,17.49478
2021-01-15,12.86012
2021-01-16,7.76617
2021-01-17,8.78218
2021-01-18,8.83785
2021-01-19,10.77244
2021-01-20,32.19206
2021-01-21,29.51983
2021-01-22,22.99234
2021-01-23,18.88656
2021-01-24,17.21642
2021-01-25,69.56158
2021-01-26,54.00139
2021-01-27,33.48643
2021-01-28,22.881
2021-01-29,15.44885
2021-01-30,12.4565
2021-01-31,10.31315
2021-02-01,14.40501
2021-02-02,17.18858
2021-02-03,35.54627
2021-02-04,27.82185
2021-02-05,28.53166
2021-02-06,18.94224
2021-02-07,17.94015
2021-02-08,18.71955
2021-02-09,15.81071
2021-02-10,13.45859
2021-02-11,12.72094
2021-02-12,14.50243
2021-02-13,13.7787
2021-02-14,20.82115
2021-02-15,40.01391
2021-02-16,25.27487
2021-02-17,55.65762
2021-02-18,28.16979
2021-02-19,19.94432
2021-02-20,14.85038
2021-02-21,15.7272
2021-02-22,17.2025
2021-02-23,14.44676
2021-02-24,15.62978
2021-02-25,13.89004
2021-02-26,10.82811
2021-02-27,9.10229
2021-02-28,12.44258
2021-03-01,9.8121
2021-03-02,8.55949
2021-03-03,12.03897
2021-03-04,11.71885
2021-03-05,8.05845
2021-03-06,8.97703
2021-03-07,10.98121
2021-03-08,7.02853
2021-03-09,5.58107
2021-03-10,5.98469
2021-03-11,6.26304
2021-03-12,6.1517
2021-03-13,5.73416
2021-03-14,6.12386
2021-03-15,6.3883
2021-03-16,6.81976
2021-03-17,7.23729
2021-03-18,7.09812
2021-03-19,9.78427
2021-03-20,6.37439
2021-03-21,6.87543
2021-03-22,10.7446
2021-03-23,6.97286
2021-03-24,6.43006
2021-03-25,4.64857
2021-03-26,4.78775
2021-03-27,4.89909
2021-03-28,4.16144
2021-03-29,5.30271
2021-03-30,4.57898
2021-03-31,4.25887
2021-04-01,4.66249
2021-04-02,5.10786
2021-04-03,4.24495
2021-04-04,4.50939
2021-04-05,18.7613
2021-04-06,21.00208
2021-04-07,11.24565
2021-04-08,12.34516
