date,하이트진로주가
2020-03-20,19.61729
2020-03-21,3.39687
2020-03-22,2.51427
2020-03-23,17.80019
2020-03-24,17.60735
2020-03-25,20.27738
2020-03-26,22.27249
2020-03-27,18.8237
2020-03-28,2.93703
2020-03-29,2.75161
2020-03-30,17.7631
2020-03-31,18.48995
2020-04-01,20.36638
2020-04-02,18.90528
2020-04-03,19.82496
2020-04-04,6.17073
2020-04-05,4.50938
2020-04-06,24.92026
2020-04-07,24.00801
2020-04-08,23.13283
2020-04-09,20.08455
2020-04-10,19.85463
2020-04-11,3.2782
2020-04-12,2.92961
2020-04-13,17.22168
2020-04-14,15.84958
2020-04-15,2.98153
2020-04-16,14.64807
2020-04-17,16.08692
2020-04-18,2.84803
2020-04-19,2.28435
2020-04-20,13.83964
2020-04-21,13.12022
2020-04-22,15.73833
2020-04-23,14.85574
2020-04-24,20.2848
2020-04-25,3.77512
2020-04-26,2.56619
2020-04-27,20.18838
2020-04-28,18.8682
2020-04-29,19.51346
2020-04-30,4.60579
2020-05-01,4.92472
2020-05-02,2.18794
2020-05-03,2.13602
2020-05-04,22.73232
2020-05-05,5.1843
2020-05-06,26.67062
2020-05-07,28.1243
2020-05-08,26.34428
2020-05-09,5.56997
2020-05-10,4.18304
2020-05-11,26.32945
2020-05-12,24.29726
2020-05-13,24.04509
2020-05-14,28.11688
2020-05-15,30.20099
2020-05-16,5.04338
2020-05-17,3.60453
2020-05-18,33.25669
2020-05-19,28.45064
2020-05-20,33.39019
2020-05-21,29.77823
2020-05-22,25.20952
2020-05-23,4.08662
2020-05-24,5.26589
2020-05-25,24.74968
2020-05-26,23.93384
2020-05-27,22.1464
2020-05-28,22.30215
2020-05-29,20.95972
2020-05-30,2.98153
2020-05-31,2.64036
2020-06-01,28.84372
2020-06-02,29.38515
2020-06-03,31.43959
2020-06-04,28.97723
2020-06-05,23.80775
2020-06-06,3.3227
2020-06-07,2.95186
2020-06-08,25.46169
2020-06-09,25.04635
2020-06-10,30.65341
2020-06-11,29.5409
2020-06-12,33.09352
2020-06-13,6.25231
2020-06-14,5.55514
2020-06-15,47.9641
2020-06-16,46.35466
2020-06-17,39.30134
2020-06-18,33.0416
2020-06-19,29.87465
2020-06-20,5.16205
2020-06-21,4.13854
2020-06-22,40.19876
2020-06-23,41.27419
2020-06-24,39.66476
2020-06-25,32.66335
2020-06-26,30.87591
2020-06-27,5.19913
2020-06-28,3.91604
2020-06-29,26.92279
2020-06-30,28.07238
2020-07-01,28.22813
2020-07-02,28.25038
2020-07-03,26.00311
2020-07-04,4.06437
2020-07-05,3.20403
2020-07-06,26.06986
2020-07-07,30.54958
2020-07-08,30.23066
2020-07-09,27.12304
2020-07-10,29.91174
2020-07-11,4.72446
2020-07-12,3.55262
2020-07-13,29.18489
2020-07-14,24.9796
2020-07-15,24.73485
2020-07-16,24.63101
2020-07-17,25.1576
2020-07-18,5.44389
2020-07-19,7.35741
2020-07-20,32.72268
2020-07-21,28.90306
2020-07-22,25.40235
2020-07-23,23.14025
2020-07-24,20.60372
2020-07-25,3.62678
2020-07-26,2.99636
2020-07-27,24.51234
2020-07-28,21.36023
2020-07-29,23.03641
2020-07-30,24.36401
2020-07-31,22.65074
2020-08-01,3.61937
2020-08-02,3.53778
2020-08-03,29.23681
2020-08-04,26.9302
2020-08-05,41.70436
2020-08-06,32.9526
2020-08-07,26.3517
2020-08-08,4.41296
2020-08-09,3.8122
2020-08-10,25.06118
2020-08-11,26.38136
2020-08-12,27.34554
2020-08-13,24.55684
2020-08-14,35.48913
2020-08-15,5.71831
2020-08-16,3.9902
2020-08-17,6.47482
2020-08-18,33.80553
2020-08-19,31.63984
2020-08-20,30.81658
2020-08-21,29.17748
2020-08-22,4.10146
2020-08-23,3.13728
2020-08-24,25.76577
2020-08-25,25.07602
2020-08-26,28.26522
2020-08-27,30.13424
2020-08-28,31.80301
2020-08-29,4.7838
2020-08-30,5.67381
2020-08-31,31.80301
2020-09-01,29.39998
2020-09-02,28.3468
2020-09-03,27.7683
2020-09-04,24.55684
2020-09-05,3.47845
2020-09-06,2.84803
2020-09-07,25.17985
2020-09-08,31.38767
2020-09-09,25.66194
2020-09-10,25.0241
2020-09-11,22.30957
2020-09-12,4.03471
2020-09-13,4.12371
2020-09-14,24.72001
2020-09-15,26.55195
2020-09-16,26.3517
2020-09-17,21.76073
2020-09-18,18.92012
2020-09-19,3.01119
2020-09-20,2.95928
2020-09-21,19.72854
2020-09-22,18.63828
2020-09-23,20.58888
2020-09-24,20.8633
2020-09-25,21.29348
2020-09-26,7.11266
2020-09-27,5.02113
2020-09-28,28.47289
